frame,time,human_part,human_side,object_part,object_local_id,expected,observed,persistent,rel_static,min_distance_m,surface_gap_m,penetration_depth_m,contact_confidence,contact_state,anchor_update_allowed,pose_anchor_allowed,stable_local_x,stable_local_y,stable_local_z,stable_local_s,observed_local_x,observed_local_y,observed_local_z,observed_local_s,contact_u,contact_v,contact_depth_offset_m,local_s_drift,source
174,7.208333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
175,7.250000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
176,7.291667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
177,7.333333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
178,7.375000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
179,7.416667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
180,7.458333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
181,7.500000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
182,7.541667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
183,7.583333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
184,7.625000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
185,7.666667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
186,7.708333,right_pinky,,surface,,0,0,0,0,,,,,inactive,0,0,,,,,,,,,,,,,tom_body_surface_contacts
187,7.750000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
188,7.791667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
189,7.833333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
190,7.875000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
191,7.916667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
192,7.958333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
