frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,source
45,1.833333,-0.268923,0.321115,3.633912,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,515.492,431.106,,515.492,431.106,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.052561,3.600945,515.492,431.106,504.000,390.000,0.063792,0.063792,3.697178,3.633459,3.626934,3.633459,0.096233,sequence_se3_optimizer
46,1.875000,-0.265048,0.322971,3.635688,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.052,450.454,,521.052,450.454,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.103709,3.601496,521.052,450.454,507.000,407.000,-0.099169,-0.099169,3.537123,3.636398,3.578908,3.636398,-0.064373,sequence_se3_optimizer
47,1.916667,-0.259250,0.328343,3.637556,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.895,485.366,,527.895,485.366,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.177883,3.610142,527.895,485.366,517.000,444.000,-0.084889,-0.084889,3.554233,3.639337,3.547219,3.639337,-0.055909,sequence_se3_optimizer
48,1.958333,-0.246536,0.335211,3.639421,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,536.808,534.688,,536.808,534.688,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.249242,3.635264,536.808,534.688,532.000,491.000,0.017989,0.017989,3.659904,3.642276,3.497624,3.642276,0.024640,sequence_se3_optimizer
49,2.000000,-0.231491,0.342556,3.640996,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.897,592.756,,548.897,592.756,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.291609,3.665288,548.897,592.756,541.000,541.000,0.004284,0.004284,3.649081,3.645215,3.459624,3.645215,-0.016207,sequence_se3_optimizer
50,2.041667,-0.216230,0.349615,3.642177,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,555.445,624.880,,555.445,624.880,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,1,0,1,floor,,floor,right_hand,0.309879,3.677545,555.445,624.880,539.000,586.000,0.116312,0.116312,3.764084,3.648154,3.451515,3.648154,0.086539,sequence_se3_optimizer
51,2.083333,-0.201064,0.355674,3.642757,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,561.590,581.902,,561.590,581.902,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.308704,3.679149,561.590,581.902,550.000,539.000,0.017078,0.017078,3.667887,3.651093,3.459707,3.651093,-0.011262,sequence_se3_optimizer
52,2.125000,-0.186032,0.361147,3.643006,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,564.316,540.207,,564.316,540.207,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.282445,3.660060,564.316,540.207,559.000,493.000,0.039678,0.039678,3.693560,3.654032,3.465698,3.654032,0.033500,sequence_se3_optimizer
53,2.166667,-0.171212,0.365753,3.642866,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,571.752,505.622,,571.752,505.622,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.229896,3.629781,571.752,505.622,559.000,470.000,-0.027190,-0.027190,3.629781,3.656971,3.483027,3.656971,0.000000,sequence_se3_optimizer
54,2.208333,-0.156658,0.369540,3.642331,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.247,478.847,,579.247,478.847,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.168322,3.595288,579.247,478.847,565.000,439.000,0.056577,0.056577,3.709864,3.653347,3.475058,3.653347,0.114576,sequence_se3_optimizer
