frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,anchor_score,source,stable_local_x,stable_local_y,stable_local_z,visibility,anchor_update,keep_previous
108,4.458333,1,palm,left_hand,body_shell_or_occluded_handle_region,535,574.992,262.019,0.046319,1.000000,palm_handle_from_stable_grasp_anchor,-0.106382,0.012363,0.036077,hidden,0,1
109,4.500000,1,palm,left_hand,body_shell_or_occluded_handle_region,400,586.354,262.250,-0.080277,1.000000,palm_handle_from_stable_grasp_anchor,-0.079928,-0.013808,0.021192,hidden,0,1
110,4.541667,1,palm,left_hand,body_shell_or_occluded_handle_region,495,590.826,282.225,0.076313,1.000000,palm_handle_from_stable_grasp_anchor,-0.298493,0.026703,0.012041,hidden,0,1
111,4.583333,1,palm,left_hand,body_shell_or_occluded_handle_region,473,596.413,290.883,0.129421,1.000000,palm_handle_from_stable_grasp_anchor,-0.429108,0.032908,-0.009368,hidden,0,1
112,4.625000,1,palm,left_hand,body_shell_or_occluded_handle_region,473,599.676,296.505,0.124292,1.000000,palm_handle_from_stable_grasp_anchor,-0.479994,0.025956,-0.034717,hidden,0,1
113,4.666667,1,palm,left_hand,body_shell_or_occluded_handle_region,474,605.993,310.616,0.152515,1.000000,palm_handle_from_stable_grasp_anchor,-0.535219,0.037509,-0.082966,hidden,0,1
114,4.708333,1,palm,left_hand,body_shell_or_occluded_handle_region,474,609.784,318.562,0.159355,1.000000,palm_handle_from_stable_grasp_anchor,-0.552926,0.034092,-0.133204,hidden,0,1
115,4.750000,1,palm,left_hand,handle_loop,425,609.435,314.700,-0.485125,0.759466,palm_handle_from_stable_grasp_anchor,-0.089375,-0.012649,0.004366,visible,1,0
116,4.791667,1,palm,left_hand,handle_loop,403,607.933,319.464,-0.456887,0.743253,palm_handle_from_stable_grasp_anchor,-0.088540,-0.016334,0.004366,visible,1,0
117,4.833333,1,palm,left_hand,handle_loop,404,607.241,324.747,-0.407660,0.708849,palm_handle_from_stable_grasp_anchor,-0.089645,-0.016650,0.003628,visible,1,0
