frame,time,x,y,z,yaw,yaw_deg,pitch,pitch_deg,roll,roll_deg,scale,handle_phase_rad,handle_phase_deg,vlm_visibility,source,m45_pose_source,m45_rotation_smooth_start,m45_rotation_smooth_end,m45_static_frame,m45_yaw_input,m45_pitch_input,m45_roll_input
51,2.083333,-0.361015437,-0.572464894,3.785589841,-0.317892992,-18.213927,-0.363671811,-20.836860,-0.176533208,-10.114608,1.067709599,2.907740,166.6013,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
52,2.125000,-0.368156069,-0.580702707,3.794528145,-0.319775228,-18.321771,-0.384802816,-22.047577,-0.177926821,-10.194456,1.055659930,3.083380,176.6646,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
53,2.166667,-0.374514069,-0.588283938,3.802932451,-0.328309343,-18.810740,-0.407034519,-23.321360,-0.191844434,-10.991876,1.071802682,-3.013692,-172.6718,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
54,2.208333,-0.380097992,-0.595249974,3.810697099,-0.338069052,-19.369930,-0.430288476,-24.653714,-0.211626442,-12.125302,1.065167779,-2.857972,-163.7497,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
55,2.250000,-0.384935562,-0.601640769,3.817806856,-0.343742905,-19.695018,-0.447431526,-25.635938,-0.227475351,-13.033378,1.077219257,-2.762369,-158.2721,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
56,2.291667,-0.389088866,-0.607498227,3.824644194,-0.338639737,-19.402628,-0.464385866,-26.607350,-0.235821423,-13.511572,1.063544855,-2.728051,-156.3058,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
57,2.333333,-0.392626355,-0.612858690,3.831027917,-0.337953068,-19.363284,-0.482886585,-27.667363,-0.253261862,-14.510836,1.078389516,-2.738638,-156.9124,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
58,2.375000,-0.395605492,-0.617757477,3.836100315,-0.334618201,-19.172211,-0.508679577,-29.145193,-0.276343038,-15.833290,1.074613753,-2.786157,-159.6350,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
59,2.416667,-0.398077800,-0.622233809,3.839146744,-0.322400442,-18.472185,-0.529959883,-30.364465,-0.292305136,-16.747851,1.057066217,-2.884118,-165.2478,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
60,2.458333,-0.400093649,-0.626365021,3.840016684,-0.321991850,-18.448774,-0.541754416,-31.040242,-0.315022049,-18.049434,1.057122057,-3.042479,-174.3212,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
