frame,motion_regime,sequence_se3_optimizer_enabled,visual_residual_enabled,contact_anchor_residual_enabled,depth_residual_enabled,geometry_residual_enabled,velocity_residual_enabled,acceleration_residual_enabled,static_freeze_residual_enabled,boundary_freeze_interpolation_enabled,static_tail_freeze_enabled,trust_weight,smooth_weight,accel_weight,feedback_reoptimized,feedback_reweight_reason,visual_prior_reason,overlay_prior_reason,pose_lock_reason,decision_source
164,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
165,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.040000,1,,,,,generic_sequence_se3_mainline
166,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,0.830000,1,,,,,generic_sequence_se3_mainline
167,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.646667,1,,,,,generic_sequence_se3_mainline
168,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.673333,1,,,,,generic_sequence_se3_mainline
169,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
170,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.673333,1,,,,,generic_sequence_se3_mainline
171,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
172,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.620000,1,,,,,generic_sequence_se3_mainline
173,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.620000,1,,,,,generic_sequence_se3_mainline
174,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.493333,1,,,,,generic_sequence_se3_mainline
175,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.500000,0.366667,1,,,,,generic_sequence_se3_mainline
176,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.560000,1,,,,,generic_sequence_se3_mainline
177,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,0.665000,0.686667,1,,,,,generic_sequence_se3_mainline
178,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.885000,0.813333,1,,,,,generic_sequence_se3_mainline
179,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.620000,1,,,,,generic_sequence_se3_mainline
180,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.620000,1,,,,,generic_sequence_se3_mainline
181,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.646667,1,,,,,generic_sequence_se3_mainline
182,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.520000,1,,,,,generic_sequence_se3_mainline
183,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.550000,0.393333,1,,,,,generic_sequence_se3_mainline
184,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.576667,1,,,,,generic_sequence_se3_mainline
185,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.715000,0.913333,1,,,,,generic_sequence_se3_mainline
186,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
187,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.066667,1,,,,,generic_sequence_se3_mainline
188,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.856667,1,,,,,generic_sequence_se3_mainline
189,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
190,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.493333,1,,,,,generic_sequence_se3_mainline
191,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.500000,0.400000,1,,,,,generic_sequence_se3_mainline
192,sustained_grasp_high_speed,1,1,1,1,1,1,1,1,1,1,0.860000,0.330000,0.426667,1,,,,,generic_sequence_se3_mainline
193,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.600000,0.426667,1,,,,,generic_sequence_se3_mainline
194,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.550000,0.520000,1,,,,,generic_sequence_se3_mainline
195,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.500000,0.493333,1,,,,,generic_sequence_se3_mainline
196,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.620000,1,,,,,generic_sequence_se3_mainline
197,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.646667,1,,,,,generic_sequence_se3_mainline
198,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.673333,1,,,,,generic_sequence_se3_mainline
199,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.673333,1,,,,,generic_sequence_se3_mainline
200,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
201,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.646667,1,,,,,generic_sequence_se3_mainline
202,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.673333,1,,,,,generic_sequence_se3_mainline
203,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
204,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
205,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
206,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.883333,1,,,,,generic_sequence_se3_mainline
207,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.250000,1,,,,,generic_sequence_se3_mainline
208,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.300000,1.433333,1,,,,,generic_sequence_se3_mainline
209,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.300000,1.433333,1,,,,,generic_sequence_se3_mainline
