frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
105,4.333333,0,none,right,none,left,718.505,317.005,0.014374,0.002541,0.000000,hand_floor_from_anchor_floor_candidates
106,4.375000,0,none,right,none,left,714.472,342.130,0.032144,0.002967,0.000000,hand_floor_from_anchor_floor_candidates
107,4.416667,0,none,right,none,left,708.535,376.031,-0.034498,0.003712,0.304870,hand_floor_from_anchor_floor_candidates
108,4.458333,0,none,right,none,left,704.438,418.843,0.060217,0.003997,0.727423,hand_floor_from_anchor_floor_candidates
109,4.500000,0,none,right,none,left,698.584,471.311,0.022397,0.004157,1.000000,hand_floor_from_anchor_floor_candidates
110,4.541667,1,floor,,floor_support,left,695.662,512.074,0.021834,0.004041,1.000000,hand_floor_from_anchor_floor_candidates
111,4.583333,0,none,right,none,left,695.326,467.785,0.006412,0.006252,1.000000,hand_floor_from_anchor_floor_candidates
112,4.625000,0,none,right,none,left,694.686,426.158,0.018024,0.010199,0.787389,hand_floor_from_anchor_floor_candidates
113,4.666667,0,none,right,none,left,691.841,393.222,0.022281,0.018627,0.470882,hand_floor_from_anchor_floor_candidates
114,4.708333,0,none,right,none,left,692.166,365.720,0.055368,0.030315,0.199790,hand_floor_from_anchor_floor_candidates
115,4.750000,0,none,right,none,left,690.407,346.362,0.016033,0.064941,0.012781,hand_floor_from_anchor_floor_candidates
116,4.791667,0,none,right,none,left,692.941,331.239,-1.263173,0.128522,0.000000,hand_floor_from_anchor_floor_candidates
118,4.875000,0,none,right,none,bottom,718.661,310.128,0.024932,0.212950,0.000000,hand_floor_from_anchor_floor_candidates
119,4.916667,0,none,right,none,left,716.397,275.913,0.026528,0.181773,0.000000,hand_floor_from_anchor_floor_candidates
120,4.958333,0,none,right,none,left,728.227,259.427,0.003466,0.103612,0.000000,hand_floor_from_anchor_floor_candidates
121,5.000000,0,none,right,none,left,739.003,249.067,-0.025028,0.053138,0.000000,hand_floor_from_anchor_floor_candidates
122,5.041667,0,none,right,none,left,748.054,245.201,-0.008880,0.026819,0.000000,hand_floor_from_anchor_floor_candidates
123,5.083333,0,none,right,none,left,756.688,245.297,-0.005680,0.013458,0.000000,hand_floor_from_anchor_floor_candidates
124,5.125000,0,none,right,none,left,764.024,249.990,-0.015287,0.006924,0.000000,hand_floor_from_anchor_floor_candidates
