frame,visual_spike,raw_visual_spike,contact_spike,smoothness_spike,freeze_or_propagate,motion_regime,pre_smooth_translation_jump_m,final_translation_jump_m,visual_spike_threshold_m,velocity_spike_threshold,accel_spike_threshold,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,delta_translation_m,delta_rotation_rad
194,0,0,0,0,optimize,high_speed,0.112833,0.044676,0.300000,0.420000,0.340000,0,0,0,0,0.258265,0.000000
195,0,0,0,0,optimize,free_motion,0.108772,0.038819,0.180000,0.220000,0.220000,0,0,0,0,0.169223,0.000000
196,0,0,0,0,optimize,free_motion,0.087308,0.034104,0.180000,0.220000,0.220000,0,0,0,0,0.123694,0.000000
197,0,0,0,0,optimize,free_motion,0.073565,0.035608,0.180000,0.220000,0.220000,0,0,0,0,0.099470,0.000000
198,0,0,0,0,optimize,uniform_motion,0.062874,0.036745,0.180000,0.220000,0.220000,0,0,0,0,0.079217,0.000000
199,0,0,0,0,optimize,uniform_motion,0.054890,0.037497,0.180000,0.220000,0.220000,0,0,0,0,0.065299,0.000000
200,0,0,0,0,optimize,free_motion,0.076796,0.037915,0.180000,0.220000,0.220000,0,0,0,0,0.030669,0.000000
201,0,0,0,0,optimize,free_motion,0.081302,0.037905,0.180000,0.220000,0.220000,0,0,0,0,0.034200,0.000000
202,0,0,0,0,optimize,uniform_motion,0.066950,0.037300,0.180000,0.220000,0.220000,0,0,0,0,0.054973,0.000000
203,0,0,0,0,optimize,uniform_motion,0.048510,0.036054,0.180000,0.220000,0.220000,0,0,0,0,0.067420,0.000000
204,0,0,0,0,optimize,uniform_motion,0.033472,0.033985,0.180000,0.220000,0.220000,0,0,0,0,0.069975,0.000000
205,0,0,0,0,optimize,uniform_motion,0.039376,0.028311,0.180000,0.220000,0.220000,0,0,0,0,0.072028,0.000000
206,0,0,0,0,optimize,uniform_motion,0.064854,0.002947,0.180000,0.220000,0.220000,0,0,0,0,0.116793,0.000000
207,0,0,0,0,optimize,low_speed,0.014786,0.000913,0.100000,0.120000,0.120000,0,0,0,0,0.122978,0.000000
208,0,0,0,0,optimize,static_hold,0.009290,0.000894,0.100000,0.120000,0.120000,0,0,0,0,0.124287,0.000000
209,0,0,0,0,optimize,low_speed,0.019168,0.001385,0.100000,0.120000,0.120000,0,0,0,0,0.117559,0.000000
210,0,0,0,0,optimize,low_speed,0.031906,0.002039,0.100000,0.120000,0.120000,0,0,0,0,0.090210,0.000000
211,0,0,0,0,optimize,uniform_motion,0.052878,0.003837,0.180000,0.220000,0.220000,0,0,0,0,0.050759,0.000000
212,0,0,0,0,optimize,uniform_motion,0.033714,0.007773,0.180000,0.220000,0.220000,0,0,0,0,0.026908,0.000000
