frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema,z_ref_anchor_segment,contact_part,contact_side,contact_label,contact_u,contact_v
51,2.083333,0.262839,-0.180418,2.670545,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,784.542,260.783,784.542,260.783,268.467,268.467,784.542,260.783,268.467,2.670545,0.001611,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.670545,none,right,none,775.056,260.193
52,2.125000,0.287647,-0.189643,2.670545,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,798.185,255.710,798.185,255.710,263.904,263.904,798.185,255.710,263.904,2.670545,-0.031125,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.670545,none,right,none,788.959,254.976
53,2.166667,0.306030,-0.195085,2.672549,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,808.168,252.798,808.168,252.798,261.306,261.306,808.168,252.798,261.306,2.672549,-0.021025,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.672549,none,right,none,798.861,252.394
54,2.208333,0.296260,-0.213826,2.688443,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,801.837,243.194,801.837,243.194,251.492,251.492,801.837,243.194,251.492,2.688443,-0.006219,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.688443,none,right,none,792.463,242.674
55,2.250000,0.273125,-0.235795,2.688443,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,789.199,231.193,789.199,231.193,240.195,240.195,789.199,231.193,240.195,2.688443,-0.000121,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.688443,none,right,none,779.964,231.092
56,2.291667,0.251227,-0.247453,2.704167,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,776.439,225.611,776.439,225.611,234.287,234.287,776.439,225.611,234.287,2.704167,0.026141,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.704167,none,right,none,767.272,225.101
57,2.333333,0.228325,-0.250665,2.713570,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,763.571,224.338,763.571,224.338,232.158,232.158,763.571,224.338,232.158,2.713570,0.023571,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.713570,none,right,none,755.037,223.854
58,2.375000,0.206050,-0.245109,2.741127,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,750.395,228.679,750.395,228.679,236.914,236.914,750.395,228.679,236.914,2.741127,0.024991,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.741127,none,right,none,741.728,228.560
59,2.416667,0.182948,-0.231214,2.770334,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,736.984,237.429,736.984,237.429,245.464,245.464,736.984,237.429,245.464,2.770334,0.030903,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.770334,none,right,none,728.243,237.354
60,2.458333,0.157129,-0.204861,2.785994,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,722.829,252.010,722.829,252.010,260.162,260.162,722.829,252.010,260.162,2.785994,0.029702,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.785994,none,right,none,713.913,252.011
61,2.500000,0.133426,-0.171206,2.835292,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,709.111,271.320,709.111,271.320,279.640,279.640,709.111,271.320,279.640,2.835292,0.032766,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.835292,none,right,none,700.392,271.301
62,2.541667,0.111777,-0.127916,2.859814,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,697.401,294.311,697.401,294.311,302.839,302.839,697.401,294.311,302.839,2.859814,0.027536,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.859814,none,right,none,688.423,294.542
63,2.583333,0.088480,-0.071143,2.875583,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,685.188,323.666,685.188,323.666,332.024,332.024,685.188,323.666,332.024,2.875583,0.025801,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.875583,none,right,none,676.291,324.167
64,2.625000,0.068252,-0.008355,2.924118,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,674.279,355.804,674.279,355.804,364.141,364.141,674.279,355.804,364.141,2.924118,0.043148,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.924118,none,right,none,665.069,356.441
65,2.666667,0.045385,0.060930,2.927587,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,662.767,390.565,662.767,390.565,399.314,399.314,662.767,390.565,399.314,2.927587,0.024211,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.927587,none,right,none,653.519,390.983
66,2.708333,0.028814,0.068690,2.928441,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.450,394.448,654.450,394.448,403.207,403.207,654.450,394.448,403.207,2.928441,0.015580,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.928441,none,right,none,645.107,394.789
67,2.750000,0.015667,0.017720,2.932838,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,647.845,368.873,647.845,368.873,376.950,376.950,647.845,368.873,376.950,2.932838,0.013528,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.932838,none,right,none,638.391,369.252
68,2.791667,0.004197,-0.024463,2.928441,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,642.105,347.732,642.105,347.732,356.231,356.231,642.105,347.732,356.231,2.928441,0.007742,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.928441,none,right,none,632.413,348.138
69,2.833333,-0.007378,-0.056353,2.927587,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,636.299,331.731,636.299,331.731,339.934,339.934,636.299,331.731,339.934,2.927587,0.016949,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.927587,none,right,none,626.783,332.019
70,2.875000,-0.023403,-0.077566,2.932838,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,628.281,321.159,628.281,321.159,329.213,329.213,628.281,321.159,329.213,2.932838,0.014938,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.932838,none,right,none,619.050,321.347
71,2.916667,-0.040611,-0.087853,2.927587,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,619.628,315.929,619.628,315.929,324.150,324.150,619.628,315.929,324.150,2.927587,0.030280,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.927587,none,right,none,610.398,316.146
72,2.958333,-0.057639,-0.086382,2.875314,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,610.560,315.879,610.560,315.879,324.398,324.398,610.560,315.879,324.398,2.875314,0.040189,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.875314,none,right,none,601.134,316.348
