frame,time,motion_regime,motion_speed_score,contact_observed,contact_persistent,pose_anchor_allowed,source
125,5.166667,low_speed,0.012527,0,0,0,generic_motion_regime_from_se3_and_anchor_state
126,5.208333,uniform_motion,0.036617,0,0,0,generic_motion_regime_from_se3_and_anchor_state
127,5.250000,low_speed,0.032720,0,0,0,generic_motion_regime_from_se3_and_anchor_state
128,5.291667,uniform_motion,0.059558,0,0,0,generic_motion_regime_from_se3_and_anchor_state
129,5.333333,uniform_motion,0.041758,0,0,0,generic_motion_regime_from_se3_and_anchor_state
130,5.375000,uniform_motion,0.066134,0,0,0,generic_motion_regime_from_se3_and_anchor_state
131,5.416667,uniform_motion,0.050101,0,0,0,generic_motion_regime_from_se3_and_anchor_state
132,5.458333,free_motion,0.088268,0,0,0,generic_motion_regime_from_se3_and_anchor_state
133,5.500000,uniform_motion,0.056223,0,0,0,generic_motion_regime_from_se3_and_anchor_state
134,5.541667,free_motion,0.070215,0,0,0,generic_motion_regime_from_se3_and_anchor_state
135,5.583333,static_hold,0.010766,0,0,0,generic_motion_regime_from_se3_and_anchor_state
136,5.625000,free_motion,0.075099,0,0,0,generic_motion_regime_from_se3_and_anchor_state
137,5.666667,free_motion,0.075042,0,0,0,generic_motion_regime_from_se3_and_anchor_state
138,5.708333,uniform_motion,0.051270,0,0,0,generic_motion_regime_from_se3_and_anchor_state
139,5.750000,uniform_motion,0.041569,0,0,0,generic_motion_regime_from_se3_and_anchor_state
140,5.791667,low_speed,0.033262,0,0,0,generic_motion_regime_from_se3_and_anchor_state
141,5.833333,low_speed,0.021871,0,0,0,generic_motion_regime_from_se3_and_anchor_state
142,5.875000,low_speed,0.017029,0,0,0,generic_motion_regime_from_se3_and_anchor_state
143,5.916667,low_speed,0.017702,0,0,0,generic_motion_regime_from_se3_and_anchor_state
144,5.958333,low_speed,0.023708,0,0,0,generic_motion_regime_from_se3_and_anchor_state
145,6.000000,uniform_motion,0.034719,0,0,0,generic_motion_regime_from_se3_and_anchor_state
146,6.041667,uniform_motion,0.058603,0,0,0,generic_motion_regime_from_se3_and_anchor_state
147,6.083333,uniform_motion,0.060903,0,0,0,generic_motion_regime_from_se3_and_anchor_state
148,6.125000,high_speed,0.198775,0,0,0,generic_motion_regime_from_se3_and_anchor_state
149,6.166667,high_speed,0.214405,0,0,0,generic_motion_regime_from_se3_and_anchor_state
150,6.208333,static_hold,0.010959,0,0,0,generic_motion_regime_from_se3_and_anchor_state
151,6.250000,uniform_motion,0.058164,0,0,0,generic_motion_regime_from_se3_and_anchor_state
152,6.291667,free_motion,0.072065,0,0,0,generic_motion_regime_from_se3_and_anchor_state
153,6.333333,uniform_motion,0.053008,0,0,0,generic_motion_regime_from_se3_and_anchor_state
154,6.375000,high_speed,0.164727,0,0,0,generic_motion_regime_from_se3_and_anchor_state
155,6.416667,uniform_motion,0.039835,0,0,0,generic_motion_regime_from_se3_and_anchor_state
156,6.458333,low_speed,0.026591,0,0,0,generic_motion_regime_from_se3_and_anchor_state
157,6.500000,low_speed,0.026304,0,0,0,generic_motion_regime_from_se3_and_anchor_state
158,6.541667,low_speed,0.012962,0,0,0,generic_motion_regime_from_se3_and_anchor_state
159,6.583333,low_speed,0.026745,0,0,0,generic_motion_regime_from_se3_and_anchor_state
160,6.625000,low_speed,0.023630,0,0,0,generic_motion_regime_from_se3_and_anchor_state
161,6.666667,low_speed,0.019350,0,0,0,generic_motion_regime_from_se3_and_anchor_state
162,6.708333,low_speed,0.015545,0,0,0,generic_motion_regime_from_se3_and_anchor_state
163,6.750000,low_speed,0.017452,0,0,0,generic_motion_regime_from_se3_and_anchor_state
164,6.791667,low_speed,0.021668,0,0,0,generic_motion_regime_from_se3_and_anchor_state
165,6.833333,low_speed,0.023856,0,0,0,generic_motion_regime_from_se3_and_anchor_state
166,6.875000,free_motion,0.099727,0,0,0,generic_motion_regime_from_se3_and_anchor_state
167,6.916667,free_motion,0.079482,0,0,0,generic_motion_regime_from_se3_and_anchor_state
168,6.958333,uniform_motion,0.056756,0,0,0,generic_motion_regime_from_se3_and_anchor_state
169,7.000000,uniform_motion,0.059193,0,0,0,generic_motion_regime_from_se3_and_anchor_state
170,7.041667,uniform_motion,0.063231,0,0,0,generic_motion_regime_from_se3_and_anchor_state
171,7.083333,free_motion,0.083935,0,0,0,generic_motion_regime_from_se3_and_anchor_state
172,7.125000,free_motion,0.081019,0,0,0,generic_motion_regime_from_se3_and_anchor_state
173,7.166667,free_motion,0.090593,0,0,0,generic_motion_regime_from_se3_and_anchor_state
174,7.208333,free_motion,0.109450,0,0,0,generic_motion_regime_from_se3_and_anchor_state
175,7.250000,high_speed,0.117451,0,0,0,generic_motion_regime_from_se3_and_anchor_state
176,7.291667,high_speed,0.131339,0,0,0,generic_motion_regime_from_se3_and_anchor_state
177,7.333333,sustained_grasp,0.105449,1,1,1,generic_motion_regime_from_se3_and_anchor_state
178,7.375000,free_motion,0.107785,0,0,0,generic_motion_regime_from_se3_and_anchor_state
179,7.416667,free_motion,0.094582,0,0,0,generic_motion_regime_from_se3_and_anchor_state
180,7.458333,free_motion,0.086417,0,0,0,generic_motion_regime_from_se3_and_anchor_state
