frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
40,1.625000,698.518,417.014,698.447,418.387,ref,692.713,416.032,human_nearest_mesh_topk,699.567,426.433,425.467,9.419,8.046,bottom_percentile_95,2.949294,2.970526,0.021231,1.000000,0.000000,0.006541,0.255815,0.255815,0.983588,0.221000,0.483650,5.000000,8.000000,right_hand,0.006507,487.175,422.033,2.751378,grid_02_00,2.962459,2.949294,0.255815,0.966317,0.238214,0.000000
41,1.666667,698.691,385.662,698.752,385.829,ref,692.913,384.730,human_nearest_mesh_topk,699.735,393.715,393.056,8.053,7.886,bottom_percentile_95,2.939974,2.941450,0.001476,1.000000,0.000000,0.007121,0.717926,0.717926,0.970741,0.394000,0.405050,5.000000,8.000000,right_hand,0.007121,493.570,418.371,2.735578,left,2.932348,2.939974,0.717926,0.658810,0.000000,0.000000
42,1.708333,699.075,360.610,698.713,360.367,ref,693.362,359.903,human_nearest_mesh_topk,699.910,368.111,368.579,7.501,7.743,bottom_percentile_95,2.922903,2.924237,0.001334,1.000000,0.057063,0.008309,0.994398,0.994398,0.942225,0.778000,0.310750,5.000000,8.000000,right_hand,0.008309,504.979,413.514,2.721586,left,2.908936,2.922903,0.994398,0.468093,0.000000,0.000000
43,1.750000,698.297,341.294,698.178,341.675,ref,693.125,342.367,human_nearest_mesh_topk,698.840,349.335,348.885,8.041,7.660,bottom_percentile_95,2.907197,2.902671,-0.004527,1.000000,0.278574,0.011626,0.800575,0.800575,1.000000,0.000000,0.042450,5.000000,8.000000,right_hand,0.011626,523.123,407.973,2.737983,left,2.894347,2.907197,0.800575,0.449781,0.029994,0.000000
44,1.791667,697.032,329.980,697.010,329.831,ref,691.893,331.015,human_nearest_mesh_topk,697.689,337.421,337.638,7.441,7.590,bottom_percentile_95,2.911988,2.934893,0.022906,1.000000,0.388023,0.018490,0.693594,0.693594,0.906059,1.265000,0.067450,5.000000,8.000000,right_hand,0.018490,543.799,399.959,2.779462,left,2.915907,2.911988,0.693594,0.217257,0.000000,0.000000
45,1.833333,695.812,324.394,695.701,325.139,ref,690.240,327.233,human_nearest_mesh_topk,696.064,332.682,332.027,8.288,7.542,bottom_percentile_95,2.901283,2.909483,0.008200,1.000000,0.159526,0.035086,1.000000,1.000000,0.815314,2.486971,0.000000,5.000000,8.000000,right_hand,0.035086,571.023,393.142,2.798408,left,2.892524,2.901283,1.000000,0.654431,0.000000,0.000000
46,1.875000,694.381,324.493,694.543,324.618,ref,689.000,327.097,human_nearest_mesh_topk,694.714,332.078,331.863,7.585,7.460,bottom_percentile_95,2.852083,2.024483,-0.827600,1.000000,0.325462,0.073776,0.000000,0.100000,0.709099,3.917251,0.221300,5.000000,8.000000,right_hand,0.073425,597.934,381.762,2.840475,grid_04_01,2.055277,2.852083,0.000000,0.215955,0.201915,0.000000
47,1.916667,699.499,321.704,703.042,320.000,ref,710.062,318.621,human_nearest_mesh_topk,710.062,327.461,318.621,5.757,7.461,bottom_percentile_95,2.823865,2.846291,0.022426,1.000000,0.000000,0.090805,0.000000,0.100000,1.000000,0.000000,10.563300,5.000000,8.000000,right_hand,0.090805,626.964,366.614,2.899201,grid_02_05,1.634649,2.823865,0.000000,8.839745,0.635852,0.000000
48,1.958333,724.150,305.829,721.878,305.851,ref,722.328,308.153,human_nearest_mesh_topk,724.373,313.254,314.397,7.425,7.403,bottom_percentile_95,2.801824,1.653806,-1.148018,1.000000,0.000000,0.129312,0.000000,0.100000,1.000000,0.000000,1.198900,5.000000,8.000000,right_hand,0.124291,647.241,347.053,2.980555,grid_05_02,1.719805,2.801824,0.000000,1.143424,0.000000,0.000000
49,2.000000,745.705,286.059,746.114,286.931,ref,740.001,288.529,human_nearest_mesh_topk,746.042,294.256,293.539,8.197,7.325,bottom_percentile_95,2.807327,2.833668,0.026342,1.000000,0.021243,0.114070,0.000000,0.100000,1.000000,0.000000,0.442000,5.000000,8.000000,right_hand,0.114070,657.031,322.421,3.067446,left,2.811829,2.807327,0.000000,0.716445,0.000000,0.000000
50,2.041667,766.612,271.424,766.525,271.191,ref,761.436,272.047,human_nearest_mesh_topk,766.623,278.358,278.462,6.934,7.167,bottom_percentile_95,2.803725,2.818114,0.014389,1.000000,0.453596,0.072790,0.000000,0.100000,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.072790,656.399,300.673,3.149533,left,2.800778,2.803725,0.000000,0.104350,0.000000,0.000000
51,2.083333,784.542,260.783,784.919,261.210,ref,779.034,259.841,human_nearest_mesh_topk,784.651,268.216,267.347,7.433,7.006,bottom_percentile_95,2.792761,2.794372,0.001611,1.000000,0.000000,0.039355,0.000000,0.100000,1.000000,0.000000,0.524750,5.000000,8.000000,right_hand,0.039355,646.805,277.440,3.231723,left,2.783790,2.792761,0.000000,0.868567,0.000000,0.000000
52,2.125000,798.185,255.710,797.153,256.177,ref,792.935,254.643,human_nearest_mesh_topk,798.578,263.151,262.691,7.441,6.974,bottom_percentile_95,2.742698,2.711574,-0.031125,1.000000,0.437226,0.019783,1.000000,1.000000,0.332687,8.986000,0.108200,5.000000,8.000000,right_hand,0.019757,631.990,255.464,3.305822,grid_02_00,2.701738,2.742698,1.000000,0.460460,0.042830,0.000000
53,2.166667,808.168,252.798,803.151,251.671,ref,802.940,251.924,human_nearest_mesh_topk,808.500,258.796,260.100,5.998,7.125,bottom_percentile_95,2.706279,2.685254,-0.021025,1.000000,0.000000,0.010524,0.334249,0.334249,0.000000,18.969000,0.213600,5.000000,8.000000,right_hand,0.010457,616.960,238.677,3.347215,grid_02_00,2.676482,2.706279,0.334249,1.304314,0.426369,0.000000
54,2.208333,801.837,243.194,799.994,242.806,ref,796.334,242.016,human_nearest_mesh_topk,802.161,250.119,250.283,6.925,7.313,bottom_percentile_95,2.690199,2.683980,-0.006219,1.000000,0.917366,0.007967,0.165252,0.165252,0.061484,12.638000,0.000000,5.000000,8.000000,right_hand,0.007917,599.463,228.113,3.388884,grid_02_00,2.677042,2.690199,0.165252,0.163410,0.074800,0.000000
55,2.250000,789.199,231.193,790.271,232.020,ref,783.838,230.613,human_nearest_mesh_topk,788.853,239.413,238.933,8.220,7.393,bottom_percentile_95,2.678422,2.678301,-0.000121,1.000000,0.000000,0.007415,0.000000,0.100000,1.000000,0.000000,0.650750,5.000000,8.000000,right_hand,0.007391,583.984,219.927,3.427074,grid_02_00,2.668786,2.678422,0.000000,0.480481,0.000000,0.000000
56,2.291667,776.439,225.611,776.457,225.755,ref,771.135,224.786,human_nearest_mesh_topk,776.185,233.049,233.052,7.438,7.295,bottom_percentile_95,2.702091,2.728232,0.026141,1.000000,0.421698,0.006705,0.561150,0.561150,0.585473,5.582000,0.352500,5.000000,8.000000,right_hand,0.006705,567.173,218.784,3.448918,left,2.721456,2.702091,0.561150,0.002938,0.000000,0.000000
57,2.333333,763.571,224.338,763.548,225.171,ref,758.387,223.568,human_nearest_mesh_topk,763.914,232.285,231.029,7.947,7.113,bottom_percentile_95,2.719107,2.742678,0.023571,1.000000,0.000000,0.006352,0.738749,0.738749,0.490938,6.855000,0.324400,5.000000,8.000000,right_hand,0.006352,552.691,221.451,3.443837,left,2.733029,2.719107,0.738749,1.255605,0.000000,0.000000
58,2.375000,750.395,228.679,750.445,228.890,ref,745.271,228.044,human_nearest_mesh_topk,751.135,235.822,235.694,7.143,6.932,bottom_percentile_95,2.737003,2.761995,0.024991,1.000000,0.926596,0.006250,1.000000,1.000000,0.813307,2.514000,0.000000,5.000000,8.000000,right_hand,0.006246,538.695,229.166,3.440150,grid_02_00,2.751646,2.737003,1.000000,0.127317,0.000000,0.000000
59,2.416667,736.984,237.429,736.839,237.536,ref,731.953,236.841,human_nearest_mesh_topk,737.576,244.397,244.258,6.968,6.860,bottom_percentile_95,2.762078,2.792982,0.030903,1.000000,0.512281,0.006163,1.000000,1.000000,1.000000,0.000000,0.186650,5.000000,8.000000,right_hand,0.006155,524.656,241.133,3.438536,grid_02_00,2.782594,2.762078,1.000000,0.138712,0.000000,0.000000
60,2.458333,722.829,252.010,722.796,252.005,ref,717.411,251.452,human_nearest_mesh_topk,723.397,258.964,258.939,6.954,6.958,bottom_percentile_95,2.779495,2.809197,0.029702,1.000000,0.454467,0.005945,1.000000,1.000000,1.000000,0.000000,0.086150,5.000000,8.000000,right_hand,0.005934,508.944,258.772,3.430002,grid_02_00,2.793744,2.779495,1.000000,0.024419,0.000000,0.000000
61,2.500000,709.111,271.320,709.461,271.000,ref,704.181,270.513,human_nearest_mesh_topk,709.923,278.069,278.389,6.749,7.069,bottom_percentile_95,2.811985,2.844751,0.032766,1.000000,0.147677,0.005722,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.005722,494.029,279.855,3.411689,left,2.838568,2.811985,1.000000,0.319940,0.000000,0.000000
62,2.541667,697.401,294.311,697.031,294.848,ref,692.352,293.510,human_nearest_mesh_topk,698.347,301.955,301.594,7.644,7.107,bottom_percentile_95,2.836821,2.864357,0.027536,1.000000,0.021234,0.005210,1.000000,1.000000,1.000000,0.000000,0.104000,5.000000,8.000000,right_hand,0.005209,478.278,302.491,3.389118,grid_02_00,2.857142,2.836821,1.000000,0.360407,0.000000,0.000000
63,2.583333,685.188,323.666,685.506,323.373,ref,679.997,322.929,human_nearest_mesh_topk,686.097,330.577,330.845,6.911,7.204,bottom_percentile_95,2.858875,2.884676,0.025801,1.000000,0.030749,0.004670,1.000000,1.000000,1.000000,0.000000,0.002550,5.000000,8.000000,right_hand,0.004666,461.618,327.177,3.368739,grid_02_00,2.876919,2.858875,1.000000,0.268500,0.000000,0.000000
64,2.625000,674.279,355.804,673.790,358.995,ref,668.669,355.363,human_nearest_mesh_topk,675.004,366.312,362.986,10.508,7.317,bottom_percentile_95,2.901625,2.944773,0.043148,1.000000,0.000000,0.004317,0.809206,0.809206,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.004298,447.144,351.384,3.342337,grid_02_00,2.936602,2.901625,0.809206,3.325898,0.000000,0.000000
