frame,time,tx,ty,tz,yaw,pitch,roll,scale,radius_m
158,6.541667,-0.050774,0.252518,1.968777,0.040817,-0.000000,0.0,1.0,0.045
159,6.583333,-0.051051,0.252946,1.970361,0.034422,-0.000000,0.0,1.0,0.045
160,6.625000,-0.051262,0.253556,1.967912,0.027418,-0.000000,0.0,1.0,0.045
161,6.666667,-0.051935,0.254298,1.965799,0.019465,-0.000000,0.0,1.0,0.045
162,6.708333,-0.047751,0.253398,1.963028,0.010416,-0.000000,0.0,1.0,0.045
163,6.750000,-0.040744,0.251754,1.964575,0.000603,-0.000000,0.0,1.0,0.045
164,6.791667,-0.031439,0.249545,1.964657,-0.009180,-0.000000,0.0,1.0,0.045
165,6.833333,-0.021740,0.246440,1.965801,-0.018074,-0.000000,0.0,1.0,0.045
166,6.875000,-0.010630,0.244465,1.965191,-0.025670,-0.000000,0.0,1.0,0.045
167,6.916667,0.000400,0.241220,1.972032,-0.032168,-0.000000,0.0,1.0,0.045
168,6.958333,0.015912,0.242053,1.974291,-0.037989,-0.000000,0.0,1.0,0.045
169,7.000000,0.029214,0.241103,1.978109,-0.043180,-0.000000,0.0,1.0,0.045
170,7.041667,0.041511,0.244674,1.979170,-0.047271,-0.000000,0.0,1.0,0.045
171,7.083333,0.052604,0.248792,1.982014,-0.049735,-0.000000,0.0,1.0,0.045
172,7.125000,0.061328,0.253682,1.989259,-0.050505,-0.000000,0.0,1.0,0.045
173,7.166667,0.066269,0.258388,1.994393,-0.050015,-0.000000,0.0,1.0,0.045
174,7.208333,0.068750,0.260584,1.996831,-0.048867,-0.000000,0.0,1.0,0.045
175,7.250000,0.069398,0.261785,1.998613,-0.047527,-0.000000,0.0,1.0,0.045
176,7.291667,0.069713,0.262815,2.000414,-0.046234,-0.000000,0.0,1.0,0.045
177,7.333333,0.071098,0.263798,2.001582,-0.045057,-0.000000,0.0,1.0,0.045
178,7.375000,0.072656,0.263789,2.004598,-0.043951,-0.000000,0.0,1.0,0.045
179,7.416667,0.074070,0.264395,2.008618,-0.042739,-0.000000,0.0,1.0,0.045
180,7.458333,0.075024,0.265347,2.008585,-0.041077,-0.000000,0.0,1.0,0.045
181,7.500000,0.076473,0.265922,2.010730,-0.038509,-0.000000,0.0,1.0,0.045
182,7.541667,0.076933,0.267209,2.010156,-0.034636,-0.000000,0.0,1.0,0.045
183,7.583333,0.078100,0.268656,2.010219,-0.029334,-0.000000,0.0,1.0,0.045
184,7.625000,0.078694,0.270074,2.008572,-0.022830,-0.000000,0.0,1.0,0.045
185,7.666667,0.079084,0.271193,2.007521,-0.015620,-0.000000,0.0,1.0,0.045
186,7.708333,0.080697,0.271518,2.005607,-0.008336,-0.000000,0.0,1.0,0.045
187,7.750000,0.081212,0.272436,2.002597,-0.001686,-0.000000,0.0,1.0,0.045
188,7.791667,0.080617,0.273470,2.000203,0.003586,-0.000000,0.0,1.0,0.045
189,7.833333,0.082110,0.273925,2.000666,0.006863,-0.000000,0.0,1.0,0.045
190,7.875000,0.081460,0.274209,1.997206,0.007998,-0.000000,0.0,1.0,0.045
191,7.916667,0.082215,0.274013,1.996059,0.007612,-0.000000,0.0,1.0,0.045
192,7.958333,0.080708,0.272435,1.992843,0.006917,-0.000000,0.0,1.0,0.045
