frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,contact_surface_gap_m,audio_score,audio_anchor_type
32,1.291667,-0.287920,0.210301,3.605943,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.738,445.650,,522.738,445.650,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.104748,3.585649,522.738,445.650,519.000,399.000,-0.001729,-0.001729,3.604214,3.606017,3.543285,3.606017,0.018565,-0.012483,0.000000,
33,1.333333,-0.265907,0.280611,3.599185,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,531.500,474.500,,531.500,474.500,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.168942,3.592409,531.500,474.500,528.000,432.000,0.036688,0.036688,3.635873,3.599234,3.542260,3.599234,0.043464,-0.007780,0.000000,
34,1.375000,-0.274298,0.421655,3.592451,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.866,532.374,,527.866,532.374,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.236420,3.618556,527.866,532.374,531.000,488.000,0.026105,0.026105,3.618556,3.592451,3.523740,3.592451,0.000000,0.067158,0.000000,
35,1.416667,-0.263322,0.575921,3.588047,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,532.221,595.727,,532.221,595.727,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.282803,3.658267,532.221,595.727,542.000,545.000,0.070220,0.070220,3.658267,3.588047,3.504450,3.588047,0.000000,0.181416,0.000000,
36,1.458333,-0.262323,0.638262,3.609456,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.267,619.694,,533.267,619.694,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,1,1,1,1,1,hand,right,right_hand,right_hand,0.302807,3.678698,533.267,619.694,539.000,574.000,0.069242,0.069242,3.678698,3.609456,3.489375,3.609456,0.000000,0.222527,0.686363,audio_floor_soft
37,1.500000,-0.286603,0.539965,3.716387,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.743,573.378,,526.743,573.378,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.299944,3.688451,526.743,573.378,535.000,528.000,-0.027936,-0.027936,3.688451,3.716387,3.490016,3.716387,0.000000,0.122280,0.000000,
38,1.541667,-0.289210,0.421810,3.612886,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.439,531.462,,522.439,531.462,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.271927,3.671550,522.439,531.462,532.000,484.000,0.058664,0.058664,3.671550,3.612886,3.510937,3.612886,0.000000,0.041065,0.000000,
39,1.583333,-0.291300,0.334699,3.619268,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.798,495.812,,521.798,495.812,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.214660,3.640499,521.798,495.812,518.000,450.000,0.000894,0.000894,3.620162,3.613421,3.534511,3.613421,-0.020338,0.002383,0.000000,
40,1.625000,-0.302482,0.267904,3.629063,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.592,468.415,,517.592,468.415,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.150207,3.621206,517.592,468.415,513.000,424.000,0.044904,0.044904,3.673967,3.613957,3.569057,3.613957,0.052761,-0.001293,0.000000,
41,1.666667,-0.317611,0.218131,3.645159,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,512.037,447.883,,512.037,447.883,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.088314,3.614303,512.037,447.883,511.000,402.000,0.135583,0.135583,3.780742,3.614492,3.621495,3.614492,0.166439,0.013610,0.000000,
