case,condition,result_dir,artifact,present,sha256,full_sha256,same_as_full
pingpong_wall,VLM only,samples_known_object/14_pingpong_wall/results/pingpong_no_audio,contact_candidates.csv,True,dba43f5b11aa66d6f660ead6f634e23e132f218a3e4109b8bae83be917812724,dba43f5b11aa66d6f660ead6f634e23e132f218a3e4109b8bae83be917812724,True
pingpong_wall,VLM only,samples_known_object/14_pingpong_wall/results/pingpong_no_audio,object_pose_init.csv,True,049e756bb84dcc958b751776b2b2752338d23ed63e497f61c154b3decdee29b3,049e756bb84dcc958b751776b2b2752338d23ed63e497f61c154b3decdee29b3,True
pingpong_wall,Neither,samples_known_object/14_pingpong_wall/results/paper_vision_only_v2,stage0_inputs_manifest.json,True,beed8695bb098354a5c7795ff622a2630e12f66861861ee5d7f9b81871b11460,beed8695bb098354a5c7795ff622a2630e12f66861861ee5d7f9b81871b11460,True
pingpong_wall,Neither,samples_known_object/14_pingpong_wall/results/paper_vision_only_v2,object_observations.csv,True,32fc688c4a8080de4f6b8a84da2759c281d332336e05b1beb7693a8d9c372e17,32fc688c4a8080de4f6b8a84da2759c281d332336e05b1beb7693a8d9c372e17,True
pingpong_wall,Neither,samples_known_object/14_pingpong_wall/results/paper_vision_only_v2,object_correspondence.csv,True,b42cb1d1c0179ed63a575e364ce4aa83e9e93f7d80a1b3092758efea8f74bc0f,b42cb1d1c0179ed63a575e364ce4aa83e9e93f7d80a1b3092758efea8f74bc0f,True
pingpong_wall,Neither,samples_known_object/14_pingpong_wall/results/paper_vision_only_v2,human_sites.csv,True,ae0b430dd18409d332b7817b7953b201005f1f77566018f84b02eec324882678,ae0b430dd18409d332b7817b7953b201005f1f77566018f84b02eec324882678,True
pingpong_wall,Neither,samples_known_object/14_pingpong_wall/results/paper_vision_only_v2,contact_candidates.csv,True,dba43f5b11aa66d6f660ead6f634e23e132f218a3e4109b8bae83be917812724,dba43f5b11aa66d6f660ead6f634e23e132f218a3e4109b8bae83be917812724,True
pingpong_wall,Neither,samples_known_object/14_pingpong_wall/results/paper_vision_only_v2,object_pose_init.csv,True,049e756bb84dcc958b751776b2b2752338d23ed63e497f61c154b3decdee29b3,049e756bb84dcc958b751776b2b2752338d23ed63e497f61c154b3decdee29b3,True
suitcase_drag,Audio + VLM,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,stage0_inputs_manifest.json,False,,,False
suitcase_drag,Audio + VLM,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,object_observations.csv,False,,,False
suitcase_drag,Audio + VLM,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,object_correspondence.csv,False,,,False
suitcase_drag,Audio + VLM,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,human_sites.csv,False,,,False
suitcase_drag,Audio + VLM,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,contact_candidates.csv,False,,,False
suitcase_drag,Audio + VLM,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,object_pose_init.csv,False,,,False
suitcase_drag,Audio only,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,stage0_inputs_manifest.json,False,,,False
suitcase_drag,Audio only,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,object_observations.csv,False,,,False
suitcase_drag,Audio only,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,object_correspondence.csv,False,,,False
suitcase_drag,Audio only,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,human_sites.csv,False,,,False
suitcase_drag,Audio only,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,contact_candidates.csv,False,,,False
suitcase_drag,Audio only,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,object_pose_init.csv,False,,,False
suitcase_drag,VLM only,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,stage0_inputs_manifest.json,False,,,False
suitcase_drag,VLM only,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,object_observations.csv,False,,,False
suitcase_drag,VLM only,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,object_correspondence.csv,False,,,False
suitcase_drag,VLM only,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,human_sites.csv,False,,,False
suitcase_drag,VLM only,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,contact_candidates.csv,False,,,False
suitcase_drag,VLM only,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses,object_pose_init.csv,False,,,False
suitcase_drag,Neither,samples_known_object/15_suitcase_drag/results/pure_solver_no_audio_no_vlm,stage0_inputs_manifest.json,True,bdd43ef317492fc839a005c9c8b7d829f0d907e39d7de45e45faf238d85ab5c0,,False
suitcase_drag,Neither,samples_known_object/15_suitcase_drag/results/pure_solver_no_audio_no_vlm,object_observations.csv,True,dc2a5c3fd6ae532d71a4d6406fa0f6fa57988873d6ec90fa0a2e7d081009e85c,,False
suitcase_drag,Neither,samples_known_object/15_suitcase_drag/results/pure_solver_no_audio_no_vlm,object_correspondence.csv,True,0d0cd10ddde5ae3d513ce3d7d0e38584f5d4eea0f062fc7be3453dab68c8c677,,False
suitcase_drag,Neither,samples_known_object/15_suitcase_drag/results/pure_solver_no_audio_no_vlm,human_sites.csv,False,,,False
suitcase_drag,Neither,samples_known_object/15_suitcase_drag/results/pure_solver_no_audio_no_vlm,contact_candidates.csv,True,73cafe962ed7c19af87cb28c51eba436671ef551e99635f9c8a1810571186431,,False
suitcase_drag,Neither,samples_known_object/15_suitcase_drag/results/pure_solver_no_audio_no_vlm,object_pose_init.csv,True,10020af1b6bd1cffc45fe539c7d7528b3a99220da686f9f58922430b13be1ac0,,False
