frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap
36,1.458333,-0.262972,0.639843,3.618399,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.267,619.694,,533.267,619.694,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,1,1,1,floor,,floor,right_hand,0.302807,3.678698,533.267,619.694,506.351,641.281,0.069242,3.687641,3.618524,3.575318,3.618524,0.008943
37,1.500000,-0.278834,0.525327,3.615641,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.743,573.378,,526.743,573.378,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,1,0,hand,right,right_hand,right_hand,0.299944,3.688451,526.743,573.378,515.068,606.212,-0.027936,3.587705,3.615705,3.590846,3.615705,-0.100745
38,1.541667,-0.289210,0.421810,3.612886,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.439,531.462,,522.439,531.462,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,1,1,0,1,0,hand,right,right_hand,right_hand,0.271927,3.671550,522.439,531.462,529.197,486.073,0.058664,3.671550,3.612886,3.613458,3.612886,0.000000
39,1.583333,-0.291022,0.334379,3.615808,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.798,495.812,,521.798,495.812,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.214660,3.640499,521.798,495.812,519.552,448.919,0.000894,3.616702,3.615825,3.643987,3.615825,-0.023797
40,1.625000,-0.301620,0.267141,3.618725,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.592,468.415,,517.592,468.415,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.150207,3.621206,517.592,468.415,514.305,423.729,0.044904,3.663629,3.618764,3.650400,3.618764,0.042424
41,1.666667,-0.315560,0.216722,3.621618,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,512.037,447.883,,512.037,447.883,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.088314,3.614303,512.037,447.883,513.834,401.888,0.135583,3.757201,3.621703,3.646580,3.621703,0.142898
42,1.708333,-0.320013,0.184087,3.624541,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,510.336,434.589,,510.336,434.589,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.047908,3.603596,510.336,434.589,510.467,389.177,0.113495,3.738036,3.624642,3.645409,3.624642,0.134440
43,1.750000,-0.326027,0.166275,3.627446,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,508.005,427.318,,508.005,427.318,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.023571,3.605705,508.005,427.318,509.285,380.573,0.132893,3.760339,3.627581,3.645535,3.627581,0.154635
44,1.791667,-0.322256,0.159546,3.630408,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.638,424.541,,509.638,424.541,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.024516,3.608222,509.638,424.541,507.326,379.102,0.117810,3.748218,3.630520,3.648000,3.630520,0.139996
45,1.833333,-0.308038,0.175919,3.633386,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,515.492,431.106,,515.492,431.106,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.052561,3.600945,515.492,431.106,505.532,389.240,0.063792,3.697178,3.633459,3.651444,3.633459,0.096233
46,1.875000,-0.294517,0.223966,3.636292,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.052,450.454,,521.052,450.454,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.103709,3.601496,521.052,450.454,508.796,406.709,-0.099169,3.537123,3.636398,3.650738,3.636398,-0.064373
47,1.916667,-0.277790,0.310650,3.639122,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.895,485.366,,527.895,485.366,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.177883,3.610142,527.895,485.366,514.853,443.916,-0.084889,3.554233,3.639337,3.640120,3.639337,-0.055909
