frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
78,3.208333,525.724,531.022,0.000000,492.604,537.383,0.000000,566.260,534.345,0.000000,535.111,495.225,0.000000,523.127,567.526,1.000000
79,3.250000,519.382,497.002,0.000000,486.735,506.811,0.000000,560.769,502.593,0.000000,529.502,467.702,0.000000,513.639,532.073,1.000000
80,3.291667,513.327,472.308,0.000000,482.445,482.923,0.000000,552.851,478.841,0.000000,523.718,448.686,0.000000,505.257,505.264,1.000000
81,3.333333,505.082,454.617,0.000000,476.315,466.863,0.000000,543.401,461.729,0.000000,516.411,435.508,0.000000,496.542,487.355,1.000000
82,3.375000,503.948,447.231,0.000000,475.767,460.824,0.000000,541.527,455.532,0.000000,515.093,430.319,0.000000,495.927,479.686,1.000000
83,3.416667,502.439,449.082,0.000000,473.936,461.608,0.000000,539.150,458.615,0.000000,512.792,432.568,0.000000,494.816,481.248,1.000000
84,3.458333,499.350,463.893,0.000000,469.363,470.363,0.000000,536.902,473.725,0.000000,510.372,441.307,0.000000,492.904,495.753,1.000000
85,3.500000,492.457,496.093,0.000000,465.058,505.541,0.000000,533.633,504.285,0.000000,505.392,468.749,0.000000,490.267,532.318,0.000000
86,3.541667,496.505,546.666,0.000000,466.228,549.117,0.000000,538.639,549.877,0.000000,507.297,508.442,0.000000,497.312,583.748,0.000000
87,3.583333,493.254,609.215,0.000000,465.188,607.287,0.000000,534.576,608.427,0.000000,504.330,563.887,0.000000,493.896,636.929,0.000000
88,3.625000,493.821,604.176,0.000000,465.832,602.741,0.000000,535.457,603.235,0.000000,505.076,561.777,0.000000,494.334,632.258,0.000000
89,3.666667,493.930,555.947,0.000000,463.836,561.235,0.000000,536.917,555.048,0.000000,504.928,515.106,0.000000,493.201,591.961,0.000000
90,3.708333,494.842,516.460,0.000000,463.941,526.212,0.000000,535.889,521.790,0.000000,506.647,482.487,0.000000,492.494,554.776,0.000000
91,3.750000,497.093,487.136,0.000000,465.055,497.147,0.000000,535.824,495.049,0.000000,505.915,459.790,0.000000,493.082,523.565,0.000000
92,3.791667,497.704,464.992,0.000000,466.489,473.705,0.000000,533.492,477.049,0.000000,506.984,441.390,0.000000,491.020,500.827,0.000000
93,3.833333,499.075,452.430,0.000000,467.571,461.440,0.000000,532.766,464.755,0.000000,506.938,431.551,0.000000,491.814,487.869,0.000000
94,3.875000,502.274,444.267,0.000000,472.734,454.798,0.000000,536.524,458.235,0.000000,508.992,425.489,0.000000,497.105,480.346,0.000000
95,3.916667,503.572,444.513,0.000000,474.615,454.255,0.000000,538.212,458.522,0.000000,510.604,426.147,0.000000,499.460,480.560,0.000000
96,3.958333,508.174,453.556,0.000000,479.643,464.647,0.000000,544.635,465.588,0.000000,516.191,430.720,0.000000,506.382,490.218,0.000000
97,4.000000,509.149,487.203,1.000000,466.000,487.203,1.000000,552.000,487.203,1.000000,509.149,443.000,1.000000,509.149,530.000,1.000000
98,4.041667,521.117,545.771,1.000000,478.691,543.454,1.000000,558.991,540.021,1.000000,521.676,480.711,0.000000,522.050,582.292,0.000000
99,4.083333,535.908,614.311,1.000000,493.167,611.049,1.000000,569.019,603.175,0.000000,529.979,496.018,0.000000,536.703,648.303,0.000000
100,4.125000,544.560,611.858,1.000000,500.325,606.501,1.000000,575.148,600.612,0.000000,535.103,499.915,0.000000,543.665,646.445,0.000000
101,4.166667,552.229,571.178,1.000000,503.920,566.417,1.000000,580.013,560.491,0.000000,537.227,491.107,0.000000,547.384,606.169,0.000000
102,4.208333,555.017,534.601,1.000000,506.691,531.904,1.000000,582.848,525.960,0.000000,538.683,473.507,0.000000,550.032,570.469,0.000000
103,4.250000,561.283,506.441,1.000000,512.446,505.183,1.000000,587.475,499.033,0.000000,542.215,456.416,0.000000,553.291,540.870,0.000000
104,4.291667,564.696,486.443,0.000000,516.347,485.562,0.000000,590.245,478.778,0.000000,543.738,439.318,0.000000,555.664,517.642,0.000000
105,4.333333,569.603,470.216,0.000000,523.690,470.092,0.000000,594.433,462.173,0.000000,547.877,423.254,0.000000,562.209,500.394,0.000000
106,4.375000,573.519,460.789,0.000000,530.247,459.605,0.000000,599.334,454.592,0.000000,552.008,413.129,0.000000,565.779,491.322,0.000000
107,4.416667,576.371,458.333,0.000000,535.368,455.933,0.000000,603.033,453.021,0.000000,556.877,410.750,0.000000,568.720,489.264,0.000000
108,4.458333,581.544,463.862,0.000000,542.478,460.865,0.000000,608.741,457.563,0.000000,565.239,417.281,0.000000,574.250,494.106,0.000000
109,4.500000,587.106,485.174,0.000000,549.334,481.879,0.000000,616.565,476.393,0.000000,574.464,436.827,0.000000,581.062,513.275,0.000000
110,4.541667,593.027,526.416,0.000000,553.031,521.470,1.000000,620.590,515.761,0.000000,582.480,473.070,0.000000,584.264,553.618,0.000000
111,4.583333,599.610,579.180,0.000000,556.634,571.453,0.000000,626.160,567.553,0.000000,582.571,499.181,0.000000,589.476,608.101,0.000000
112,4.625000,602.480,626.353,0.000000,561.777,619.418,0.000000,630.299,612.057,0.000000,580.019,502.534,0.000000,596.213,657.118,0.000000
113,4.666667,595.329,597.841,0.000000,556.253,589.188,0.000000,625.508,582.881,0.000000,578.624,503.171,0.000000,588.834,623.694,0.000000
114,4.708333,592.298,553.520,0.000000,554.110,547.443,0.000000,622.909,542.775,0.000000,574.869,487.383,0.000000,582.652,581.096,0.000000
115,4.750000,587.919,515.617,0.000000,551.448,511.131,0.000000,619.664,510.548,0.000000,573.190,467.977,0.000000,578.390,547.844,0.000000
116,4.791667,584.592,488.237,0.000000,549.553,486.219,0.000000,616.397,484.691,0.000000,570.123,445.214,0.000000,576.385,520.063,0.000000
117,4.833333,580.696,467.961,0.000000,546.237,466.595,0.000000,611.590,465.547,0.000000,566.857,427.758,0.000000,574.343,501.535,0.000000
118,4.875000,578.362,455.949,0.000000,544.645,455.075,0.000000,609.643,454.319,0.000000,564.634,415.676,0.000000,573.088,489.698,0.000000
119,4.916667,577.278,449.698,0.000000,544.400,449.440,0.000000,608.763,448.643,0.000000,564.659,409.194,0.000000,573.048,483.219,0.000000
120,4.958333,578.408,447.630,0.000000,545.034,448.060,0.000000,608.757,446.538,0.000000,567.054,407.410,0.000000,574.195,481.855,0.000000
121,5.000000,579.777,453.166,0.000000,545.324,452.196,0.000000,610.218,452.239,0.000000,572.122,411.454,0.000000,574.884,488.028,0.000000
122,5.041667,581.043,477.177,0.000000,544.620,474.896,0.000000,611.124,474.012,0.000000,578.174,432.849,0.000000,575.461,511.104,0.000000
