frame,time,site_id,body_part,side,x_m,y_m,z_m,coordinate_frame,confidence,source
28,1.125000,right_foot,foot,right,-0.376317233,1.030542493,3.098750353,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
29,1.166667,left_hand,hand,left,-0.944855583,0.146603477,3.175632620,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
29,1.166667,right_hand,hand,right,-0.264691919,-0.080348128,3.310288811,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
29,1.166667,left_foot,foot,left,-1.176204920,0.970400631,3.176274300,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
29,1.166667,right_foot,foot,right,-0.377059937,1.030012012,3.101159096,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
30,1.208333,left_hand,hand,left,-0.943964934,0.141334134,3.181260967,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
30,1.208333,right_hand,hand,right,-0.279937756,-0.046580780,3.272485304,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
30,1.208333,left_foot,foot,left,-1.175230742,0.969826102,3.172715425,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
30,1.208333,right_foot,foot,right,-0.376363337,1.031534314,3.098464012,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
31,1.250000,left_hand,hand,left,-0.939835393,0.133450043,3.194255495,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
31,1.250000,right_hand,hand,right,-0.289014459,-0.011084282,3.228905153,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
31,1.250000,left_foot,foot,left,-1.174985528,0.969022095,3.173492908,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
31,1.250000,right_foot,foot,right,-0.376376688,1.032325745,3.100707054,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
32,1.291667,left_hand,hand,left,-0.930691683,0.124085051,3.216180992,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
32,1.291667,right_hand,hand,right,-0.292517835,0.023731732,3.180674934,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
32,1.291667,left_foot,foot,left,-1.176190138,0.967944980,3.179383993,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
32,1.291667,right_foot,foot,right,-0.378159285,1.034054637,3.107573271,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
33,1.333333,left_hand,hand,left,-0.916333985,0.112172490,3.241667318,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
33,1.333333,right_hand,hand,right,-0.289479554,0.055551118,3.124358606,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
33,1.333333,left_foot,foot,left,-1.176894903,0.967281520,3.184144735,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
33,1.333333,right_foot,foot,right,-0.379346639,1.034609079,3.113528967,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
34,1.375000,left_hand,hand,left,-0.892739189,0.101947290,3.271328402,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
34,1.375000,right_hand,hand,right,-0.284197271,0.080909276,3.065703773,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
34,1.375000,left_foot,foot,left,-1.176122189,0.967062593,3.193166971,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
34,1.375000,right_foot,foot,right,-0.378713876,1.034497619,3.123414040,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
35,1.416667,left_hand,hand,left,-0.860660696,0.089241856,3.288658285,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
35,1.416667,right_hand,hand,right,-0.281633425,0.097593468,2.996145153,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
35,1.416667,left_foot,foot,left,-1.176506519,0.965157866,3.192663193,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
35,1.416667,right_foot,foot,right,-0.378256381,1.031223774,3.122161388,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
36,1.458333,left_hand,hand,left,-0.822029305,0.074670064,3.311372757,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
36,1.458333,right_hand,hand,right,-0.282213628,0.108409649,2.933187962,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
36,1.458333,left_foot,foot,left,-1.178618670,0.962818980,3.205345392,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
36,1.458333,right_foot,foot,right,-0.378290176,1.027028322,3.131142616,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
37,1.500000,left_hand,hand,left,-0.780588555,0.061898464,3.327636909,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
37,1.500000,right_hand,hand,right,-0.287827796,0.113101351,2.873319912,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
37,1.500000,left_foot,foot,left,-1.181250095,0.959828019,3.218394756,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
37,1.500000,right_foot,foot,right,-0.378493190,1.020563245,3.136744022,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
38,1.541667,left_hand,hand,left,-0.739248037,0.062747437,3.333213472,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
38,1.541667,right_hand,hand,right,-0.292149222,0.116152841,2.823459673,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
38,1.541667,left_foot,foot,left,-1.180664539,0.958948612,3.226206779,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
38,1.541667,right_foot,foot,right,-0.375845850,1.016605377,3.138172626,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
39,1.583333,left_hand,hand,left,-0.695819223,0.075142825,3.329616547,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
39,1.583333,right_hand,hand,right,-0.290438974,0.116993028,2.778995848,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
39,1.583333,left_foot,foot,left,-1.174088717,0.961497545,3.220258713,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
39,1.583333,right_foot,foot,right,-0.366608977,1.015996456,3.127975941,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
40,1.625000,left_hand,hand,left,-0.665300417,0.081790966,3.328501225,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
40,1.625000,right_hand,hand,right,-0.286311656,0.116215920,2.751377869,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
40,1.625000,left_foot,foot,left,-1.174975157,0.963047504,3.224809170,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
40,1.625000,right_foot,foot,right,-0.365942121,1.015522003,3.128686190,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
41,1.666667,left_hand,hand,left,-0.645574749,0.084543914,3.328865957,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
41,1.666667,right_hand,hand,right,-0.272755039,0.108728373,2.735578060,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
41,1.666667,left_foot,foot,left,-1.177054644,0.963677227,3.234646559,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
41,1.666667,right_foot,foot,right,-0.366801292,1.013582230,3.135620832,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
