frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
43,1.791667,1,-0.696060,0.052687,3.298595,-0.746583,0.089455,3.320030,-0.785082,0.133066,3.303267,-0.807375,0.138332,3.334875,-0.804595,0.145043,3.335778,-0.793035,0.138164,3.336778,-0.769515,0.126364,3.334413,1,-0.299151,0.084565,2.747375,-0.240260,0.104296,2.726525,-0.187083,0.121716,2.755305,-0.159411,0.139542,2.725583,-0.217691,0.110953,2.769962,-0.233827,0.115919,2.775137,-0.250344,0.123865,2.765822
44,1.833333,1,-0.702591,0.043745,3.328678,-0.745173,0.084271,3.334405,-0.787958,0.131023,3.303121,-0.805317,0.146481,3.352621,-0.798439,0.154541,3.357869,-0.785918,0.147926,3.359864,-0.759843,0.134193,3.360778,1,-0.263317,0.073875,2.789932,-0.200551,0.092586,2.753016,-0.145426,0.101379,2.778340,-0.120391,0.119292,2.756762,-0.178245,0.093985,2.798431,-0.194520,0.100164,2.804357,-0.210387,0.108979,2.795696
45,1.875000,1,-0.707006,0.033328,3.312886,-0.751817,0.076065,3.336966,-0.802685,0.117633,3.298523,-0.815238,0.141115,3.354974,-0.805553,0.151666,3.360109,-0.792419,0.147273,3.361159,-0.764636,0.135902,3.363374,1,-0.212899,0.062910,2.807212,-0.154139,0.076876,2.789498,-0.098696,0.077380,2.813186,-0.075943,0.093719,2.801641,-0.134662,0.072541,2.836415,-0.151076,0.079902,2.842566,-0.165478,0.089853,2.833932
46,1.916667,1,-0.723759,0.027771,3.292793,-0.762983,0.066072,3.328364,-0.821018,0.100835,3.289645,-0.830706,0.126530,3.341714,-0.819928,0.138412,3.343933,-0.806709,0.136898,3.343747,-0.779307,0.129966,3.347069,1,-0.163219,0.044556,2.843170,-0.104612,0.054491,2.835132,-0.052516,0.050308,2.860651,-0.027765,0.064376,2.856068,-0.090824,0.046355,2.881949,-0.107149,0.054836,2.887421,-0.119529,0.066733,2.878036
47,1.958333,1,-0.733993,0.024721,3.277220,-0.772113,0.056153,3.315470,-0.831819,0.090565,3.283203,-0.840568,0.111042,3.323412,-0.830213,0.120710,3.323230,-0.817427,0.121218,3.322191,-0.792694,0.117382,3.326559,1,-0.107442,0.017863,2.895368,-0.057773,0.023337,2.890004,-0.012701,0.019911,2.920979,0.019930,0.032275,2.917036,-0.050972,0.015843,2.935327,-0.066723,0.025174,2.938934,-0.076853,0.039348,2.928151
48,2.000000,1,-0.748774,0.021621,3.261252,-0.774198,0.048076,3.302896,-0.830869,0.090074,3.283673,-0.837212,0.099364,3.308816,-0.827829,0.103164,3.308102,-0.815756,0.104622,3.305428,-0.794718,0.101539,3.309124,1,-0.065496,-0.018471,2.965638,-0.020250,-0.015651,2.953097,0.016879,-0.014942,2.990640,0.059180,-0.003913,2.983605,-0.019516,-0.019274,2.996920,-0.034329,-0.009387,2.998039,-0.042075,0.006589,2.985996
49,2.041667,1,-0.767726,0.018617,3.243887,-0.771705,0.041986,3.290895,-0.824343,0.095090,3.287736,-0.824260,0.090813,3.298662,-0.815285,0.088033,3.298515,-0.804151,0.089944,3.292787,-0.786400,0.086258,3.293852,1,-0.041136,-0.066475,3.041266,0.002844,-0.059257,3.021280,0.034561,-0.055562,3.064139,0.082113,-0.046207,3.054518,-0.000542,-0.059945,3.064410,-0.014375,-0.049324,3.063677,-0.019659,-0.032016,3.051572
50,2.083333,1,-0.785050,0.019638,3.217546,-0.772263,0.036669,3.277739,-0.821740,0.099273,3.287522,-0.813248,0.082155,3.288367,-0.803684,0.075921,3.288934,-0.793664,0.078202,3.280137,-0.778006,0.073617,3.278424,1,-0.035999,-0.111523,3.112083,0.009728,-0.104899,3.090260,0.039924,-0.102364,3.136942,0.084485,-0.095002,3.126869,0.003868,-0.105929,3.132912,-0.009080,-0.094020,3.131803,-0.012044,-0.075483,3.121004
51,2.125000,1,-0.806219,0.019561,3.203302,-0.779329,0.031397,3.262343,-0.824773,0.099843,3.279098,-0.810712,0.072221,3.274726,-0.799976,0.066478,3.275775,-0.791084,0.069047,3.265345,-0.776364,0.063592,3.261980,1,-0.049102,-0.161003,3.185024,0.001958,-0.151385,3.155560,0.033010,-0.152933,3.204803,0.066448,-0.147963,3.196646,-0.005282,-0.154820,3.197041,-0.017344,-0.141409,3.196686,-0.018471,-0.121855,3.187395
52,2.166667,1,-0.824558,0.019971,3.192562,-0.789805,0.027159,3.244485,-0.827871,0.099221,3.263425,-0.813916,0.065013,3.257769,-0.802342,0.060973,3.258929,-0.794679,0.063576,3.248306,-0.780703,0.056601,3.243894,1,-0.074030,-0.209314,3.251949,-0.017106,-0.197256,3.213264,0.014349,-0.201842,3.263310,0.032953,-0.200117,3.259084,-0.024761,-0.202675,3.253124,-0.035695,-0.188265,3.253444,-0.035833,-0.168209,3.244310
