frame,time,anchor_type,contact_part,contact_side,contact_label,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,anchor_score,floor_score,anchor_contact_state,floor_contact_state,transition_contact_state,multi_contact_state
116,4.791667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.4854499490370485,right,center,0.40358791761312707,4.0260948816537723e-140,1,0,0,0
117,4.833333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.4318050501700429,2.3581140028428925e-133,0,0,0,0
118,4.875,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3979964984987667,1.3551970096749179e-108,0,0,0,0
119,4.916667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2587567564798525,2.1051381102902583e-72,0,0,0,0
120,4.958333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.29066376493026624,5.873825521279496e-38,0,0,0,0
121,5.0,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3792928998694303,2.111476506527973e-18,0,0,0,0
122,5.041667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.5944503072671836,0.27053751572945295,1,0,0,0
123,5.083333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.4360563336066142,0.9308742087112793,0,1,0,0
124,5.125,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2517485866929607,0.9321374421976958,0,1,0,0
125,5.166667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3535355585678757,0.9275631319727564,0,1,0,0
126,5.208333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.31086080436604446,0.36151522394712615,0,1,0,0
127,5.25,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.23585368517236036,0.01047577191206204,0,0,0,0
128,5.291667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3075657428078995,5.399435143104977e-05,0,0,0,0
129,5.333333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.22336129822653938,2.164224178112245e-10,0,0,0,0
130,5.375,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3314719478383536,5.75350151668858e-18,0,0,0,0
131,5.416667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.44792090274868546,1.6833394122815116e-22,0,0,0,0
132,5.458333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2478595696032401,4.977495021712744e-34,0,0,0,0
133,5.5,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2703843850459881,8.022631070319723e-49,0,0,0,0
134,5.541667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3061156898811605,1.5874492211770247e-65,0,0,0,0
135,5.583333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2952565411873617,1.8348464076863825e-89,0,0,0,0
136,5.625,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2855546965479181,8.656782661102119e-109,0,0,0,0
137,5.666667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.4305017197379222,1.1712417376838835e-122,0,0,0,0
138,5.708333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.4000781862979594,8.974262535214355e-131,0,0,0,0
139,5.75,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.4248661487759829,1.0088004595423396e-134,0,0,0,0
140,5.791667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.7390326328441423,right,center,0.5217395826316495,8.008650789830828e-139,1,0,0,0
141,5.833333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5607214065800774,4.7156068410420674e-141,1,0,0,0
142,5.875,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5609173306002366,5.0772728614134665e-145,1,0,0,0
143,5.916667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5757231465392185,1.37868292066444e-148,1,0,0,0
144,5.958333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5686449328476333,3.8770844823711686e-150,1,0,0,0
145,6.0,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5561824316407492,7.978499188047798e-151,1,0,0,0
146,6.041667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5563370763099401,1.2054028472064101e-150,1,0,0,0
147,6.083333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5589440764447606,9.909683685428998e-150,1,0,0,0
148,6.125,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5630673593536838,2.1933988304242362e-148,1,0,0,0
149,6.166667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5695563626332556,1.3236439271364122e-145,1,0,0,0
150,6.208333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6908915374354836,3.664552988212648e-142,1,0,0,0
151,6.25,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.44987450291826464,6.97424323554193e-147,0,0,0,0
