frame,measurement_depth_m,candidate_depth_m,depth_delta_m,contact_event_active,support_event_active,flight_active,contact_depth_gap_m,contact_surface_gap_m,audio_score,audio_anchor_type
156,2.674335,4.408343,1.734008,0,0,1,0.144763,0.180869,0.000000,
157,2.713438,4.408370,1.694932,0,0,1,0.139648,0.170682,0.000000,
158,2.747741,4.408375,1.660634,0,0,1,0.135653,0.161901,0.000000,
159,2.782142,4.408338,1.626196,0,0,1,0.119169,0.149319,0.000000,
160,2.784028,4.408252,1.624224,0,0,1,0.102415,0.142965,0.000000,
161,2.798691,4.408193,1.609502,1,0,0,0.056312,-0.000000,0.000000,
162,2.808580,4.283023,1.474443,1,0,0,-0.074225,-0.000000,0.000000,
163,2.810182,4.283087,1.472905,0,0,1,-0.089760,0.013955,0.000000,
164,2.820519,4.283177,1.462658,0,0,1,-0.098156,0.022244,0.000000,
165,2.872661,4.283220,1.410559,0,0,1,-0.082994,0.023843,0.000000,
166,2.883207,4.283222,1.400015,0,0,1,-0.089854,0.022056,0.000000,
167,2.883207,4.283206,1.399999,0,0,1,-0.105437,0.022242,0.000000,
168,2.885947,4.283171,1.397224,0,0,1,-0.110318,0.018796,0.000000,
169,2.892314,4.283135,1.390821,0,0,1,-0.116862,0.025081,0.000000,
170,2.892314,4.283092,1.390778,0,0,1,-0.132230,0.032927,0.000000,
171,2.893549,4.283060,1.389511,0,0,1,-0.137951,0.045365,0.000000,
172,2.907484,4.283048,1.375564,0,0,1,-0.145120,0.055270,0.000000,
173,2.907484,4.283054,1.375570,0,0,1,-0.148745,0.062398,0.000000,
174,2.907484,4.283064,1.375580,0,0,1,-0.156580,0.070801,0.000000,
175,2.914976,4.283061,1.368085,0,0,1,-0.178409,0.079959,0.000000,
176,2.914976,4.283042,1.368066,0,0,1,-0.189485,0.089768,0.000000,
177,2.891732,4.283021,1.391289,0,0,1,-0.182830,0.091574,0.000000,
178,2.890572,4.282992,1.392420,0,0,1,-0.174441,0.093279,0.000000,
179,2.890572,4.282961,1.392389,0,0,1,-0.196498,0.093796,0.000000,
180,2.891732,4.282959,1.391227,0,0,1,-0.207642,0.096463,0.000000,
181,2.899993,4.282971,1.382978,0,0,1,-0.219814,0.102951,0.000000,
182,2.899993,4.282983,1.382990,0,0,1,-0.236447,0.153043,0.000000,
183,2.902541,4.282995,1.380454,0,0,1,-0.234946,0.152533,0.000534,
184,2.902541,4.282994,1.380453,0,0,1,-0.239537,0.151173,0.000000,
185,2.902541,4.282990,1.380449,0,0,1,-0.237315,0.150575,0.000000,
186,2.902541,4.282999,1.380458,0,0,1,-0.241703,0.148379,0.000000,
187,2.900649,4.283005,1.382356,0,0,1,-0.236784,0.145748,0.000000,
188,2.897460,4.283012,1.385552,0,0,1,-0.240555,0.145273,0.000000,
189,2.886929,4.283019,1.396090,0,0,1,-0.222905,0.124331,0.000000,
190,2.886929,4.283023,1.396094,0,0,1,-0.226408,0.124867,0.000000,
191,2.886929,4.283026,1.396097,0,0,1,-0.224442,0.125787,0.000000,
192,2.897460,4.283020,1.385560,0,0,1,-0.224149,0.122760,0.000000,
193,2.886245,4.283004,1.396759,0,0,1,-0.206762,0.119107,0.000000,
194,2.885347,4.283004,1.397657,0,0,1,-0.227523,0.137583,0.000000,
195,2.883529,4.282994,1.399465,0,0,1,-0.208900,0.109875,0.000000,
196,2.886713,4.282998,1.396285,0,0,1,-0.221297,0.106962,0.000000,
197,2.886713,4.282998,1.396285,0,0,1,-0.205181,0.100110,0.000000,
198,2.886713,4.283011,1.396298,0,0,1,-0.182364,0.090685,0.000000,
199,2.886713,4.283019,1.396306,0,0,1,-0.160605,0.081545,0.000000,
200,2.886713,4.283029,1.396316,0,0,1,-0.152314,0.072480,0.000000,
201,2.886713,4.283042,1.396329,0,0,1,-0.152106,0.067599,0.000000,
202,2.886713,4.283048,1.396335,0,0,1,-0.141519,0.062998,0.000000,
203,2.872657,4.283028,1.410371,0,0,1,-0.140362,0.059329,0.000000,
204,2.863129,4.283016,1.419887,0,0,1,-0.143593,0.056754,0.000000,
205,2.841900,4.283010,1.441110,0,0,1,-0.124402,0.052862,0.000000,
206,2.818940,4.283007,1.464067,0,0,1,-0.138691,0.049223,0.000000,
207,2.818940,4.283007,1.464067,0,0,1,-0.086878,0.042956,0.000000,
208,2.818940,4.283015,1.464075,0,0,1,-0.082519,0.034229,0.000000,
209,2.816530,4.283017,1.466487,0,0,1,-0.068361,0.025148,0.000000,
210,2.818940,4.282998,1.464058,0,0,1,-0.063010,0.012394,0.000000,
211,2.824902,4.282983,1.458081,0,0,1,-0.057841,0.004575,0.000000,
212,2.828827,4.282984,1.454157,0,0,1,-0.066314,-0.002677,0.000000,
213,2.828827,4.282989,1.454162,0,0,1,-0.044922,-0.011725,0.000000,
214,2.824902,4.282972,1.458070,0,0,1,-0.037793,-0.021639,0.000000,
215,2.816530,4.282965,1.466435,0,0,1,-0.005474,0.007831,0.000000,
216,2.777855,4.282965,1.505110,0,0,1,-0.040321,0.017987,0.000000,
217,2.776389,4.282970,1.506581,0,0,1,-0.007136,0.023675,0.000000,
218,2.764488,4.282977,1.518489,0,0,1,0.015738,0.029567,0.000000,
219,2.753355,4.283009,1.529654,0,0,1,0.039569,0.037845,0.000000,
220,2.726327,4.283033,1.556706,0,0,1,0.054138,0.048392,0.000000,
221,2.702671,4.283061,1.580390,0,0,1,0.079863,0.054898,0.000000,
222,2.673961,4.283083,1.609122,0,0,1,0.080596,0.056738,0.000000,
223,2.661852,4.283074,1.621222,0,0,1,0.103012,0.060760,0.000000,
224,2.653005,4.283051,1.630046,0,0,1,0.113244,0.058725,0.000000,
225,2.647513,4.283022,1.635509,0,0,1,0.137652,0.065359,0.000000,
226,2.609715,4.283013,1.673298,0,0,1,0.203112,0.116577,0.000000,
227,2.590610,4.283032,1.692422,0,0,1,0.254438,0.164547,0.000000,
228,2.562964,4.283021,1.720057,0,0,1,0.270645,0.193705,0.000000,
229,2.544425,4.282982,1.738557,0,0,1,0.307035,0.220504,0.000000,
230,2.542312,4.282961,1.740649,0,0,1,0.329182,0.237537,0.000000,
231,2.519876,4.282959,1.763083,0,0,1,0.339790,0.253439,0.000000,
232,2.450229,4.282990,1.832761,0,0,1,0.344391,0.265156,0.000000,
233,2.436432,4.283038,1.846606,0,0,1,0.370785,0.275364,0.000000,
234,2.436325,4.283099,1.846774,0,0,1,0.362323,0.281924,0.123588,
235,2.423034,4.283145,1.860111,0,0,1,0.372695,0.284645,0.000000,
236,2.410282,4.283158,1.872876,0,0,1,0.414102,0.296112,0.000000,
237,2.410282,4.283083,1.872801,0,0,1,0.457958,0.312285,0.000000,
238,2.408976,4.282906,1.873930,0,0,1,0.452557,0.322620,0.000000,
239,2.410282,4.282544,1.872262,0,0,1,0.446918,0.323547,0.000000,
240,2.423303,4.281994,1.858691,0,0,1,0.463644,0.321076,0.000000,
