frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
32,1.291667,593.638,255.032,593.315,255.089,593.315,255.089,center,center,591.000,277.673,277.000,22.641,22.584,bottom_percentile_95,581.783,257.229,articraft_surface_contact_region_keyframe_affine,4.048166,3.685336,-0.362830,0.817122,0.000000,1.000000,1.000000,0.817122,1.000000,0.000000,0.554000,5.000000,8.000000,left_hand,0.985839,575.702,250.514,3.812481,contact_region:left:rigid_keyframe_surface_region,3.563755,3.576122,3.940475,4.048166,1.000000,0.673162,0.101722,0.000000
33,1.333333,586.487,245.888,587.080,245.789,587.080,245.789,center,center,581.000,268.806,269.000,22.918,23.017,bottom_percentile_95,574.432,245.304,articraft_surface_contact_region_keyframe_affine,3.837366,3.653863,-0.183503,0.822149,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.371000,5.000000,8.000000,left_hand,0.896823,572.991,241.745,3.809133,contact_region:left:rigid_keyframe_surface_region,3.574626,3.599475,3.664893,3.837366,0.000000,0.193867,0.604208,0.000000
34,1.375000,581.515,236.684,580.986,236.856,580.986,236.856,center,center,578.000,260.105,260.000,23.421,23.249,bottom_percentile_95,564.307,237.076,articraft_surface_contact_region_keyframe_affine,3.719722,3.623467,-0.096255,0.832444,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.575000,5.000000,8.000000,left_hand,0.821131,570.834,232.877,3.805931,contact_region:left:rigid_keyframe_surface_region,3.533049,3.633160,3.623467,3.719722,0.000000,0.104762,0.139142,0.000000
35,1.416667,575.134,228.212,575.605,228.046,575.605,228.046,center,center,577.000,251.209,252.000,22.997,23.164,bottom_percentile_95,563.270,227.559,articraft_surface_contact_region_keyframe_affine,3.703256,3.689785,-0.013471,0.812115,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,1.047000,5.000000,8.000000,left_hand,0.744416,568.803,223.739,3.801938,contact_region:left:rigid_keyframe_surface_region,3.617603,3.651366,3.689785,3.703256,0.000000,0.790790,0.001080,0.000000
36,1.458333,569.930,219.259,569.468,219.295,569.468,219.295,center,center,574.000,242.141,242.000,22.882,22.846,bottom_percentile_95,557.487,216.931,articraft_surface_contact_region_keyframe_affine,3.733463,3.760232,0.026769,0.831760,0.000000,1.000000,1.000000,0.831760,1.000000,0.000000,0.371000,5.000000,8.000000,left_hand,0.675387,566.669,215.967,3.798948,contact_region:left:rigid_keyframe_surface_region,3.700220,3.674747,3.758178,3.733463,1.000000,0.140838,0.420291,0.000000
37,1.500000,562.995,210.554,563.267,210.581,563.267,210.581,center,center,557.000,233.277,232.850,22.723,22.696,bottom_percentile_95,549.871,210.538,articraft_surface_contact_region_keyframe_affine,3.789141,3.843878,0.054736,0.813418,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.883000,5.000000,8.000000,left_hand,0.627095,563.803,208.260,3.795475,contact_region:left:rigid_keyframe_surface_region,3.793009,3.692060,3.834696,3.789141,0.000000,0.427381,0.562953,0.000000
38,1.541667,556.806,202.409,556.727,202.361,556.727,202.361,center,center,552.000,225.067,225.000,22.658,22.707,bottom_percentile_95,541.803,202.290,articraft_surface_contact_region_keyframe_affine,3.797987,3.819695,0.021707,0.790420,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.552000,5.000000,8.000000,left_hand,0.692066,560.285,200.523,3.796731,contact_region:left:rigid_keyframe_surface_region,3.777302,3.712718,3.805225,3.797987,0.000000,0.067371,1.000000,0.000000
39,1.583333,550.665,194.821,550.687,194.967,550.687,194.967,center,center,547.000,217.952,218.000,23.131,22.985,bottom_percentile_95,534.599,193.440,articraft_surface_contact_region_keyframe_affine,3.780760,3.757641,-0.023119,0.814003,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.036000,5.000000,8.000000,left_hand,0.743202,557.129,192.853,3.796341,contact_region:left:rigid_keyframe_surface_region,3.727419,3.718762,3.766665,3.780760,0.000000,0.047981,1.000000,0.000000
40,1.625000,544.798,188.351,544.725,188.241,544.725,188.241,center,center,536.000,211.497,212.000,23.146,23.256,bottom_percentile_95,531.135,187.577,articraft_surface_contact_region_keyframe_affine,3.754753,3.724838,-0.029915,0.816971,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.470000,5.000000,8.000000,left_hand,0.773232,553.753,185.090,3.796161,contact_region:left:rigid_keyframe_surface_region,3.695817,3.704791,3.733475,3.754753,0.000000,0.502705,0.673350,0.000000
41,1.666667,539.170,181.857,539.308,181.855,539.308,181.855,center,center,535.000,205.323,205.000,23.466,23.468,bottom_percentile_95,524.923,182.855,articraft_surface_contact_region_keyframe_affine,3.723784,3.677511,-0.046272,0.829172,0.000000,1.000000,0.771201,0.771201,1.000000,0.000000,0.379000,5.000000,8.000000,left_hand,0.827515,550.430,178.778,3.797085,contact_region:left:rigid_keyframe_surface_region,3.677656,3.680526,3.698445,3.723784,0.771201,0.322886,0.915171,0.000000
