frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,u_ref_proj,v_ref_proj,support_v_obs,support_proj_v,residual_px,proposal_score,anchor_score,floor_score,depth_prior_m,depth_prior_gap_m,contact_depth_offset_m,contact_frame,audio_contact_frame
42,1.366667,-0.761764,0.741152,5.475849,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.546,838.162,,653.546,838.162,,868.908,868.908,653.546,838.162,653.546,838.162,868.908,868.908,0.000004,0.445762,0.235143,0.996433,4.958657,0.517192,0.015268,0,1
43,1.400000,-0.770297,0.749685,5.540045,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.704,838.100,,653.704,838.100,,868.934,868.934,653.704,838.100,653.704,838.100,868.934,868.934,0.000009,0.377834,0.273249,1.000000,4.943433,0.596612,-0.006599,0,1
44,1.433333,-0.779115,0.758418,5.604593,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.766,838.099,,653.766,838.099,,868.982,868.982,653.766,838.099,653.766,838.099,868.982,868.982,0.000022,0.300782,0.221461,1.000000,4.936028,0.668565,-0.000058,0,1
45,1.466667,-0.789354,0.768668,5.677638,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.733,838.241,,653.733,838.241,,869.025,869.025,653.733,838.241,653.733,838.241,869.025,869.025,0.000016,0.281889,0.281889,1.000000,4.918322,0.759316,0.000693,0,1
46,1.500000,-0.799486,0.778610,5.752712,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.850,838.156,,653.850,838.156,,869.007,869.007,653.850,838.156,653.850,838.156,869.007,869.007,0.000011,0.313527,0.313527,1.000000,4.939120,0.813592,0.017407,0,1
47,1.533333,-0.809906,0.788464,5.825735,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.747,838.145,,653.747,838.145,,868.998,868.998,653.747,838.145,653.747,838.145,868.998,868.998,0.000011,0.293029,0.290384,1.000000,4.903082,0.922653,-0.021845,0,1
48,1.566667,-0.819702,0.798539,5.900411,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.966,838.133,,653.966,838.133,,868.993,868.993,653.966,838.133,653.966,838.133,868.993,868.993,0.000017,0.311105,0.311105,1.000000,4.829290,1.071121,-0.043465,0,1
49,1.600000,-0.829193,0.807704,5.968655,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.962,838.107,,653.962,838.107,,868.712,868.712,653.962,838.107,653.962,838.107,868.712,868.712,0.000021,0.294062,0.294062,1.000000,4.810300,1.158355,0.000840,0,1
50,1.633333,-0.838175,0.816671,6.036307,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,654.115,838.037,,654.114,838.038,,873.356,873.355,654.115,838.037,654.114,838.038,873.355,873.356,0.001605,1.000000,0.334782,1.000000,4.866285,1.170022,0.057731,0,1
51,1.666667,-0.848781,0.826618,6.107787,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.866,838.142,,653.868,838.138,,857.114,857.118,653.866,838.142,653.868,838.138,857.118,857.114,0.004797,1.000000,0.502928,0.976220,4.811632,1.296155,-0.033990,1,1
52,1.700000,-0.770062,0.687911,6.117497,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,682.704,787.710,,682.701,787.716,,840.161,840.155,682.704,787.710,682.701,787.716,840.155,840.161,0.007044,0.600000,0.181369,0.000001,4.929625,1.187872,1.512038,0,1
53,1.733333,-0.771939,0.689225,6.123665,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,682.303,787.945,,682.305,787.939,,805.421,805.427,682.303,787.945,682.305,787.939,805.427,805.421,0.005927,1.000000,0.357933,0.000000,5.446520,0.677145,0.833151,0,1
54,1.766667,-0.721328,0.475961,6.130670,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,700.809,711.024,,700.808,711.025,,752.858,752.857,700.809,711.024,700.808,711.025,752.857,752.858,0.001343,1.000000,0.180109,0.000000,5.645279,0.485391,4.770869,0,1
55,1.800000,-0.692732,0.254025,6.137752,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,711.371,631.171,,711.371,631.172,,676.735,676.734,711.371,631.171,711.371,631.172,676.734,676.735,0.001312,0.873166,0.120000,0.000000,5.616996,0.520756,30.919140,0,1
56,1.833333,-0.678714,0.102700,6.145885,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,716.724,576.812,,716.724,576.811,,618.551,618.552,716.724,576.812,716.724,576.811,618.552,618.551,0.000678,0.339028,0.000000,0.000000,5.721993,0.423892,0.107748,0,1
57,1.866667,-0.657432,-0.045205,6.160279,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,724.903,523.836,,724.903,523.835,,565.305,565.306,724.903,523.836,724.903,523.835,565.306,565.305,0.001165,0.965298,0.000000,0.000000,5.970702,0.189577,-0.936571,0,1
58,1.900000,-0.637843,-0.187417,6.175075,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,732.455,473.137,,732.455,473.140,,530.441,530.438,732.455,473.137,732.455,473.140,530.438,530.441,0.003509,1.000000,0.000000,0.000000,6.123286,0.051789,-0.139657,0,1
59,1.933333,-0.635457,-0.191650,6.190838,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,733.883,471.808,,733.883,471.804,,505.516,505.520,733.883,471.808,733.883,471.804,505.520,505.516,0.003556,0.292851,0.000000,0.000000,6.204616,-0.013778,-0.213584,0,1
60,1.966667,-0.628904,-0.315077,6.206399,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,736.776,428.165,,736.776,428.166,,479.584,479.583,736.776,428.165,736.776,428.166,479.583,479.584,0.001331,0.220070,0.000000,0.000000,6.187883,0.018516,30.348254,0,0
61,2.000000,-0.621821,-0.420178,6.222229,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,739.852,391.241,,739.852,391.241,,438.837,438.837,739.852,391.241,739.852,391.241,438.837,438.837,0.000397,0.113911,0.000000,0.000000,6.206568,0.015661,30.329569,0,0
62,2.033333,-0.625404,-0.516908,6.238380,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,739.156,357.469,,739.156,357.469,,406.357,406.357,739.156,357.469,739.156,357.469,406.357,406.357,0.000416,0.686196,0.000000,0.000000,6.398331,-0.159951,30.137806,0,1
63,2.066667,-0.622462,-0.591575,6.254503,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,740.762,331.639,,740.762,331.641,,385.426,385.424,740.762,331.639,740.762,331.641,385.424,385.426,0.001682,0.828292,0.000000,0.000000,6.471598,-0.217095,0.093261,0,1
64,2.100000,-0.624377,-0.594514,6.270367,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,740.644,331.136,,740.644,331.135,,375.922,375.923,740.644,331.136,740.644,331.135,375.923,375.922,0.000801,0.000000,0.000000,0.000000,6.506909,-0.236542,0.083061,0,0
65,2.133333,-0.630586,-0.622031,6.285638,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,739.000,322.000,,739.000,321.999,,365.020,365.021,739.000,322.000,739.000,321.999,365.021,365.020,0.001231,0.157051,0.037640,0.000000,6.457576,-0.171938,30.078560,0,0
66,2.166667,-0.624924,-0.683901,6.297857,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,741.410,300.780,,741.410,300.781,,346.551,346.550,741.410,300.780,741.410,300.781,346.550,346.551,0.000559,0.188199,0.056460,0.000000,6.417146,-0.119289,30.118991,0,0
67,2.200000,-0.621921,-0.716753,6.309916,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,742.876,289.768,,742.876,289.768,,333.919,333.919,742.876,289.768,742.876,289.768,333.919,333.919,0.000482,0.324859,0.075280,0.000000,6.270628,0.039288,-0.094519,0,1
68,2.233333,-0.622035,-0.716702,6.322047,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,743.253,290.267,,743.253,290.266,,331.947,331.948,743.253,290.267,743.253,290.266,331.948,331.947,0.000619,0.188199,0.056460,0.000000,6.210883,0.111164,-0.021926,0,0
69,2.266667,-0.621657,-0.726449,6.334438,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,743.808,287.364,,743.808,287.365,,331.303,331.302,743.808,287.364,743.808,287.365,331.302,331.303,0.001052,0.125466,0.037640,0.000000,6.359144,-0.024706,30.176993,0,0
70,2.300000,-0.620011,-0.721327,6.346511,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,744.791,289.624,,744.791,289.624,,330.616,330.616,744.791,289.624,744.791,289.624,330.616,330.616,0.000341,0.000000,0.000000,0.000000,6.372851,-0.026340,30.163286,0,0
71,2.333333,-0.622372,-0.712369,6.357979,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,744.361,293.179,,744.361,293.179,,333.274,333.274,744.361,293.179,744.361,293.179,333.274,333.274,0.000246,0.093957,0.000000,0.000000,6.423581,-0.065602,0.081958,0,0
72,2.366667,-0.617222,-0.685218,6.368478,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,746.498,302.977,,746.498,302.978,,344.233,344.232,746.498,302.977,746.498,302.978,344.232,344.233,0.000610,0.000000,0.000000,0.000000,6.399067,-0.030589,0.015348,0,0
73,2.400000,-0.613392,-0.638406,6.378311,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,748.150,319.512,,748.150,319.511,,353.643,353.644,748.150,319.512,748.150,319.511,353.644,353.643,0.001437,0.000000,0.000000,0.000000,6.399643,-0.021332,30.136493,0,0
74,2.433333,-0.612964,-0.636095,6.387649,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,748.607,320.629,,748.607,320.630,,362.505,362.504,748.607,320.629,748.607,320.630,362.504,362.505,0.001113,0.134569,0.000000,0.000000,6.396646,-0.008997,30.139490,0,0
75,2.466667,-0.610367,-0.587504,6.396834,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,749.805,337.679,,749.805,337.679,,374.810,374.810,749.805,337.679,749.805,337.679,374.810,374.810,0.000298,0.445306,0.000000,0.000000,6.379088,0.017746,0.055558,0,1
76,2.500000,-0.609213,-0.521499,6.406157,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,750.508,360.670,,750.508,360.670,,399.386,399.386,750.508,360.670,750.508,360.670,399.386,399.386,0.000226,0.082246,0.000000,0.000000,6.457300,-0.051143,30.078836,0,0
