frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
120,3.966667,2.795961,5.262612,1.349842,1.612675,14512,0.501774,0.7440,0.2976,mask
121,4.000000,2.754488,5.272541,1.229523,1.917226,14618,0.493549,0.6105,0.0713,mask
122,4.033333,2.719919,5.231418,1.124863,2.181596,14631,0.476612,0.5667,0.0257,mask
123,4.066667,2.736413,5.243530,1.049571,2.371469,14726,0.263051,0.3093,0.0000,mask
124,4.100000,2.703665,5.202862,1.005730,2.483705,14726,0.399907,0.4677,0.0000,mask
125,4.133333,2.696802,5.197491,0.986549,2.536965,14745,0.563187,0.6637,0.0000,mask
126,4.166667,2.675922,5.183247,0.983106,2.552531,14609,0.557784,0.6478,0.0000,mask
127,4.200000,2.643661,5.151193,0.987564,2.546515,14165,0.558794,0.6641,0.0184,mask
128,4.233333,2.645773,5.144144,0.993359,2.531974,14691,0.509228,0.6264,0.0495,mask
129,4.266667,2.649840,5.154417,0.995667,2.520285,14679,0.529082,0.6276,0.0138,mask
130,4.300000,2.655949,5.154591,0.992456,2.518679,14158,0.515087,0.5985,0.0000,mask
131,4.333333,2.638509,5.125847,0.984460,2.528340,14892,0.532337,0.6275,0.0000,mask
132,4.366667,2.606230,5.084079,0.973905,2.545859,14484,0.599252,0.7066,0.0000,mask
133,4.400000,2.615828,5.085668,0.963084,2.566407,14825,0.584072,0.6950,0.0000,mask
134,4.433333,2.596701,5.062151,0.953333,2.586630,14333,0.599569,0.7026,0.0000,mask
135,4.466667,2.598922,5.061077,0.944648,2.606010,14824,0.594899,0.7013,0.0000,mask
136,4.500000,2.602293,5.062443,0.936432,2.625573,14940,0.585140,0.6974,0.0000,mask
137,4.533333,2.628682,5.086560,0.928711,2.645273,15004,0.587834,0.7069,0.0000,mask
138,4.566667,2.597838,5.059359,0.922501,2.662852,15010,0.598484,0.7158,0.0000,mask
139,4.600000,2.602304,5.066762,0.919198,2.674731,15083,0.600085,0.7160,0.0000,mask
140,4.633333,2.597367,5.066742,0.919903,2.677417,15113,0.608953,0.7274,0.0000,mask
141,4.666667,2.603635,5.077170,0.925064,2.668640,15102,0.609964,0.7301,0.0000,mask
142,4.700000,2.584455,5.063036,0.934370,2.648199,15190,0.618693,0.7410,0.0000,mask
143,4.733333,2.577167,5.058469,0.946995,2.617905,14687,0.621265,0.7430,0.0000,mask
144,4.766667,2.588871,5.071220,0.962054,2.580587,15128,0.620643,0.7454,0.0000,mask
145,4.800000,2.585805,5.070114,0.978863,2.538966,15177,0.640068,0.7732,0.0000,mask
146,4.833333,2.577325,5.064428,0.997071,2.494652,15288,0.637446,0.7702,0.0000,mask
147,4.866667,2.578137,5.068904,1.016720,2.447662,15265,0.631581,0.7620,0.0000,mask
148,4.900000,2.574012,5.068938,1.037834,2.397540,15280,0.636332,0.7677,0.0000,mask
149,4.933333,2.562798,5.061202,1.059568,2.345744,15270,0.646299,0.7802,0.0000,mask
150,4.966667,2.564635,5.066253,1.079825,2.296896,15358,0.655593,0.7927,0.0000,mask
151,5.000000,2.570393,5.074420,1.096008,2.257248,15352,0.656385,0.7930,0.0000,mask
152,5.033333,2.576488,5.081924,1.106315,2.231515,15317,0.653488,0.7888,0.0000,mask
153,5.066667,2.576890,5.082302,1.110457,2.220777,15313,0.649345,0.7860,0.0000,mask
154,5.100000,2.573753,5.078094,1.109271,2.223105,15315,0.652604,0.7893,0.0000,mask
155,5.133333,2.580621,5.084405,1.103512,2.236659,15347,0.651454,0.7880,0.0000,mask
156,5.166667,2.581630,5.083810,1.092572,2.263194,15338,0.652974,0.7896,0.0000,mask
157,5.200000,2.581288,5.081636,1.074312,2.308526,15344,0.659814,0.7985,0.0000,mask
158,5.233333,2.572825,5.071107,1.047078,2.377158,15347,0.651301,0.7880,0.0000,mask
159,5.266667,2.561484,5.058422,1.012883,2.463939,15338,0.642675,0.7759,0.0000,mask
160,5.300000,2.557171,5.053594,0.978445,2.551541,15355,0.639248,0.7710,0.0000,mask
161,5.333333,2.548530,5.045141,0.952339,2.618078,15331,0.629192,0.7619,0.0000,mask
162,5.366667,2.531692,5.029871,0.940940,2.647701,14811,0.646742,0.7750,0.0000,mask
163,5.400000,2.525148,5.025489,0.946806,2.634663,14913,0.626938,0.7527,0.0000,mask
164,5.433333,2.547583,5.050458,0.969215,2.581302,15549,0.608612,0.7357,0.0000,mask
165,5.466667,2.545842,5.053593,1.004396,2.496559,15633,0.637016,0.7695,0.0000,mask
166,5.500000,2.532225,5.043423,1.046018,2.394671,15195,0.677363,0.8105,0.0000,mask
167,5.533333,2.546354,5.059833,1.088110,2.289119,15128,0.677159,0.8065,0.0000,mask
168,5.566667,2.553594,5.067213,1.129192,2.183715,15140,0.642716,0.7660,0.0000,mask
169,5.600000,2.601167,5.121682,1.173180,2.070044,15112,0.618225,0.7369,0.0000,mask
170,5.633333,2.581650,5.099240,1.225649,1.935044,15629,0.583128,0.7010,0.0000,mask
171,5.666667,2.605158,5.130207,1.288621,1.773146,15659,0.619176,0.7438,0.0000,mask
172,5.700000,2.617595,5.148526,1.358545,1.592405,15085,0.688854,0.8221,0.0000,mask
173,5.733333,2.628834,5.165439,1.429336,1.407953,15625,0.664248,0.8008,0.0000,mask
174,5.766667,2.625152,5.159465,1.497179,1.229143,15212,0.690463,0.8280,0.0000,mask
175,5.800000,2.601617,5.118454,1.561313,1.056515,15230,0.682079,0.8165,0.0000,mask
176,5.833333,2.609089,5.119988,1.620253,0.892605,15798,0.720268,0.8730,0.0000,mask
177,5.866667,2.655129,5.183023,1.669138,0.751246,15257,0.686446,0.8252,0.0000,mask
178,5.900000,2.670116,5.196439,1.701307,0.653750,15714,0.706693,0.8547,0.0000,mask
179,5.933333,2.657149,5.165514,1.710921,0.619342,15289,0.659566,0.7937,0.0000,mask
180,5.966667,2.672594,5.187198,1.693855,0.660211,15697,0.602220,0.7294,0.0000,mask
181,6.000000,2.667929,5.177351,1.647331,0.782389,15257,0.676813,0.8158,0.0000,mask
182,6.033333,2.643906,5.137987,1.570050,0.986922,15253,0.612481,0.7370,0.0000,mask
183,6.066667,2.650851,5.147387,1.465270,1.263175,15242,0.492614,0.5914,0.0000,mask
184,6.100000,2.646726,5.138300,1.345354,1.577516,15266,0.560737,0.6722,0.0000,mask
185,6.133333,2.646254,5.133042,1.230384,1.877133,15669,0.428865,0.5193,0.0000,mask
186,6.166667,2.641448,5.122533,1.137287,2.118448,15273,0.242501,0.2917,0.0000,mask
187,6.200000,2.670165,5.149209,1.070100,2.291867,15662,0.342408,0.4161,0.0000,mask
188,6.233333,2.666851,5.140657,1.025101,2.406865,15683,0.306784,0.3717,0.0000,mask
189,6.266667,2.652701,5.120057,1.003706,2.457524,15257,0.298779,0.3582,0.0000,mask
190,6.300000,2.654197,5.111409,1.012504,2.424025,15234,0.260960,0.3134,0.0000,mask
191,6.333333,2.664380,5.107784,1.049863,2.310550,15696,0.404535,0.4919,0.0000,mask
192,6.366667,2.706705,5.139134,1.100116,2.161443,15678,0.420166,0.5125,0.0000,mask
