frame,time,u,v,x,y,visible,confidence,source
98,4.041667,519.918,156.580,519.918,156.580,1.000000,1.000000,sam2_mask_center
99,4.083333,525.517,165.367,525.517,165.367,1.000000,1.000000,sam2_mask_center
100,4.125000,531.983,175.335,531.983,175.335,1.000000,1.000000,sam2_mask_center
101,4.166667,537.835,185.907,537.835,185.907,1.000000,1.000000,sam2_mask_center
102,4.208333,546.132,195.524,546.132,195.524,1.000000,1.000000,sam2_mask_center
103,4.250000,552.764,206.283,552.764,206.283,1.000000,1.000000,sam2_mask_center
104,4.291667,560.724,217.771,560.724,217.771,1.000000,1.000000,sam2_mask_center
105,4.333333,568.276,228.030,568.276,228.030,1.000000,1.000000,sam2_mask_center
106,4.375000,576.101,239.952,576.101,239.952,1.000000,1.000000,sam2_mask_center
107,4.416667,583.156,250.372,583.156,250.372,1.000000,1.000000,sam2_mask_center
108,4.458333,589.496,260.814,589.496,260.814,1.000000,1.000000,sam2_mask_center
109,4.500000,595.912,271.088,595.912,271.088,1.000000,1.000000,sam2_mask_center
110,4.541667,602.052,281.222,602.052,281.222,1.000000,1.000000,sam2_mask_center
111,4.583333,608.374,290.323,608.374,290.323,1.000000,1.000000,sam2_mask_center
112,4.625000,613.236,299.138,613.236,299.138,1.000000,1.000000,sam2_mask_center
113,4.666667,617.828,306.890,617.828,306.890,1.000000,1.000000,sam2_mask_center
114,4.708333,622.488,314.614,622.488,314.614,1.000000,1.000000,sam2_mask_center
115,4.750000,625.715,321.137,625.715,321.137,1.000000,1.000000,sam2_mask_center
116,4.791667,628.519,327.180,628.519,327.180,1.000000,1.000000,sam2_mask_center
117,4.833333,631.412,332.326,631.412,332.326,1.000000,1.000000,sam2_mask_center
118,4.875000,633.588,337.029,633.588,337.029,1.000000,1.000000,sam2_mask_center
119,4.916667,635.431,341.037,635.431,341.037,1.000000,1.000000,sam2_mask_center
120,4.958333,637.263,344.298,637.263,344.298,1.000000,1.000000,sam2_mask_center
121,5.000000,639.070,347.668,639.070,347.668,1.000000,1.000000,sam2_mask_center
122,5.041667,640.307,350.015,640.307,350.015,1.000000,1.000000,sam2_mask_center
123,5.083333,640.997,351.877,640.997,351.877,1.000000,1.000000,sam2_mask_center
124,5.125000,642.359,354.025,642.359,354.025,1.000000,1.000000,sam2_mask_center
125,5.166667,642.384,355.697,642.384,355.697,1.000000,1.000000,sam2_mask_center
126,5.208333,643.497,357.258,643.497,357.258,1.000000,1.000000,sam2_mask_center
127,5.250000,643.940,358.614,643.940,358.614,1.000000,1.000000,sam2_mask_center
128,5.291667,644.199,359.962,644.199,359.962,1.000000,1.000000,sam2_mask_center
129,5.333333,644.162,361.431,644.162,361.431,1.000000,1.000000,sam2_mask_center
130,5.375000,644.004,362.593,644.004,362.593,1.000000,1.000000,sam2_mask_center
131,5.416667,643.158,363.663,643.158,363.663,1.000000,1.000000,sam2_mask_center
132,5.458333,642.949,364.489,642.949,364.489,1.000000,1.000000,sam2_mask_center
133,5.500000,642.892,365.306,642.892,365.306,1.000000,1.000000,sam2_mask_center
134,5.541667,642.696,365.320,642.696,365.320,1.000000,1.000000,sam2_mask_center
135,5.583333,642.668,365.247,642.668,365.247,1.000000,1.000000,sam2_mask_center
136,5.625000,642.735,365.177,642.735,365.177,1.000000,1.000000,sam2_mask_center
137,5.666667,642.744,365.191,642.744,365.191,1.000000,1.000000,sam2_mask_center
138,5.708333,642.580,365.504,642.580,365.504,1.000000,1.000000,sam2_mask_center
139,5.750000,642.179,365.554,642.179,365.554,1.000000,1.000000,sam2_mask_center
140,5.791667,642.556,365.995,642.556,365.995,1.000000,1.000000,sam2_mask_center
141,5.833333,642.137,366.102,642.137,366.102,1.000000,1.000000,sam2_mask_center
142,5.875000,641.374,366.013,641.374,366.013,1.000000,1.000000,sam2_mask_center
143,5.916667,641.229,366.033,641.229,366.033,1.000000,1.000000,sam2_mask_center
144,5.958333,641.248,366.072,641.248,366.072,1.000000,1.000000,sam2_mask_center
145,6.000000,641.323,365.994,641.323,365.994,1.000000,1.000000,sam2_mask_center
146,6.041667,641.345,365.964,641.345,365.964,1.000000,1.000000,sam2_mask_center
147,6.083333,641.385,365.966,641.385,365.966,1.000000,1.000000,sam2_mask_center
148,6.125000,642.050,366.071,642.050,366.071,1.000000,1.000000,sam2_mask_center
149,6.166667,642.075,366.055,642.075,366.055,1.000000,1.000000,sam2_mask_center
150,6.208333,642.025,365.999,642.025,365.999,1.000000,1.000000,sam2_mask_center
151,6.250000,641.898,365.974,641.898,365.974,1.000000,1.000000,sam2_mask_center
152,6.291667,642.033,365.914,642.033,365.914,1.000000,1.000000,sam2_mask_center
153,6.333333,641.323,365.742,641.323,365.742,1.000000,1.000000,sam2_mask_center
154,6.375000,641.228,365.673,641.228,365.673,1.000000,1.000000,sam2_mask_center
155,6.416667,641.154,365.684,641.154,365.684,1.000000,1.000000,sam2_mask_center
156,6.458333,641.952,365.968,641.952,365.968,1.000000,1.000000,sam2_mask_center
157,6.500000,641.845,365.914,641.845,365.914,1.000000,1.000000,sam2_mask_center
158,6.541667,641.810,365.887,641.810,365.887,1.000000,1.000000,sam2_mask_center
159,6.583333,641.671,365.950,641.671,365.950,1.000000,1.000000,sam2_mask_center
160,6.625000,641.665,365.851,641.665,365.851,1.000000,1.000000,sam2_mask_center
161,6.666667,641.314,365.894,641.314,365.894,1.000000,1.000000,sam2_mask_center
162,6.708333,641.456,365.900,641.456,365.900,1.000000,1.000000,sam2_mask_center
163,6.750000,641.282,365.960,641.282,365.960,1.000000,1.000000,sam2_mask_center
164,6.791667,641.128,365.925,641.128,365.925,1.000000,1.000000,sam2_mask_center
165,6.833333,640.934,365.977,640.934,365.977,1.000000,1.000000,sam2_mask_center
