frame,time,site_id,body_part,side,x_m,y_m,z_m,coordinate_frame,confidence,source
52,2.125000,right_hand,hand,right,0.013882458,-0.208094954,3.265889645,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
53,2.166667,left_hand,hand,left,-0.886495829,0.060409606,3.249085903,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
53,2.166667,right_hand,hand,right,-0.011987567,-0.252047539,3.308913469,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
54,2.208333,left_hand,hand,left,-0.917173326,0.062559307,3.224365473,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
54,2.208333,right_hand,hand,right,-0.046513379,-0.280169189,3.362875223,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
55,2.250000,left_hand,hand,left,-0.943207204,0.067123204,3.217148304,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
55,2.250000,right_hand,hand,right,-0.085729301,-0.305120707,3.423536777,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
56,2.291667,left_hand,hand,left,-0.965748310,0.076003104,3.195972919,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
56,2.291667,right_hand,hand,right,-0.136263847,-0.317250013,3.466284752,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
57,2.333333,left_hand,hand,left,-0.981784701,0.087400347,3.162387133,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
57,2.333333,right_hand,hand,right,-0.184817135,-0.322795689,3.474260807,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
58,2.375000,left_hand,hand,left,-0.994345784,0.098009348,3.144520044,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
58,2.375000,right_hand,hand,right,-0.227646619,-0.314802736,3.478131056,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
59,2.416667,left_hand,hand,left,-1.004343748,0.105742574,3.138239622,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
59,2.416667,right_hand,hand,right,-0.266670406,-0.293319434,3.478512764,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
60,2.458333,left_hand,hand,left,-1.014452696,0.112486392,3.135913849,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
60,2.458333,right_hand,hand,right,-0.306563050,-0.254702151,3.469639778,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
61,2.500000,left_hand,hand,left,-1.020895004,0.116261303,3.134134769,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
