frame,time,contact_id,human_part,human_side,object_part,contact_observed,contact_persistent,anchor_update_allowed,pose_anchor_allowed,stable_local_x,stable_local_y,stable_local_z,stable_local_s,observed_local_x,observed_local_y,observed_local_z,observed_local_s,contact_confidence,anchor_action,source
141,5.833333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.852790,inactive,hand_floor_from_anchor_floor_candidates
142,5.875000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.854466,inactive,hand_floor_from_anchor_floor_candidates
143,5.916667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.803403,inactive,hand_floor_from_anchor_floor_candidates
144,5.958333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.777556,inactive,hand_floor_from_anchor_floor_candidates
145,6.000000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.738621,inactive,hand_floor_from_anchor_floor_candidates
146,6.041667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.758521,inactive,hand_floor_from_anchor_floor_candidates
147,6.083333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.729166,inactive,hand_floor_from_anchor_floor_candidates
148,6.125000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.573357,inactive,hand_floor_from_anchor_floor_candidates
149,6.166667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.395414,inactive,hand_floor_from_anchor_floor_candidates
150,6.208333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.275358,inactive,hand_floor_from_anchor_floor_candidates
151,6.250000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.204310,inactive,hand_floor_from_anchor_floor_candidates
152,6.291667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.162552,inactive,hand_floor_from_anchor_floor_candidates
153,6.333333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.130878,inactive,hand_floor_from_anchor_floor_candidates
154,6.375000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.111840,inactive,hand_floor_from_anchor_floor_candidates
155,6.416667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.102295,inactive,hand_floor_from_anchor_floor_candidates
156,6.458333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.104660,inactive,hand_floor_from_anchor_floor_candidates
157,6.500000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.112972,inactive,hand_floor_from_anchor_floor_candidates
158,6.541667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.083711,inactive,hand_floor_from_anchor_floor_candidates
159,6.583333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.080783,inactive,hand_floor_from_anchor_floor_candidates
160,6.625000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.077977,inactive,hand_floor_from_anchor_floor_candidates
161,6.666667,left_hand_ball_boundary,hand,left,ball_boundary,1,1,1,1,,,,,,,,,0.876718,update,hand_floor_from_anchor_floor_candidates
162,6.708333,left_hand_ball_boundary,hand,left,ball_boundary,1,1,1,1,,,,,,,,,0.855304,update,hand_floor_from_anchor_floor_candidates
163,6.750000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.845744,inactive,hand_floor_from_anchor_floor_candidates
164,6.791667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.833194,inactive,hand_floor_from_anchor_floor_candidates
165,6.833333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.820951,inactive,hand_floor_from_anchor_floor_candidates
166,6.875000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.796530,inactive,hand_floor_from_anchor_floor_candidates
167,6.916667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.786668,inactive,hand_floor_from_anchor_floor_candidates
168,6.958333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.756809,inactive,hand_floor_from_anchor_floor_candidates
169,7.000000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.747174,inactive,hand_floor_from_anchor_floor_candidates
170,7.041667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.746816,inactive,hand_floor_from_anchor_floor_candidates
