frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema
53,2.166667,-0.240657,-0.727393,3.517668,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,539.527,56.318,539.527,56.318,76.139,76.139,539.527,56.318,76.139,3.517668,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
54,2.208333,-0.259095,-0.840038,3.861777,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,541.468,40.540,541.468,40.540,59.750,59.750,541.468,40.540,59.750,3.861777,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
55,2.250000,-0.255608,-0.870600,3.865659,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,542.892,29.250,542.892,29.250,47.461,47.461,542.892,29.250,47.461,3.865659,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
56,2.291667,-0.252680,-0.891507,3.877968,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,544.309,22.382,544.309,22.382,39.935,39.935,544.309,22.382,39.935,3.877968,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
57,2.333333,-0.251270,-0.897963,3.877968,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,544.843,19.937,544.843,19.937,37.238,37.238,544.843,19.937,37.238,3.877968,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
58,2.375000,-0.245537,-0.890755,3.877968,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,547.014,22.667,547.014,22.667,40.073,40.073,547.014,22.667,40.073,3.877968,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
59,2.416667,-0.239130,-0.872650,3.865659,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,549.152,28.471,549.152,28.471,45.994,45.994,549.152,28.471,45.994,3.865659,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
60,2.458333,-0.235397,-0.845724,3.861124,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,550.465,38.323,550.465,38.323,56.568,56.568,550.465,38.323,56.568,3.861124,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
61,2.500000,-0.227300,-0.792122,3.805759,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,552.287,54.328,552.287,54.328,72.179,72.179,552.287,54.328,72.179,3.805759,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
62,2.541667,-0.222203,-0.737060,3.770316,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,553.448,72.902,553.448,72.902,90.698,90.698,553.448,72.902,90.698,3.770316,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
63,2.583333,-0.203220,-0.630514,3.505774,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,554.869,95.871,554.869,95.871,114.267,114.267,554.869,95.871,114.267,3.505774,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
