frame,time,proposal_score,anchor_score,floor_score,anchor_contact_state,human_contact_state,floor_contact_state,transition_contact_state,multi_contact_state,confidence_level,contact_part,contact_label,contact_side,anchor_type,min_object_boundary_gap_px,active_part_distance_px,contact_depth_offset_m,object_acceleration,support_surface_type,support_source,signed_support_gap_px,support_conf,active_object_point_id,active_object_u,active_object_v,state_active_part_u,state_active_part_v
99,4.083333,0.971199,0.291360,0.000000,0,0,0,0,0,proposal,hand,right_hand,right,hand,283.881040,283.881040,0.026436,0.159108,floor,gvhmr_floor,-549.380313,0.750000,left,748.785,310.800,469.915,363.903
100,4.125000,0.728399,0.218520,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,281.431837,281.431837,0.025342,0.000000,floor,gvhmr_floor,-546.713942,0.750000,left,743.939,298.942,473.863,378.079
101,4.166667,0.509138,0.152741,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,275.281027,275.281027,0.021195,0.000000,floor,gvhmr_floor,-547.305082,0.750000,left,738.389,290.973,481.185,389.084
102,4.208333,0.678851,0.203655,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,267.009660,267.009660,0.009544,0.000000,floor,gvhmr_floor,-548.317381,0.750000,left,734.186,289.075,489.915,396.899
103,4.250000,0.614396,0.184319,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,257.297424,257.297424,0.027990,0.000000,floor,gvhmr_floor,-548.157789,0.750000,left,728.968,291.569,496.017,400.821
104,4.291667,0.460797,0.138239,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,247.875727,247.875727,0.007550,0.021908,floor,gvhmr_floor,-545.174176,0.750000,left,724.174,300.982,499.269,405.194
105,4.333333,0.307198,0.092159,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,239.013522,239.013522,0.014331,0.099343,floor,gvhmr_floor,-538.098746,0.750000,left,718.505,317.005,498.626,410.711
106,4.375000,0.160828,0.000000,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,232.804530,232.804530,0.032624,0.160828,floor,gvhmr_floor,-525.649245,0.750000,left,714.472,342.130,494.668,418.838
107,4.416667,0.483912,0.145174,0.315832,0,0,0,0,0,proposal,hand,right_hand,right,hand,223.846738,223.846738,-0.034282,0.176096,floor,gvhmr_floor,-506.543194,0.750000,left,708.535,376.031,490.007,424.535
108,4.458333,0.725869,0.217761,0.733168,0,0,0,0,0,strong,hand,right_hand,right,hand,220.892219,220.892219,0.060798,0.000000,floor,gvhmr_floor,-480.049659,0.750000,left,704.438,418.843,484.092,434.364
109,4.500000,1.000000,0.290347,1.000000,0,0,0,0,0,strong,hand,right_hand,right,hand,219.819204,219.819204,0.023310,1.000000,floor,gvhmr_floor,-445.479084,0.750000,left,698.584,471.311,480.524,443.557
110,4.541667,1.000000,0.217761,1.000000,0,0,1,1,0,strong,floor,floor,,hand,221.500523,221.500523,0.022652,1.000000,floor,gvhmr_floor,-409.727882,0.750000,left,695.662,512.074,,
111,4.583333,0.691246,0.145174,1.000000,0,0,0,0,0,strong,hand,right_hand,right,hand,203.360663,203.360663,0.005334,0.691246,floor,gvhmr_floor,-397.865740,0.750000,left,695.326,467.785,492.462,453.580
112,4.625000,0.520022,0.156007,0.792393,0,0,0,0,0,strong,hand,right_hand,right,hand,183.419750,183.419750,0.015917,0.000000,floor,gvhmr_floor,-402.113641,0.750000,left,694.686,426.158,512.925,450.773
113,4.666667,0.693362,0.208009,0.479795,0,0,0,0,0,soft,hand,right_hand,right,hand,159.325939,159.325939,0.021333,0.020595,floor,gvhmr_floor,-414.913972,0.750000,left,691.841,393.222,540.251,442.265
114,4.708333,0.520022,0.156007,0.212049,0,0,0,0,0,none,hand,right_hand,right,hand,139.844769,139.844769,0.054942,0.000000,floor,gvhmr_floor,-432.291003,0.750000,left,692.166,365.720,568.460,430.937
115,4.750000,0.346681,0.104004,0.027350,0,0,0,0,0,none,hand,right_hand,right,hand,109.371200,109.371200,0.015841,0.000000,floor,gvhmr_floor,-450.261125,0.750000,left,690.407,346.362,603.526,412.797
116,4.791667,0.504640,0.151408,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,82.303127,82.303127,-1.276987,0.000000,floor,gvhmr_floor,-467.610211,0.750000,left,692.941,331.239,634.349,389.039
117,4.833333,0.716942,0.215083,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,-1.136590,0.000000,floor,gvhmr_floor,-482.345970,0.750000,,,,651.693,358.409
118,4.875000,0.955923,0.287778,0.000000,0,0,0,0,0,proposal,hand,right_hand,right,hand,63.935944,63.935944,0.009321,0.000000,floor,gvhmr_floor,-498.868002,0.750000,bottom,718.661,310.128,656.748,326.083
