frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,source
161,6.666667,2.299367,3.882945,0.039249,3.792697,5903,0.903815,mask
162,6.708333,2.280925,3.879250,0.041190,3.785299,6100,0.859406,mask
163,6.750000,2.232961,3.871888,0.053637,3.752118,6423,0.866979,mask
164,6.791667,2.233166,3.862136,0.086755,3.668398,6186,0.832028,mask
165,6.833333,2.318038,3.858551,0.149408,3.512217,6170,0.786892,mask
166,6.875000,2.388595,3.860638,0.241369,3.284107,6252,0.841501,mask
167,6.916667,2.596566,3.924198,0.349345,3.017102,6274,0.766784,mask
168,6.958333,2.619503,3.948138,0.452872,2.761840,6336,0.755852,mask
169,7.000000,2.521627,3.908684,0.534346,2.561264,6378,0.702644,mask
170,7.041667,2.380756,3.828934,0.583074,2.440779,6369,0.755123,mask
171,7.083333,2.183440,3.709492,0.592941,2.414842,6341,0.792481,mask
172,7.125000,2.292432,3.777207,0.560668,2.491913,6030,0.884690,mask
173,7.166667,2.283747,3.783401,0.487811,2.669364,5990,0.833296,mask
174,7.208333,2.307575,3.810759,0.384448,2.923616,5670,0.875928,mask
175,7.250000,2.280467,3.823082,0.270347,3.206564,6071,0.855693,mask
176,7.291667,2.308136,3.850066,0.169123,3.459707,6433,0.938648,mask
177,7.333333,2.198448,3.855237,0.097093,3.641783,6558,0.853482,mask
178,7.375000,2.333460,3.877689,0.056457,3.745948,6229,0.831405,mask
179,7.416667,2.337077,3.882306,0.038875,3.791452,6274,0.695760,mask
180,7.458333,2.352979,3.883178,0.033936,3.803326,6164,0.732767,mask
181,7.500000,2.312468,3.879452,0.034383,3.799942,6177,0.712888,mask
182,7.541667,2.324660,3.876765,0.036465,3.791996,6350,0.698812,mask
183,7.583333,2.233452,3.871265,0.038504,3.785268,6222,0.730635,mask
184,7.625000,2.244067,3.871637,0.039943,3.782002,6604,0.806418,mask
185,7.666667,2.264811,3.874227,0.040894,3.781610,7123,0.884518,mask
186,7.708333,2.419665,3.883020,0.041740,3.782023,6246,0.857127,mask
187,7.750000,2.425707,3.885117,0.042777,3.781353,5810,0.867735,mask
188,7.791667,2.324601,3.881239,0.044337,3.778174,6077,0.913619,mask
189,7.833333,2.233963,3.876063,0.047225,3.770565,6058,0.863897,mask
190,7.875000,2.165350,3.870046,0.052574,3.756204,5812,0.882236,mask
191,7.916667,2.264780,3.872316,0.060748,3.734735,6418,0.889970,mask
192,7.958333,2.278316,3.870240,0.070416,3.709811,6293,0.897607,mask
