frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
124,5.125000,537.457,552.957,1.000000,528.101,528.271,0.000000,752.283,212.352,1.000000,533.114,510.330,1.000000,700.493,264.736,1.000000
125,5.166667,536.678,558.047,1.000000,527.118,532.428,0.000000,752.089,212.320,1.000000,532.112,515.276,1.000000,699.899,265.210,1.000000
126,5.208333,536.538,561.471,1.000000,526.958,535.533,0.000000,751.328,212.243,1.000000,531.999,518.732,1.000000,698.863,265.326,1.000000
127,5.250000,536.047,564.578,1.000000,526.683,538.215,0.000000,750.555,212.049,1.000000,531.286,521.662,1.000000,697.934,265.865,1.000000
128,5.291667,535.830,567.376,1.000000,527.174,540.703,0.000000,750.171,211.819,1.000000,531.632,524.960,1.000000,697.573,265.973,1.000000
129,5.333333,534.309,558.011,1.000000,503.000,558.011,1.000000,565.000,558.011,1.000000,534.309,519.000,1.000000,534.309,599.000,1.000000
130,5.375000,534.703,559.385,1.000000,503.634,558.521,1.000000,565.547,559.476,1.000000,534.619,520.408,1.000000,534.598,599.557,1.000000
131,5.416667,534.410,561.156,1.000000,503.481,559.599,1.000000,565.362,561.009,1.000000,534.389,521.928,1.000000,534.422,600.670,1.000000
132,5.458333,534.220,562.396,1.000000,503.164,560.424,1.000000,565.244,562.062,1.000000,534.181,523.042,1.000000,534.204,601.411,1.000000
133,5.500000,534.109,563.598,1.000000,503.130,561.208,1.000000,565.200,563.112,1.000000,534.071,523.964,1.000000,534.189,602.262,0.000000
134,5.541667,533.809,564.590,1.000000,502.900,561.977,1.000000,565.041,563.940,1.000000,533.843,524.863,1.000000,533.913,603.091,0.000000
135,5.583333,533.493,565.680,1.000000,502.588,562.848,1.000000,564.758,564.906,1.000000,533.635,525.972,1.000000,533.680,603.983,0.000000
136,5.625000,533.294,565.892,1.000000,502.554,562.922,1.000000,564.550,565.095,1.000000,533.468,525.835,1.000000,533.499,604.051,0.000000
137,5.666667,533.004,566.020,1.000000,502.422,562.925,1.000000,564.311,565.224,1.000000,533.394,525.920,1.000000,533.294,604.003,0.000000
138,5.708333,532.781,566.596,1.000000,502.272,563.368,1.000000,564.083,565.803,1.000000,533.136,526.440,1.000000,533.138,604.506,0.000000
139,5.750000,532.531,567.578,1.000000,502.093,564.095,1.000000,563.792,566.750,1.000000,532.895,527.298,1.000000,533.013,605.407,0.000000
140,5.791667,532.446,568.316,1.000000,501.945,564.592,1.000000,563.690,567.472,1.000000,532.860,527.898,1.000000,532.955,606.052,0.000000
141,5.833333,532.159,568.415,1.000000,501.672,564.569,1.000000,563.389,567.646,1.000000,532.651,527.890,1.000000,532.794,606.089,0.000000
142,5.875000,531.940,568.550,1.000000,501.310,564.655,1.000000,563.162,567.840,1.000000,532.552,528.014,1.000000,532.736,606.210,0.000000
143,5.916667,531.748,568.479,1.000000,501.074,564.585,1.000000,562.936,567.836,1.000000,532.331,527.980,1.000000,532.501,606.185,0.000000
