frame,time,u,v,radius_px,da3_depth_raw,da3_depth_smooth,object_depth_confidence,depth_observation_state,source
110,4.541667,569.888,23.893,31.755,3.924733,4.006381,1.000000,observed_mask_median,da3_metric_sam2_mask_median
111,4.583333,569.722,38.402,35.093,3.882962,3.924733,1.000000,observed_mask_median,da3_metric_sam2_mask_median
112,4.625000,569.550,62.458,35.161,4.006381,3.882962,1.000000,observed_mask_median,da3_metric_sam2_mask_median
113,4.666667,569.545,90.145,35.270,3.706260,3.706260,1.000000,observed_mask_median,da3_metric_sam2_mask_median
114,4.708333,569.348,123.018,35.616,3.314917,3.314917,1.000000,observed_mask_median,da3_metric_sam2_mask_median
115,4.750000,569.001,146.969,31.750,3.107929,3.107929,1.000000,observed_mask_median,da3_metric_sam2_mask_median
116,4.791667,567.838,138.914,32.989,3.069362,3.107929,1.000000,observed_mask_median,da3_metric_sam2_mask_median
117,4.833333,568.237,115.569,34.738,2.921071,3.107929,1.000000,observed_mask_median,da3_metric_sam2_mask_median
118,4.875000,568.577,93.309,35.337,3.080726,3.107929,1.000000,observed_mask_median,da3_metric_sam2_mask_median
119,4.916667,569.648,71.823,35.288,3.597556,3.531501,1.000000,observed_mask_median,da3_metric_sam2_mask_median
120,4.958333,570.968,54.754,35.337,3.531501,3.597087,1.000000,observed_mask_median,da3_metric_sam2_mask_median
121,5.000000,572.681,41.441,35.166,3.597087,3.597556,1.000000,observed_mask_median,da3_metric_sam2_mask_median
122,5.041667,574.406,33.008,34.898,3.651109,3.651109,1.000000,observed_mask_median,da3_metric_sam2_mask_median
123,5.083333,575.945,29.638,34.281,3.741464,3.660600,1.000000,observed_mask_median,da3_metric_sam2_mask_median
124,5.125000,577.507,29.239,34.272,3.686814,3.686814,1.000000,observed_mask_median,da3_metric_sam2_mask_median
125,5.166667,579.112,31.105,34.632,3.660600,3.686814,1.000000,observed_mask_median,da3_metric_sam2_mask_median
126,5.208333,580.803,37.590,35.270,3.693907,3.686814,1.000000,observed_mask_median,da3_metric_sam2_mask_median
127,5.250000,582.171,49.457,35.220,3.741923,3.660600,1.000000,observed_mask_median,da3_metric_sam2_mask_median
128,5.291667,583.796,66.053,35.351,3.603758,3.603758,1.000000,observed_mask_median,da3_metric_sam2_mask_median
