frame,time,u,v,radius_px,bottom_v,X_raw,Y_raw,Z_raw,X,Y,Z
133,5.500000,516.500,461.000,47.437,508.437,-0.312414,0.497799,2.914181,-0.299548,0.383489,2.887109
134,5.541667,509.706,488.059,48.610,536.669,-0.321647,0.418988,2.843859,-0.313449,0.342316,2.884262
135,5.583333,507.812,534.264,52.033,586.297,-0.304856,0.284865,2.656775,-0.327351,0.284684,2.881415
136,5.625000,508.746,600.662,47.420,648.082,-0.332148,0.144552,2.915226,-0.341252,0.210574,2.878568
137,5.666667,508.979,606.485,45.401,651.886,-0.346303,0.135589,3.044867,-0.360932,0.120000,2.923298
138,5.708333,508.669,561.797,44.101,605.898,-0.357355,0.261183,3.134623,-0.342650,0.263374,2.930110
139,5.750000,513.514,515.486,50.364,565.850,-0.301372,0.339047,2.744818,-0.324368,0.378050,2.936922
140,5.791667,517.150,489.148,48.392,537.540,-0.304637,0.418175,2.856671,-0.306085,0.464060,2.943735
141,5.833333,521.659,469.061,47.119,516.180,-0.301384,0.480629,2.933848,-0.287804,0.521407,2.950547
142,5.875000,527.723,455.668,47.581,503.249,-0.283164,0.509740,2.905361,-0.269522,0.550086,2.957359
143,5.916667,536.329,452.481,47.320,499.801,-0.262902,0.520633,2.921386,-0.251239,0.550100,2.964172
144,5.958333,546.128,459.602,47.917,507.519,-0.235087,0.496313,2.884989,-0.232958,0.521418,2.970984
145,6.000000,555.731,478.287,47.131,525.418,-0.214557,0.457016,2.933101,-0.214675,0.464069,2.977796
146,6.041667,566.118,524.927,45.793,570.720,-0.193607,0.348150,3.018802,-0.196393,0.378055,2.984608
147,6.083333,575.555,580.774,44.782,625.556,-0.172690,0.206360,3.086955,-0.178112,0.263377,2.991421
148,6.125000,583.032,624.407,45.121,669.528,-0.151507,0.120000,3.063762,-0.136211,0.120000,3.061130
149,6.166667,583.718,583.886,45.480,629.366,-0.148501,0.194982,3.039578,-0.138116,0.266871,3.042168
150,6.208333,584.508,545.289,45.223,590.512,-0.147249,0.298507,3.056852,-0.140021,0.389263,3.023206
151,6.250000,584.000,509.000,46.044,555.044,-0.145947,0.387761,3.002346,-0.141926,0.487188,3.004243
152,6.291667,585.500,483.071,46.183,529.254,-0.141611,0.453967,2.993309,-0.143831,0.560639,2.985281
153,6.333333,584.508,462.897,46.393,509.290,-0.143535,0.504094,2.979760,-0.145736,0.609586,2.966319
154,6.375000,585.200,453.295,46.317,499.612,-0.141978,0.529799,2.984649,-0.147641,0.634064,2.947357
155,6.416667,586.809,451.201,46.919,498.120,-0.136041,0.528357,2.946355,-0.149546,0.634070,2.928394
156,6.458333,588.014,456.185,47.114,503.299,-0.132409,0.513475,2.934160,-0.151451,0.609598,2.909432
157,6.500000,587.859,472.572,49.296,521.868,-0.126925,0.450857,2.804284,-0.153356,0.560630,2.890470
158,6.541667,584.741,514.660,48.419,563.079,-0.136952,0.354714,2.855078,-0.155261,0.487190,2.871508
159,6.583333,578.000,567.000,55.570,622.570,-0.133885,0.196042,2.487673,-0.157166,0.389272,2.852546
160,6.625000,570.604,629.000,47.167,676.167,-0.176554,0.120000,2.930863,-0.159071,0.266886,2.833583
161,6.666667,558.000,600.024,45.301,645.325,-0.217214,0.153003,3.051589,-0.258262,0.120000,2.950012
162,6.708333,543.283,553.623,46.684,600.307,-0.248608,0.267743,2.961186,-0.268623,0.208779,2.950152
163,6.750000,533.000,514.387,49.412,563.799,-0.259856,0.348248,2.797701,-0.278984,0.282757,2.950293
164,6.791667,522.886,487.270,47.419,534.689,-0.296372,0.431508,2.915287,-0.289345,0.341943,2.950433
165,6.833333,515.496,467.168,46.489,513.657,-0.321377,0.492029,2.973607,-0.299706,0.386330,2.950573
166,6.875000,509.477,451.795,46.214,498.009,-0.338918,0.534874,2.991301,-0.310067,0.415916,2.950713
167,6.916667,505.168,442.279,46.340,488.619,-0.349155,0.558062,2.983168,-0.320428,0.430709,2.950853
