frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,source
45,1.466667,-0.919352,0.905415,6.709607,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.733,838.241,,653.733,838.241,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.954336,6.645915,653.733,838.241,619.000,854.000,0.000693,0.000693,6.719399,6.718706,4.147444,6.718706,0.073484,sequence_se3_optimizer
46,1.500000,-0.917185,0.904614,6.708311,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.850,838.156,,653.850,838.156,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.959647,6.659759,653.850,838.156,619.000,854.000,0.017407,0.017407,6.736113,6.718706,4.126737,6.718706,0.076354,sequence_se3_optimizer
47,1.533333,-0.914702,0.903666,6.706824,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.747,838.145,,653.747,838.145,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.964267,6.652146,653.747,838.145,619.000,854.000,-0.021845,-0.021845,6.696861,6.718706,4.124996,6.718706,0.044714,sequence_se3_optimizer
48,1.566667,-0.911902,0.902558,6.705133,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.966,838.133,,653.966,838.133,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.968780,6.629023,653.966,838.133,619.000,854.000,-0.043465,-0.043465,6.675241,6.718706,4.102737,6.718706,0.046218,sequence_se3_optimizer
49,1.600000,-0.908800,0.901274,6.703225,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.962,838.107,,653.962,838.107,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.969056,6.647145,653.962,838.107,620.000,854.000,0.000840,0.000840,6.719546,6.718706,4.240897,6.718706,0.072400,sequence_se3_optimizer
50,1.633333,-0.904577,0.899593,6.700873,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.115,838.037,,654.115,838.037,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,1,1,foot,left,left_foot,left_foot,0.972070,6.657468,654.115,838.037,619.000,854.000,0.057731,0.057731,6.776437,6.718706,4.371699,6.718706,0.118969,sequence_se3_optimizer
51,1.666667,-0.899850,0.897553,6.698129,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.866,838.142,,653.866,838.142,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,1,0,1,0,1,0,foot,left,left_foot,left_foot,0.970985,6.684716,653.866,838.142,620.000,854.000,-0.033990,-0.033990,6.684716,6.718706,4.650884,6.718706,0.000000,sequence_se3_optimizer
52,1.700000,-0.873243,0.789309,6.694363,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,682.704,787.710,,682.704,787.710,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,1,0,foot,right,right_foot,right_foot,0.910504,6.355902,682.704,787.710,660.000,813.000,1.512038,0.000000,6.706854,6.707537,4.769032,6.707537,0.350952,sequence_se3_optimizer
53,1.733333,-0.846419,0.680755,6.690297,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,682.303,787.945,,682.303,787.945,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,1,0,foot,right,right_foot,right_foot,0.866439,6.322678,682.303,787.945,662.000,813.000,0.833151,0.833151,7.528202,6.696368,4.916159,6.696368,1.205525,sequence_se3_optimizer
54,1.766667,-0.819166,0.501258,6.685464,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,700.809,711.024,,700.809,711.024,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.796227,6.280542,700.809,711.024,693.000,746.000,4.770869,0.000000,6.683362,6.685199,4.932769,6.685199,0.402820,sequence_se3_optimizer
