frame,time,motion_regime,motion_speed_score,contact_observed,contact_persistent,pose_anchor_allowed,source
112,4.625000,sustained_grasp,0.115707,1,1,1,generic_motion_regime_from_se3_and_anchor_state
113,4.666667,uniform_motion,0.071384,0,0,0,generic_motion_regime_from_se3_and_anchor_state
114,4.708333,free_motion,0.108175,0,0,0,generic_motion_regime_from_se3_and_anchor_state
115,4.750000,free_motion,0.093014,0,0,0,generic_motion_regime_from_se3_and_anchor_state
116,4.791667,uniform_motion,0.067567,0,0,0,generic_motion_regime_from_se3_and_anchor_state
117,4.833333,uniform_motion,0.050581,0,0,0,generic_motion_regime_from_se3_and_anchor_state
118,4.875000,low_speed,0.030024,0,0,0,generic_motion_regime_from_se3_and_anchor_state
119,4.916667,low_speed,0.015661,0,0,0,generic_motion_regime_from_se3_and_anchor_state
120,4.958333,static_hold,0.006075,0,0,0,generic_motion_regime_from_se3_and_anchor_state
121,5.000000,low_speed,0.013919,0,0,0,generic_motion_regime_from_se3_and_anchor_state
122,5.041667,uniform_motion,0.058532,0,0,0,generic_motion_regime_from_se3_and_anchor_state
123,5.083333,free_motion,0.104091,0,0,0,generic_motion_regime_from_se3_and_anchor_state
124,5.125000,high_speed,0.137265,0,0,0,generic_motion_regime_from_se3_and_anchor_state
125,5.166667,sustained_grasp,0.119372,1,1,1,generic_motion_regime_from_se3_and_anchor_state
126,5.208333,uniform_motion,0.070602,0,0,0,generic_motion_regime_from_se3_and_anchor_state
127,5.250000,free_motion,0.112107,0,0,0,generic_motion_regime_from_se3_and_anchor_state
128,5.291667,free_motion,0.095961,0,0,0,generic_motion_regime_from_se3_and_anchor_state
129,5.333333,free_motion,0.093229,0,0,0,generic_motion_regime_from_se3_and_anchor_state
130,5.375000,uniform_motion,0.047097,0,0,0,generic_motion_regime_from_se3_and_anchor_state
131,5.416667,low_speed,0.025520,0,0,0,generic_motion_regime_from_se3_and_anchor_state
132,5.458333,low_speed,0.012146,0,0,0,generic_motion_regime_from_se3_and_anchor_state
133,5.500000,low_speed,0.025594,0,0,0,generic_motion_regime_from_se3_and_anchor_state
134,5.541667,uniform_motion,0.075330,0,0,0,generic_motion_regime_from_se3_and_anchor_state
135,5.583333,free_motion,0.122329,0,0,0,generic_motion_regime_from_se3_and_anchor_state
136,5.625000,high_speed,0.154893,0,0,0,generic_motion_regime_from_se3_and_anchor_state
137,5.666667,sustained_grasp,0.019779,1,1,1,generic_motion_regime_from_se3_and_anchor_state
138,5.708333,free_motion,0.119446,0,0,0,generic_motion_regime_from_se3_and_anchor_state
139,5.750000,free_motion,0.100518,0,0,0,generic_motion_regime_from_se3_and_anchor_state
140,5.791667,uniform_motion,0.079854,0,0,0,generic_motion_regime_from_se3_and_anchor_state
141,5.833333,uniform_motion,0.052727,0,0,0,generic_motion_regime_from_se3_and_anchor_state
142,5.875000,low_speed,0.028740,0,0,0,generic_motion_regime_from_se3_and_anchor_state
143,5.916667,low_speed,0.020300,0,0,0,generic_motion_regime_from_se3_and_anchor_state
144,5.958333,low_speed,0.028046,0,0,0,generic_motion_regime_from_se3_and_anchor_state
145,6.000000,uniform_motion,0.061039,0,0,0,generic_motion_regime_from_se3_and_anchor_state
146,6.041667,free_motion,0.109703,0,0,0,generic_motion_regime_from_se3_and_anchor_state
147,6.083333,free_motion,0.136784,0,0,0,generic_motion_regime_from_se3_and_anchor_state
148,6.125000,sustained_grasp,0.098178,1,1,1,generic_motion_regime_from_se3_and_anchor_state
149,6.166667,uniform_motion,0.085791,0,0,0,generic_motion_regime_from_se3_and_anchor_state
150,6.208333,uniform_motion,0.090553,0,0,0,generic_motion_regime_from_se3_and_anchor_state
151,6.250000,uniform_motion,0.078341,0,0,0,generic_motion_regime_from_se3_and_anchor_state
152,6.291667,uniform_motion,0.082708,0,0,0,generic_motion_regime_from_se3_and_anchor_state
153,6.333333,uniform_motion,0.056579,0,0,0,generic_motion_regime_from_se3_and_anchor_state
154,6.375000,low_speed,0.020817,0,0,0,generic_motion_regime_from_se3_and_anchor_state
155,6.416667,static_hold,0.004240,0,0,0,generic_motion_regime_from_se3_and_anchor_state
156,6.458333,static_hold,0.009794,0,0,0,generic_motion_regime_from_se3_and_anchor_state
157,6.500000,uniform_motion,0.049701,0,0,0,generic_motion_regime_from_se3_and_anchor_state
158,6.541667,free_motion,0.106410,0,0,0,generic_motion_regime_from_se3_and_anchor_state
159,6.583333,high_speed,0.139621,0,0,0,generic_motion_regime_from_se3_and_anchor_state
160,6.625000,sustained_grasp,0.116452,1,1,1,generic_motion_regime_from_se3_and_anchor_state
161,6.666667,uniform_motion,0.081795,0,0,0,generic_motion_regime_from_se3_and_anchor_state
162,6.708333,free_motion,0.103682,0,0,0,generic_motion_regime_from_se3_and_anchor_state
163,6.750000,uniform_motion,0.086871,0,0,0,generic_motion_regime_from_se3_and_anchor_state
164,6.791667,uniform_motion,0.066970,0,0,0,generic_motion_regime_from_se3_and_anchor_state
165,6.833333,uniform_motion,0.052095,0,0,0,generic_motion_regime_from_se3_and_anchor_state
166,6.875000,low_speed,0.037606,0,0,0,generic_motion_regime_from_se3_and_anchor_state
167,6.916667,low_speed,0.023993,0,0,0,generic_motion_regime_from_se3_and_anchor_state
168,6.958333,low_speed,0.012106,0,0,0,generic_motion_regime_from_se3_and_anchor_state
169,7.000000,low_speed,0.013439,0,0,0,generic_motion_regime_from_se3_and_anchor_state
170,7.041667,low_speed,0.031868,0,0,0,generic_motion_regime_from_se3_and_anchor_state
171,7.083333,uniform_motion,0.082826,0,0,0,generic_motion_regime_from_se3_and_anchor_state
172,7.125000,free_motion,0.129410,0,0,0,generic_motion_regime_from_se3_and_anchor_state
173,7.166667,sustained_grasp_high_speed,0.139770,1,1,1,generic_motion_regime_from_se3_and_anchor_state
174,7.208333,low_speed,0.020156,0,0,0,generic_motion_regime_from_se3_and_anchor_state
175,7.250000,free_motion,0.111444,0,0,0,generic_motion_regime_from_se3_and_anchor_state
176,7.291667,uniform_motion,0.083524,0,0,0,generic_motion_regime_from_se3_and_anchor_state
177,7.333333,uniform_motion,0.082914,0,0,0,generic_motion_regime_from_se3_and_anchor_state
178,7.375000,uniform_motion,0.057390,0,0,0,generic_motion_regime_from_se3_and_anchor_state
179,7.416667,low_speed,0.037553,0,0,0,generic_motion_regime_from_se3_and_anchor_state
180,7.458333,low_speed,0.023272,0,0,0,generic_motion_regime_from_se3_and_anchor_state
181,7.500000,low_speed,0.017799,0,0,0,generic_motion_regime_from_se3_and_anchor_state
182,7.541667,low_speed,0.033647,0,0,0,generic_motion_regime_from_se3_and_anchor_state
183,7.583333,uniform_motion,0.048094,0,0,0,generic_motion_regime_from_se3_and_anchor_state
184,7.625000,uniform_motion,0.080696,0,0,0,generic_motion_regime_from_se3_and_anchor_state
185,7.666667,free_motion,0.116580,0,0,0,generic_motion_regime_from_se3_and_anchor_state
186,7.708333,sustained_grasp_high_speed,0.142534,1,1,1,generic_motion_regime_from_se3_and_anchor_state
187,7.750000,static_hold,0.005339,0,0,0,generic_motion_regime_from_se3_and_anchor_state
188,7.791667,free_motion,0.097736,0,0,0,generic_motion_regime_from_se3_and_anchor_state
189,7.833333,free_motion,0.095644,0,0,0,generic_motion_regime_from_se3_and_anchor_state
190,7.875000,uniform_motion,0.071464,0,0,0,generic_motion_regime_from_se3_and_anchor_state
191,7.916667,uniform_motion,0.058231,0,0,0,generic_motion_regime_from_se3_and_anchor_state
192,7.958333,low_speed,0.034437,0,0,0,generic_motion_regime_from_se3_and_anchor_state
