frame,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,raw_velocity_score,raw_accel_score,final_velocity_score,final_accel_score,se3_smoothed,delta_translation_m,delta_rotation_rad,trust_weight,anchor_residual_enabled,anchor_residual_count,anchor_residual_m
139,0,0,0,0,0.100518,0.021114,0.002155,0.000721,1,0.075257,0.000000,0.602000,0,0,0.000000
140,0,0,0,0,0.079854,0.028788,0.002688,0.000532,1,0.085379,0.000000,0.602000,0,0,0.000000
141,0,0,0,0,0.052727,0.024908,0.003119,0.000235,1,0.119429,0.000000,0.602000,0,0,0.000000
142,0,0,0,0,0.028740,0.025274,0.003307,0.000135,1,0.140110,0.000000,0.602000,0,0,0.000000
143,0,0,0,0,0.020300,0.021087,0.003411,0.000084,1,0.137893,0.000000,0.602000,0,0,0.000000
144,0,0,0,0,0.028046,0.037892,0.003479,0.000078,1,0.116841,0.000000,0.602000,0,0,0.000000
145,0,0,0,0,0.061039,0.049475,0.003548,0.000014,1,0.060780,0.000000,0.602000,0,0,0.000000
146,0,0,0,0,0.109703,0.037059,0.003560,0.000258,1,0.058469,0.000000,0.602000,0,0,0.000000
147,0,0,0,0,0.136784,0.042177,0.003344,0.000322,1,0.186976,0.000000,0.602000,0,0,0.000000
148,0,0,0,1,0.098178,0.183238,0.003062,0.000393,1,0.284704,0.000000,0.756800,0,0,0.000000
149,0,0,0,0,0.085791,0.013750,0.002723,0.000400,1,0.200444,0.000000,0.602000,0,0,0.000000
150,0,0,0,0,0.090553,0.012789,0.002385,0.000716,1,0.120283,0.000000,0.602000,0,0,0.000000
151,0,0,0,0,0.078341,0.006700,0.001792,0.000761,1,0.069839,0.000000,0.602000,0,0,0.000000
152,0,0,0,0,0.082708,0.026893,0.001229,0.000813,1,0.087851,0.000000,0.602000,0,0,0.000000
153,0,0,0,0,0.056579,0.036654,0.000887,0.000489,1,0.134417,0.000000,0.602000,0,0,0.000000
154,0,0,0,0,0.020817,0.016920,0.000943,0.000237,1,0.154416,0.000000,0.602000,0,0,0.000000
155,0,0,0,0,0.004240,0.012038,0.001043,0.000145,1,0.158306,0.000000,0.688000,0,0,0.000000
156,0,0,0,0,0.009794,0.040945,0.001132,0.000197,1,0.153778,0.000000,0.688000,0,0,0.000000
157,0,0,0,0,0.049701,0.059019,0.001288,0.000383,1,0.121140,0.000000,0.602000,0,0,0.000000
158,0,0,0,0,0.106410,0.033700,0.001635,0.003458,1,0.088125,0.000000,0.602000,0,0,0.000000
159,0,0,0,0,0.139621,0.023199,0.005046,0.000499,1,0.180389,0.000000,0.670800,0,0,0.000000
160,0,0,0,1,0.116452,0.192050,0.005517,0.000287,1,0.289006,0.000000,0.756800,0,0,0.000000
161,0,0,0,0,0.081795,0.021909,0.005759,0.000148,1,0.210670,0.000000,0.602000,0,0,0.000000
162,0,0,0,0,0.103682,0.016869,0.005834,0.000226,1,0.112153,0.000000,0.602000,0,0,0.000000
163,0,0,0,0,0.086871,0.020142,0.005704,0.000494,1,0.040497,0.000000,0.602000,0,0,0.000000
164,0,0,0,0,0.066970,0.016511,0.005249,0.000887,1,0.050713,0.000000,0.602000,0,0,0.000000
165,0,0,0,0,0.052095,0.015174,0.004403,0.000710,1,0.096294,0.000000,0.602000,0,0,0.000000
166,0,0,0,0,0.037606,0.014030,0.003727,0.000492,1,0.129914,0.000000,0.602000,0,0,0.000000
167,0,0,0,0,0.023993,0.012463,0.003265,0.000324,1,0.151599,0.000000,0.602000,0,0,0.000000
168,0,0,0,0,0.012106,0.016592,0.002968,0.000308,1,0.161583,0.000000,0.602000,0,0,0.000000
169,0,0,0,0,0.013439,0.025350,0.002696,0.000273,1,0.160436,0.000000,0.602000,0,0,0.000000
170,0,0,0,0,0.031868,0.051475,0.002464,0.000329,1,0.137874,0.000000,0.602000,0,0,0.000000
171,0,0,0,0,0.082826,0.048013,0.002204,0.000464,1,0.097678,0.000000,0.602000,0,0,0.000000
172,0,0,0,0,0.129410,0.015040,0.001876,0.001631,1,0.141110,0.000000,0.602000,0,0,0.000000
173,0,0,0,1,0.139770,0.159720,0.001441,0.000574,1,0.258870,0.000000,0.739600,0,0,0.000000
174,0,0,0,0,0.020156,0.091371,0.001635,0.000547,1,0.240346,0.000000,0.602000,0,0,0.000000
175,0,0,0,0,0.111444,0.030996,0.001939,0.000375,1,0.137863,0.000000,0.602000,0,0,0.000000
176,0,0,0,0,0.083524,0.002724,0.002197,0.000571,1,0.069292,0.000000,0.602000,0,0,0.000000
177,0,0,0,0,0.082914,0.025887,0.002612,0.000441,1,0.063602,0.000000,0.602000,0,0,0.000000
178,0,0,0,0,0.057390,0.022772,0.002910,0.000236,1,0.105318,0.000000,0.602000,0,0,0.000000
179,0,0,0,0,0.037553,0.018068,0.003029,0.000150,1,0.133984,0.000000,0.602000,0,0,0.000000
180,0,0,0,0,0.023272,0.017621,0.003078,0.000100,1,0.147651,0.000000,0.602000,0,0,0.000000
181,0,0,0,0,0.017799,0.022371,0.003093,0.000091,1,0.145390,0.000000,0.602000,0,0,0.000000
182,0,0,0,0,0.033647,0.016522,0.003084,0.000112,1,0.124727,0.000000,0.602000,0,0,0.000000
183,0,0,0,0,0.048094,0.036947,0.003047,0.000151,1,0.096660,0.000000,0.602000,0,0,0.000000
184,0,0,0,0,0.080696,0.038051,0.002950,0.000290,1,0.073364,0.000000,0.602000,0,0,0.000000
185,0,0,0,0,0.116580,0.026145,0.002679,0.000567,1,0.142293,0.000000,0.602000,0,0,0.000000
186,0,0,0,1,0.142534,0.146295,0.002112,0.000247,1,0.275048,0.000000,0.200000,0,0,0.000000
187,0,0,0,0,0.005339,0.093574,0.001868,0.000254,1,0.269575,0.000000,0.688000,0,0,0.000000
188,0,0,0,0,0.097736,0.010592,0.001624,0.000169,1,0.171492,0.000000,0.602000,0,0,0.000000
189,0,0,0,0,0.095644,0.028116,0.001470,0.000376,1,0.080147,0.000000,0.602000,0,0,0.000000
190,0,0,0,0,0.071464,0.013658,0.001132,0.000238,1,0.023546,0.000000,0.602000,0,0,0.000000
191,0,0,0,0,0.058231,0.023882,0.000918,0.000067,1,0.057061,0.000000,0.602000,0,0,0.000000
192,0,0,0,0,0.034437,0.000000,0.000855,0.000000,1,0.090182,0.000000,0.602000,0,0,0.000000
