frame,motion_regime,sequence_se3_optimizer_enabled,visual_residual_enabled,contact_anchor_residual_enabled,depth_residual_enabled,geometry_residual_enabled,velocity_residual_enabled,acceleration_residual_enabled,static_freeze_residual_enabled,boundary_freeze_interpolation_enabled,static_tail_freeze_enabled,trust_weight,smooth_weight,accel_weight,feedback_reoptimized,feedback_reweight_reason,visual_prior_reason,overlay_prior_reason,pose_lock_reason,vlm_pose_refine_disabled,vlm_gate_optimizer_mode,decision_source
139,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.864000,0.808333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
140,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.841667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
141,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,1.104167,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
142,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.333333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
143,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.562500,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
144,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.333333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
145,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.070833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
146,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.808333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
147,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.864000,1.016667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
148,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.756800,1.062000,1.050000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
149,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.122000,1.083333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
150,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,0.875000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
151,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,0.875000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
152,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,0.875000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
153,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,1.104167,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
154,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.562500,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
155,static_hold,1,1,1,1,1,1,1,1,1,1,0.688000,1.560000,2.020833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
156,static_hold,1,1,1,1,1,1,1,1,1,1,0.688000,1.740000,1.791667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
157,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.362000,1.300000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
158,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.650000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
