frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
53,2.166667,571.752,505.622,571.752,505.622,571.752,505.622,cotracker_center_fallback,center,571.752,542.225,542.225,36.603,36.603,cotracker_bottom,,,stage2_contact_policy,2.218059,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.131481,2.218059,2.218059,2.218059,1.000000,0.000000,,,44.883
54,2.208333,579.247,478.847,579.247,478.847,579.247,478.847,cotracker_center_fallback,center,579.247,515.945,515.945,37.098,37.098,cotracker_bottom,,,stage2_contact_policy,2.210090,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.151169,2.210090,2.210090,2.210090,1.000000,0.000000,,,46.847
55,2.250000,582.655,459.220,582.655,459.220,582.655,459.220,cotracker_center_fallback,center,582.655,496.631,496.631,37.411,37.411,cotracker_bottom,,,stage2_contact_policy,2.213538,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.204732,2.213538,2.213538,2.213538,1.000000,0.000000,,,46.945
56,2.291667,590.001,444.529,590.001,444.529,590.001,444.529,cotracker_center_fallback,center,590.001,482.231,482.231,37.702,37.702,cotracker_bottom,,,stage2_contact_policy,2.212944,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.244497,2.212944,2.212944,2.212944,1.000000,0.000000,,,47.220
57,2.333333,595.282,438.518,595.282,438.518,595.282,438.518,cotracker_center_fallback,center,595.282,475.234,475.234,36.716,36.716,cotracker_bottom,,,stage2_contact_policy,2.219772,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.281858,2.219772,2.219772,2.219772,1.000000,0.000000,,,46.387
58,2.375000,602.024,437.688,602.024,437.688,602.024,437.688,cotracker_center_fallback,center,602.024,474.542,474.542,36.854,36.854,cotracker_bottom,,,stage2_contact_policy,2.249830,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.241675,2.249830,2.249830,2.249830,1.000000,0.000000,,,47.670
59,2.416667,606.735,446.864,606.735,446.864,606.735,446.864,cotracker_center_fallback,center,606.735,482.725,482.725,35.861,35.861,cotracker_bottom,,,stage2_contact_policy,2.283468,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.235197,2.283468,2.283468,2.283468,1.000000,0.000000,,,47.035
60,2.458333,614.211,471.285,614.211,471.285,614.211,471.285,cotracker_center_fallback,center,614.211,507.724,507.724,36.439,36.439,cotracker_bottom,,,stage2_contact_policy,2.309989,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.179274,2.309989,2.309989,2.309989,1.000000,0.000000,,,46.761
61,2.500000,618.083,516.286,618.083,516.286,618.083,516.286,cotracker_center_fallback,center,618.083,554.132,554.132,37.846,37.846,cotracker_bottom,,,stage2_contact_policy,2.327808,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.361574,2.327808,2.327808,2.327808,1.000000,0.000000,,,46.388
62,2.541667,619.454,576.719,619.454,576.719,619.454,576.719,cotracker_center_fallback,center,619.454,612.291,612.291,35.572,35.572,cotracker_bottom,,,stage2_contact_policy,2.371496,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.440197,2.371496,2.371496,2.371496,1.000000,0.000000,,,46.101
