frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
115,4.750000,0,none,right,none,boundary_002,586.000,473.000,-0.045283,0.658184,0.000000,hand_floor_from_anchor_floor_candidates
116,4.791667,0,none,right,none,boundary_002,584.000,442.000,0.026156,0.710117,0.000000,hand_floor_from_anchor_floor_candidates
117,4.833333,0,none,right,none,boundary_002,583.000,422.000,0.058756,0.624597,0.000000,hand_floor_from_anchor_floor_candidates
118,4.875000,0,none,right,none,boundary_003,576.000,410.000,0.060103,0.604469,0.000000,hand_floor_from_anchor_floor_candidates
119,4.916667,0,none,right,none,boundary_004,576.000,403.000,0.053394,0.596010,0.000000,hand_floor_from_anchor_floor_candidates
120,4.958333,0,none,right,none,boundary_004,578.000,402.000,0.056205,0.631725,0.000000,hand_floor_from_anchor_floor_candidates
121,5.000000,0,none,right,none,boundary_003,584.000,407.000,0.049690,0.770350,0.000000,hand_floor_from_anchor_floor_candidates
122,5.041667,0,none,right,none,boundary_062,582.000,430.000,0.016918,0.789931,0.000000,hand_floor_from_anchor_floor_candidates
123,5.083333,0,none,right,none,boundary_061,583.000,475.000,-0.040302,0.591243,0.000000,hand_floor_from_anchor_floor_candidates
124,5.125000,0,none,right,none,boundary_060,582.000,528.000,0.216301,0.272891,0.840568,hand_floor_from_anchor_floor_candidates
125,5.166667,1,floor,,floor_support,boundary_062,569.000,580.000,0.098557,0.343017,1.000000,hand_floor_from_anchor_floor_candidates
126,5.208333,0,none,right,none,boundary_061,562.000,553.000,0.063411,0.256343,1.000000,hand_floor_from_anchor_floor_candidates
127,5.250000,0,none,right,none,boundary_062,561.000,501.000,0.007837,0.553565,0.380605,hand_floor_from_anchor_floor_candidates
128,5.291667,0,none,right,none,boundary_002,559.000,457.000,-0.013268,0.804661,0.000000,hand_floor_from_anchor_floor_candidates
129,5.333333,0,none,right,none,boundary_000,544.000,433.000,0.025149,0.754556,0.000000,hand_floor_from_anchor_floor_candidates
130,5.375000,0,none,right,none,boundary_000,535.000,412.000,0.109755,0.743119,0.000000,hand_floor_from_anchor_floor_candidates
131,5.416667,0,none,right,none,boundary_002,526.000,403.000,0.125293,0.779214,0.000000,hand_floor_from_anchor_floor_candidates
132,5.458333,0,none,right,none,boundary_001,518.000,404.000,0.119538,0.864936,0.000000,hand_floor_from_anchor_floor_candidates
133,5.500000,0,none,right,none,boundary_001,513.000,416.000,0.022690,0.942357,0.000000,hand_floor_from_anchor_floor_candidates
134,5.541667,0,none,right,none,boundary_003,504.000,448.000,0.021569,0.939414,0.000000,hand_floor_from_anchor_floor_candidates
135,5.583333,0,none,right,none,boundary_063,496.000,486.000,0.006960,0.655785,0.348719,hand_floor_from_anchor_floor_candidates
136,5.625000,0,none,right,none,boundary_000,516.000,557.000,0.088491,0.587508,1.000000,hand_floor_from_anchor_floor_candidates
