frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
121,5.000000,566.075,49.693,1.000000,546.523,55.694,1.000000,600.581,35.772,1.000000,561.516,17.148,1.000000,583.207,70.726,1.000000
122,5.041667,565.756,42.597,1.000000,548.235,47.067,1.000000,601.743,29.229,1.000000,563.921,10.389,1.000000,582.720,62.165,1.000000
123,5.083333,565.471,39.299,1.000000,550.053,42.523,1.000000,602.396,26.734,1.000000,564.108,8.374,1.000000,582.391,57.927,1.000000
124,5.125000,565.237,39.760,1.000000,551.596,41.799,1.000000,603.209,28.892,1.000000,565.198,8.855,1.000000,582.180,58.071,0.000000
125,5.166667,565.246,44.934,1.000000,552.259,45.408,1.000000,604.765,39.041,1.000000,568.198,11.970,1.000000,581.180,62.483,0.000000
126,5.208333,566.368,52.864,1.000000,554.308,51.039,1.000000,606.347,49.984,1.000000,570.695,18.960,1.000000,581.154,69.968,0.000000
127,5.250000,566.789,64.626,1.000000,555.750,60.691,1.000000,606.878,63.698,1.000000,572.832,30.032,1.000000,581.482,80.945,0.000000
128,5.291667,567.764,81.285,1.000000,556.864,75.284,0.000000,607.498,82.068,1.000000,574.077,45.454,1.000000,582.056,98.056,0.000000
129,5.333333,573.234,99.190,1.000000,558.749,92.233,0.000000,610.107,101.786,1.000000,577.285,64.448,1.000000,584.769,117.576,0.000000
130,5.375000,574.710,123.799,1.000000,560.432,114.859,0.000000,612.207,124.927,1.000000,578.686,88.284,1.000000,585.933,144.061,0.000000
131,5.416667,574.108,143.581,1.000000,559.681,131.275,0.000000,611.291,145.299,1.000000,577.756,109.362,1.000000,583.858,158.781,0.000000
132,5.458333,567.714,134.487,1.000000,553.251,120.609,0.000000,604.852,137.023,1.000000,570.933,100.415,1.000000,576.714,149.374,0.000000
133,5.500000,555.169,107.993,1.000000,541.403,94.151,0.000000,591.378,111.081,1.000000,558.151,74.781,1.000000,565.841,125.760,0.000000
134,5.541667,536.110,78.273,1.000000,523.616,64.144,0.000000,571.941,82.667,1.000000,538.431,44.348,1.000000,552.327,94.147,0.000000
135,5.583333,514.098,51.850,1.000000,502.907,40.356,0.000000,545.042,59.182,1.000000,516.378,22.679,1.000000,532.036,66.373,0.000000
136,5.625000,492.259,29.456,0.000000,484.112,21.888,0.000000,520.205,37.512,1.000000,489.520,13.052,0.000000,508.669,44.697,0.000000
137,5.666667,472.934,15.263,0.000000,466.778,15.542,0.000000,496.152,20.250,1.000000,474.248,18.610,0.000000,494.214,25.725,0.000000
138,5.708333,455.199,8.270,0.000000,455.929,10.279,0.000000,477.556,11.873,0.000000,455.504,9.948,0.000000,470.482,12.153,0.000000
139,5.750000,506.803,45.717,0.000000,520.561,60.692,0.000000,538.443,51.295,0.000000,526.621,45.694,0.000000,538.609,73.639,0.000000
140,5.791667,514.872,58.893,0.000000,528.866,73.111,0.000000,549.219,66.269,0.000000,534.161,57.280,0.000000,551.286,87.846,0.000000
141,5.833333,522.344,72.308,0.000000,532.749,84.055,0.000000,555.690,79.787,0.000000,541.052,70.540,0.000000,555.281,101.075,0.000000
142,5.875000,524.751,87.126,0.000000,534.188,97.183,0.000000,557.119,94.065,0.000000,540.936,85.368,0.000000,555.937,114.727,0.000000
143,5.916667,528.646,102.990,0.000000,536.418,113.739,0.000000,560.286,109.986,0.000000,542.775,100.366,0.000000,555.963,130.079,0.000000
144,5.958333,530.472,118.404,0.000000,537.108,129.192,0.000000,562.145,127.528,0.000000,541.795,117.994,0.000000,554.978,146.573,0.000000
