frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,active_hand,active_hand_z,floor_window_weight,contact_depth_gap
77,3.166667,-0.271011,0.539698,3.794171,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.100,568.900,45.140,535.100,568.900,46.448,615.348,657.784,0.000000,0,0,right,3.619903,0.760067,0.174268
78,3.208333,-0.294195,0.442910,3.794099,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.124,531.440,47.813,526.124,531.440,46.449,577.889,657.784,0.000000,0,0,right,3.598507,0.333740,0.195592
79,3.250000,-0.321305,0.355372,3.818558,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,516.427,496.675,45.989,516.427,496.675,46.152,542.827,657.784,0.000000,0,0,right,3.581648,0.084658,0.236909
80,3.291667,-0.337925,0.289296,3.816436,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.963,471.324,46.626,509.963,471.324,46.177,517.501,657.784,0.000000,0,0,right,3.581093,0.000000,0.235343
81,3.333333,-0.353268,0.235646,3.797558,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,503.383,451.130,46.860,503.383,451.130,46.407,497.537,657.784,0.000000,0,0,right,3.589117,0.000000,0.208440
82,3.375000,-0.358217,0.210140,3.776374,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,500.692,441.722,47.602,500.692,441.722,46.667,488.389,657.784,0.000000,0,0,right,3.597507,0.000000,0.178867
83,3.416667,-0.364585,0.212758,3.774920,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,498.161,442.772,47.278,498.161,442.772,46.685,489.457,657.784,0.000000,0,0,right,3.606063,0.000000,0.168857
84,3.458333,-0.374295,0.259262,3.780160,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,494.585,460.724,46.704,494.585,460.724,46.620,507.344,657.784,0.000000,0,0,right,3.621037,0.000000,0.159123
85,3.500000,-0.374335,0.344125,3.776168,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,494.416,493.835,47.806,494.416,493.835,46.670,540.505,657.784,0.000000,0,0,right,3.642444,0.084658,0.133724
86,3.541667,-0.374548,0.481790,3.791258,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,494.913,546.629,46.902,494.913,546.629,46.484,593.113,657.784,0.000000,0,0,right,3.675064,0.333740,0.116194
87,3.583333,-0.369898,0.634311,3.793245,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,496.789,605.582,45.560,496.789,605.582,46.460,652.042,657.784,0.000000,0,0,right,3.686438,0.760067,0.106806
88,3.625000,-0.365853,0.618571,3.734397,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,496.123,603.262,44.967,496.123,603.262,47.192,650.454,657.784,0.000000,1,1,right,3.689379,1.000000,0.045018
