frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap
72,2.366667,-0.626572,-0.695600,6.464951,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,746.498,302.977,40.376,746.498,302.977,40.890,343.867,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.965393,6.704587,6.464326,-0.239637
73,2.400000,-0.621269,-0.646600,6.460219,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,748.150,319.512,42.116,748.150,319.512,40.919,360.431,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.963527,6.707830,6.459264,-0.247611
74,2.433333,-0.619483,-0.642863,6.455578,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,748.607,320.629,40.922,748.607,320.629,40.949,361.578,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.956358,6.707711,6.454202,-0.252132
75,2.466667,-0.615553,-0.592495,6.451187,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,749.805,337.679,41.030,749.805,337.679,40.977,378.656,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.942695,6.695614,6.449141,-0.244427
76,2.500000,-0.613080,-0.524810,6.446823,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,750.508,360.670,41.037,750.508,360.670,41.005,401.675,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.925117,6.683561,6.444079,-0.236738
77,2.533333,-0.612821,-0.436903,6.442320,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,750.450,390.604,41.219,750.450,390.604,41.033,431.637,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.908080,6.657537,6.439017,-0.215217
78,2.566667,-0.605329,-0.347719,6.437501,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,752.857,421.011,40.566,752.857,421.011,41.064,462.075,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.895331,6.634738,6.433955,-0.197237
79,2.600000,-0.604318,-0.342946,6.431839,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,753.021,422.541,40.531,753.021,422.541,41.100,463.641,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.885755,6.607553,6.428893,-0.175714
80,2.633333,-0.606067,-0.238082,6.425224,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,752.208,458.373,40.487,752.208,458.373,41.142,499.515,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.872569,6.577150,6.423832,-0.151927
81,2.666667,-0.611981,-0.128132,6.417101,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,749.915,496.014,41.704,749.915,496.014,41.194,537.208,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.855534,6.538516,6.418770,-0.121414
82,2.700000,-0.611284,0.003452,6.407085,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,749.826,541.187,41.141,749.826,541.187,41.259,582.446,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.829537,6.496181,6.413708,-0.089096
83,2.733333,-0.609702,0.009666,6.394611,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,749.961,543.330,41.546,749.961,543.330,41.339,584.669,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.807162,6.450233,6.408646,-0.055622
