frame,time,tx,ty,tz,qx,qy,qz,qw,rx_delta,ry_delta,rz_delta,rear_joint_angle,seat_joint_angle,fx,fy,cx,cy,da3_mask_depth_m,da3_depth_conf,residual_norm,source
48,1.958333,0.547976923,0.446872575,5.542387424,0.655911228,0.301299991,-0.226504298,0.653983624,0.002795114,0.765340500,0.108457195,-0.161414281,0.055265709,1468.604736328,1468.604736328,640.000000000,360.000000000,3.504145861,0.960262985,2.508018067,chair_metric_articulated_6d_sam2_cotracker_da3
49,2.000000,0.542689941,0.422101808,5.565847350,0.650795415,0.302398381,-0.219849337,0.660822832,-0.014534102,0.756964783,0.119649578,-0.096505616,0.021464125,1468.604736328,1468.604736328,640.000000000,360.000000000,3.575788975,0.946891614,3.126779645,chair_metric_articulated_6d_sam2_cotracker_da3
50,2.041667,0.526407751,0.403388883,5.592500289,0.648098350,0.320401784,-0.219713696,0.655009250,-0.010037759,0.784492535,0.146244750,-0.044455228,0.010574800,1468.604736328,1468.604736328,640.000000000,360.000000000,3.535461903,0.953129371,3.016071716,chair_metric_articulated_6d_sam2_cotracker_da3
51,2.083333,0.493330202,0.387817776,5.579290491,0.639335608,0.352829917,-0.225451923,0.644928260,-0.008160729,0.843821698,0.185868391,-0.013017766,-0.013395101,1468.604736328,1468.604736328,640.000000000,360.000000000,3.533061743,0.955776410,3.121420398,chair_metric_articulated_6d_sam2_cotracker_da3
52,2.125000,0.473505702,0.378031580,5.566363508,0.626327123,0.364111536,-0.228281001,0.650403651,-0.035197497,0.866019131,0.198570769,-0.009703255,-0.052098667,1468.604736328,1468.604736328,640.000000000,360.000000000,3.583054066,0.954294332,3.023421339,chair_metric_articulated_6d_sam2_cotracker_da3
53,2.166667,0.502484514,0.375497381,5.614587906,0.638117273,0.352317782,-0.236498171,0.642453999,-0.006333858,0.859975159,0.169156402,-0.042308116,-0.042927835,1468.604736328,1468.604736328,640.000000000,360.000000000,3.608872652,0.941330892,3.105909596,chair_metric_articulated_6d_sam2_cotracker_da3
54,2.208333,0.510428685,0.364015540,5.608883846,0.635523627,0.343637911,-0.240464766,0.648227894,-0.018540249,0.852422953,0.150567974,-0.063963802,-0.072540860,1468.604736328,1468.604736328,640.000000000,360.000000000,3.615740061,0.923295126,3.316202479,chair_metric_articulated_6d_sam2_cotracker_da3
55,2.250000,0.510949820,0.357961383,5.573897184,0.634158461,0.336900548,-0.243414364,0.651989658,-0.026006995,0.846395596,0.136350613,-0.075087703,-0.081573968,1468.604736328,1468.604736328,640.000000000,360.000000000,3.624843836,0.928948901,3.298355758,chair_metric_articulated_6d_sam2_cotracker_da3
56,2.291667,0.513175763,0.359014118,5.598369972,0.634172482,0.330858671,-0.242632503,0.655352784,-0.030866050,0.835748561,0.128571975,-0.070365599,-0.063429165,1468.604736328,1468.604736328,640.000000000,360.000000000,3.637334824,0.899952531,3.144827872,chair_metric_articulated_6d_sam2_cotracker_da3
57,2.333333,0.510704200,0.361790756,5.579710105,0.635291493,0.329736956,-0.245540057,0.653749446,-0.026901974,0.838450894,0.122714732,-0.076600283,-0.037863234,1468.604736328,1468.604736328,640.000000000,360.000000000,3.580372334,0.923219352,2.904112845,chair_metric_articulated_6d_sam2_cotracker_da3
58,2.375000,0.502051996,0.368434480,5.560245688,0.636660424,0.336981329,-0.253600571,0.645595724,-0.013044729,0.862196156,0.121728366,-0.073133813,0.009473528,1468.604736328,1468.604736328,640.000000000,360.000000000,3.660275459,0.933659848,3.102746407,chair_metric_articulated_6d_sam2_cotracker_da3
59,2.416667,0.480504357,0.377589554,5.494359644,0.636105853,0.347229604,-0.260272860,0.638011743,-0.002788022,0.888681845,0.127204224,-0.054845850,0.040825002,1468.604736328,1468.604736328,640.000000000,360.000000000,3.716664076,0.950920721,3.110114467,chair_metric_articulated_6d_sam2_cotracker_da3
60,2.458333,0.490669470,0.383262381,5.589206042,0.649843521,0.352464657,-0.266605380,0.618379847,0.046093640,0.906924952,0.125782086,-0.045494894,0.078780821,1468.604736328,1468.604736328,640.000000000,360.000000000,3.736845255,0.962406058,3.095250365,chair_metric_articulated_6d_sam2_cotracker_da3
61,2.500000,0.495270347,0.391215859,5.641945226,0.660203924,0.354278635,-0.272674052,0.603544770,0.083096609,0.919492052,0.119681703,-0.044083429,0.105053004,1468.604736328,1468.604736328,640.000000000,360.000000000,3.708066702,0.960783987,3.201279055,chair_metric_articulated_6d_sam2_cotracker_da3
62,2.541667,0.503439551,0.391513089,5.680575806,0.666451498,0.338998482,-0.269632797,0.606811820,0.087262021,0.890521152,0.101492664,-0.046952244,0.094671305,1468.604736328,1468.604736328,640.000000000,360.000000000,3.726989269,0.954839136,2.844066336,chair_metric_articulated_6d_sam2_cotracker_da3
63,2.583333,0.514325523,0.393808786,5.743980696,0.677040452,0.326417208,-0.267875623,0.602752588,0.108519444,0.868140836,0.085517337,-0.058427547,0.091943636,1468.604736328,1468.604736328,640.000000000,360.000000000,3.726837635,0.958266829,4.521830144,chair_metric_articulated_6d_sam2_cotracker_da3
64,2.625000,0.530060929,0.394268202,5.838860111,0.692134446,0.312694452,-0.264089236,0.594498918,0.142385473,0.841144813,0.070882769,-0.082448582,0.093070634,1468.604736328,1468.604736328,640.000000000,360.000000000,3.691003084,0.956113086,3.029262581,chair_metric_articulated_6d_sam2_cotracker_da3
65,2.666667,0.547445974,0.394510353,5.931805979,0.708100625,0.299014481,-0.261848032,0.583626125,0.181298553,0.816902760,0.054133365,-0.131006425,0.098437150,1468.604736328,1468.604736328,640.000000000,360.000000000,3.697474241,0.952316712,2.977405499,chair_metric_articulated_6d_sam2_cotracker_da3
66,2.708333,0.543329592,0.398979176,5.975267790,0.717693055,0.304616166,-0.267514958,0.566181435,0.221105083,0.834926716,0.054142815,-0.137973573,0.118266297,1468.604736328,1468.604736328,640.000000000,360.000000000,3.782247782,0.943437621,2.775393440,chair_metric_articulated_6d_sam2_cotracker_da3
