frame,time,tx,ty,tz,qx,qy,qz,qw,rx_delta,ry_delta,rz_delta,rear_joint_angle,seat_joint_angle,fx,fy,cx,cy,line_rmse_px,endpoint_rmse_px,side_ratio_rmse_px,rail_rmse_px,source
63,2.583333,0.425522886,0.414137182,5.000606469,0.608949258,0.417032997,-0.338508288,0.583674926,0.037735594,1.128053538,0.117240550,0.110722199,0.033718810,1468.604736328,1468.604736328,640.000000000,360.000000000,1.409158023,3.028620767,0.853876237,6.983147480,chair_twohand_endpoint_se3_contact_refined
64,2.625000,0.421934089,0.420584311,4.999962087,0.611464566,0.415038373,-0.344327619,0.579044665,0.048430273,1.134374269,0.105630830,0.096187965,0.035535934,1468.604736328,1468.604736328,640.000000000,360.000000000,1.456471234,3.493469591,0.849285515,6.929890592,chair_twohand_endpoint_se3_contact_refined
65,2.666667,0.415998493,0.427201041,4.995555953,0.614362340,0.411974482,-0.348889136,0.575423594,0.058179122,1.136820797,0.094257016,0.084045458,0.038195103,1468.604736328,1468.604736328,640.000000000,360.000000000,1.452989461,3.687290210,0.799621779,5.641101505,chair_twohand_endpoint_se3_contact_refined
66,2.708333,0.407914709,0.432465573,4.990189277,0.617288661,0.408330441,-0.352365798,0.572764615,0.066519696,1.136493355,0.083612145,0.074394282,0.041664090,1468.604736328,1468.604736328,640.000000000,360.000000000,1.659551720,4.530719889,0.864142295,6.112632486,chair_twohand_endpoint_se3_contact_refined
67,2.750000,0.397062070,0.436384510,4.976880415,0.618752553,0.405318089,-0.355753623,0.571228399,0.071003217,1.137075255,0.074051533,0.065214007,0.044914813,1468.604736328,1468.604736328,640.000000000,360.000000000,1.645419162,4.477261678,0.870102343,5.831190656,chair_twohand_endpoint_se3_contact_refined
68,2.791667,0.385002070,0.438438527,4.967266688,0.619802307,0.403294070,-0.360516218,0.568530607,0.076634374,1.141645857,0.063938859,0.052168739,0.044885172,1468.604736328,1468.604736328,640.000000000,360.000000000,1.639418664,4.579381982,0.861987272,5.452612029,chair_twohand_endpoint_se3_contact_refined
69,2.833333,0.370835561,0.439342347,4.949687849,0.619457822,0.404264442,-0.365958569,0.564727008,0.081891167,1.152448815,0.057315295,0.034224774,0.040160374,1468.604736328,1468.604736328,640.000000000,360.000000000,1.692356411,4.975281239,0.856222559,5.395352100,chair_twohand_endpoint_se3_contact_refined
70,2.875000,0.355530191,0.438788630,4.946871041,0.618380173,0.407872582,-0.370532501,0.560313826,0.087003881,1.166325553,0.055948620,0.012178823,0.031877404,1468.604736328,1468.604736328,640.000000000,360.000000000,1.452354647,4.046246451,0.793386922,4.323074459,chair_twohand_endpoint_se3_contact_refined
71,2.916667,0.337734202,0.439338161,4.939819502,0.615522833,0.413013175,-0.375903252,0.556101164,0.089195894,1.184216240,0.055704472,-0.009120757,0.023376598,1468.604736328,1468.604736328,640.000000000,360.000000000,0.998724318,2.164179927,0.779702676,3.772042833,chair_twohand_endpoint_se3_contact_refined
72,2.958333,0.319843521,0.440036707,4.942358178,0.612068634,0.418092098,-0.380592327,0.552919945,0.088937424,1.200921539,0.056385577,-0.026563805,0.017665057,1468.604736328,1468.604736328,640.000000000,360.000000000,1.014659217,1.340885938,0.788626119,5.249250783,chair_twohand_endpoint_se3_contact_refined
