frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap,audio_support,audio_anchor,audio_event_type
58,2.375000,-0.100441,-0.705375,3.328695,0.759479,0.645966,0.076929,0.001427,0.100000,gvhmr_incam,595.686,48.792,16.378,595.686,48.792,44.120,92.912,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,-0.657744,3.238953,3.348611,0.089743,0.250000,0,
59,2.416667,-0.103341,-0.721160,3.327265,0.756104,0.649377,0.081339,0.000711,0.100000,gvhmr_incam,594.387,41.691,25.402,594.387,41.691,44.138,85.829,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.620777,3.231280,3.347774,0.095986,0.000000,0,
60,2.458333,-0.100816,-0.720721,3.328515,0.751990,0.653753,0.084364,-0.000010,0.100000,gvhmr_incam,595.518,42.004,33.493,595.518,42.004,44.122,86.126,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.561652,3.223807,3.346937,0.104708,0.000000,0,
61,2.500000,-0.092657,-0.661038,3.328682,0.748980,0.656978,0.086068,-0.001093,0.100000,gvhmr_incam,599.120,68.352,39.953,599.120,68.352,44.120,112.472,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.484218,3.220523,3.346100,0.108159,0.000000,0,
62,2.541667,-0.083183,-0.565638,3.327788,0.745953,0.660187,0.087769,-0.002176,0.100000,gvhmr_incam,603.290,110.375,38.626,603.290,110.375,44.132,154.507,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.403450,3.236612,3.345263,0.091177,0.000000,0,
63,2.583333,-0.065930,-0.461372,3.326196,0.742907,0.663380,0.089469,-0.003259,0.100000,gvhmr_incam,610.890,156.292,39.929,610.890,156.292,44.153,200.445,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.306808,3.261597,3.344426,0.064598,0.000000,0,
64,2.625000,-0.038806,-0.369552,3.324608,0.739845,0.666558,0.091167,-0.004342,0.100000,gvhmr_incam,622.858,196.755,45.277,622.858,196.755,44.174,240.929,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.221364,3.302560,3.343590,0.022049,0.306500,0,
65,2.666667,-0.026485,-0.204810,3.342753,0.736765,0.669720,0.092862,-0.005424,0.100000,gvhmr_incam,628.364,270.019,40.206,628.364,270.019,43.934,313.953,331.589,floor,ball_contact_events,0.864771,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,-0.156582,3.344904,3.342753,-0.002151,0.459750,0,
66,2.708333,-0.026419,-0.146536,3.361869,0.733667,0.672866,0.094555,-0.006507,0.100000,gvhmr_incam,628.459,295.987,37.128,628.459,295.987,43.684,339.671,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.000825,3.362529,3.339242,-0.000660,0.613000,0,strike
67,2.750000,-0.024690,-0.141180,3.376460,0.730553,0.675997,0.096246,-0.007590,0.100000,gvhmr_incam,629.261,298.593,36.138,629.261,298.593,43.495,342.088,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,1,hand,right,right_hand,right_hand,-0.124887,3.381320,3.335732,-0.004860,0.459750,0,
68,2.791667,-0.024432,-0.142084,3.364707,0.727421,0.679112,0.097935,-0.008672,0.100000,gvhmr_incam,629.336,297.984,35.810,629.336,297.984,43.647,341.631,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,1,0,1,floor,,floor,right_hand,-0.128675,3.379073,3.332221,-0.014366,0.320500,0,
69,2.833333,-0.025561,-0.154076,3.369716,0.724272,0.682210,0.099622,-0.009754,0.100000,gvhmr_incam,628.860,292.850,36.300,628.860,292.850,43.582,336.432,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,1,hand,right,right_hand,right_hand,-0.131592,3.380732,3.328711,-0.011016,0.480750,0,
70,2.875000,-0.029387,-0.167281,3.358807,0.721106,0.685293,0.101306,-0.010836,0.100000,gvhmr_incam,627.151,286.858,33.082,627.151,286.858,43.724,330.582,331.589,floor,ball_contact_events,0.864771,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.001092,3.363316,3.325200,-0.004509,0.641000,0,tap
