frame,time,object_x,object_y,object_z,surface_x,surface_y,surface_z,dist_cm,contact,contact_part,contact_region,vertex_index
188,7.791667,-0.471618,-0.472882,6.611331,-0.772948,-0.428447,6.785562,35.1,0,left_foot,left_foot_heel,3264
189,7.833333,-0.471944,-0.488628,6.612664,-0.783085,-0.426526,6.763370,35.1,0,left_foot,left_foot_heel,3264
190,7.875000,-0.474627,-0.494562,6.613741,-0.790067,-0.424350,6.735730,34.5,0,left_foot,left_foot_heel,3264
191,7.916667,-0.488087,-0.470245,6.614722,-0.798265,-0.424610,6.724061,33.2,0,left_foot,left_foot_heel,3264
192,7.958333,-0.486400,-0.423558,6.615748,-0.803644,-0.407343,6.719711,33.4,0,left_foot,left_foot_heel,3267
193,8.000000,-0.484342,-0.365916,6.616968,-0.811847,-0.387718,6.714021,34.2,0,left_foot,left_foot_heel,4141
194,8.041667,-0.482620,-0.365076,6.618574,-0.812459,-0.387113,6.701705,34.1,0,left_foot,left_foot_heel,4141
195,8.083333,-0.482912,-0.364456,6.620836,-0.814628,-0.386620,6.691861,34.0,0,left_foot,left_foot_heel,4141
196,8.125000,-0.476650,-0.285631,6.624119,-0.747595,-0.100390,6.697048,33.6,0,left_foot,left_foot_heel,4176
197,8.166667,-0.479961,-0.192836,6.628894,-0.704377,0.000073,6.658695,29.7,0,left_foot,left_foot_heel,4584
198,8.208333,-0.484763,-0.086096,6.635730,-0.688306,0.068607,6.635690,25.6,0,left_foot,left_foot_heel,4835
199,8.250000,-0.484288,-0.086135,6.645251,-0.701507,0.074993,6.660931,27.1,0,left_foot,left_foot_heel,4835
200,8.291667,-0.482090,0.032068,6.658059,-0.699561,0.121973,6.673861,23.6,0,left_foot,left_foot_heel,4747
201,8.333333,-0.475819,0.176122,6.674599,-0.714162,0.177473,6.674173,23.8,0,left_foot,left_foot_heel,4681
202,8.375000,-0.482112,0.346177,6.694962,-0.744485,0.248780,6.690958,28.0,0,left_foot,left_foot_heel,5060
203,8.416667,-0.484750,0.354600,6.720667,-0.761468,0.248856,6.706297,29.7,0,left_foot,left_foot_heel,5044
204,8.458333,-0.483153,0.539852,6.751078,-0.794788,0.560556,6.550402,37.1,0,left_foot,left_foot_heel,3712
205,8.500000,-0.490990,0.753353,6.716962,-0.728006,0.927741,6.485176,37.5,0,left_foot,left_foot_toe,5835
206,8.541667,-0.487000,0.945879,6.681967,-0.717313,0.936269,6.469211,31.4,0,left_foot,left_foot_toe,5833
207,8.583333,-0.497002,0.891050,6.645677,-0.719931,0.931174,6.464675,29.0,0,left_foot,left_foot_toe,5834
208,8.625000,-0.508456,0.815851,6.608853,-0.730071,0.933905,6.471026,28.6,0,left_foot,left_foot_toe,5834
209,8.666667,-0.509301,0.806343,6.571679,-0.739915,0.936972,6.480892,28.0,0,left_foot,left_foot_toe,5834
210,8.708333,-0.523461,0.753458,6.534274,-0.746163,0.941191,6.474727,29.7,0,left_foot,left_foot_toe,5821
211,8.750000,-0.536785,0.714775,6.496717,-0.825255,0.626676,6.520131,30.3,0,left_foot,left_foot_heel,3730
212,8.791667,-0.549801,0.709341,6.459075,-0.835322,0.632049,6.533496,30.5,0,left_foot,left_foot_heel,3730
213,8.833333,-0.557184,0.719371,6.421431,-0.764356,0.947835,6.457964,31.1,0,left_foot,left_foot_toe,5853
214,8.875000,-0.554393,0.716049,6.383922,-0.781031,0.939629,6.434082,32.2,0,left_foot,left_foot_toe,5770
215,8.916667,-0.565456,0.738996,6.346765,-0.782387,0.937134,6.439359,30.8,0,left_foot,left_foot_toe,5770
216,8.958333,-0.587624,0.789828,6.310291,-0.782298,0.933523,6.444465,27.7,0,left_foot,left_foot_toe,5770
217,9.000000,-0.599056,0.845718,6.274970,-0.781167,0.931263,6.443320,26.2,0,left_foot,left_foot_toe,5770
218,9.041667,-0.598297,0.842833,6.241414,-0.782289,0.929434,6.444170,28.7,0,left_foot,left_foot_toe,5770
219,9.083333,-0.603147,0.849140,6.210370,-0.780028,0.927514,6.443410,30.3,0,left_foot,left_foot_toe,5770
220,9.125000,-0.613208,0.825805,6.182672,-0.786006,0.927847,6.444219,33.0,0,left_foot,left_foot_toe,5769
221,9.166667,-0.625463,0.807102,6.159141,-0.784572,0.926865,6.448891,35.2,0,left_foot,left_foot_toe,5769
222,9.208333,-0.636062,0.805572,6.140080,-0.785780,0.926103,6.450118,36.5,0,left_foot,left_foot_toe,5769
223,9.250000,-0.646393,0.822522,6.125491,-0.938823,0.944905,6.297386,36.1,0,right_foot,right_foot_toe,8463
224,9.291667,-0.647348,0.822367,6.115204,-0.940685,0.938475,6.282701,35.7,0,right_foot,right_foot_toe,8463
