frame,time,proposal_score,anchor_score,floor_score,anchor_contact_state,human_contact_state,floor_contact_state,transition_contact_state,multi_contact_state,confidence_level,contact_part,contact_label,contact_side,anchor_type,min_object_boundary_gap_px,active_part_distance_px,contact_depth_offset_m,object_acceleration,support_surface_type,support_source,signed_support_gap_px,support_conf,active_object_point_id,active_object_u,active_object_v,state_active_part_u,state_active_part_v
76,2.500000,0.082246,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,463.538665,463.538665,30.078836,0.082246,floor,gvhmr_floor,-504.621344,0.750000,boundary_026,731.000,397.000,611.683,844.919
77,2.533333,0.101600,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,430.614339,430.614339,30.025350,0.101600,floor,gvhmr_floor,-487.275101,0.750000,boundary_028,740.000,427.000,619.717,840.474
78,2.566667,0.154237,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,394.515871,394.515871,29.798911,0.154237,floor,gvhmr_floor,-465.832730,0.750000,boundary_026,735.000,457.000,629.953,837.273
79,2.600000,0.624719,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,390.382699,390.382699,29.686597,0.624719,floor,gvhmr_floor,-450.823071,0.750000,boundary_026,735.000,457.000,638.642,835.304
80,2.633333,0.714127,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,347.812430,347.812430,29.914649,0.714127,floor,gvhmr_floor,-429.471310,0.750000,boundary_027,739.000,495.000,653.946,832.253
81,2.666667,0.233849,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,302.115418,302.115418,0.041857,0.233849,floor,gvhmr_floor,-402.825077,0.750000,boundary_027,738.000,533.000,673.914,828.240
82,2.700000,0.366946,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,244.106390,244.106390,29.915344,0.366946,floor,gvhmr_floor,-370.072714,0.750000,boundary_028,744.000,582.000,695.812,821.303
83,2.733333,0.983679,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,236.275506,236.275506,0.019233,0.983679,floor,gvhmr_floor,-347.146060,0.750000,boundary_028,744.000,582.000,708.973,815.665
84,2.766667,1.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,170.897102,170.897102,0.355920,1.000000,floor,gvhmr_floor,-316.397402,0.750000,boundary_026,739.000,630.000,730.993,800.709
85,2.800000,0.022477,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,104.457360,104.457360,2.080746,0.022477,floor,gvhmr_floor,-280.773341,0.750000,boundary_029,752.000,677.000,751.512,781.456
86,2.833333,1.000000,0.238777,0.000000,1,1,0,1,0,none,foot,left_foot,left,foot,31.039175,31.039175,0.564015,1.000000,floor,gvhmr_floor,-238.436499,0.750000,boundary_035,767.000,735.000,765.191,765.986
87,2.866667,1.000000,0.689335,0.000000,1,1,0,1,0,soft,foot,left_foot,left,foot,6.262189,6.262189,-1.860545,1.000000,floor,gvhmr_floor,-202.200709,0.750000,boundary_036,768.000,756.000,769.162,762.153
88,2.900000,0.762810,0.266775,0.000000,1,1,0,1,0,proposal,foot,left_foot,left,foot,41.627230,41.627230,7.542696,0.051913,floor,gvhmr_floor,-184.635656,0.750000,boundary_033,761.000,731.000,765.481,772.385
89,2.933333,0.572107,0.181409,0.000000,1,1,0,1,0,none,foot,left_foot,left,foot,51.101554,51.101554,6.433900,0.000000,floor,gvhmr_floor,-172.340119,0.750000,boundary_032,755.000,732.000,758.426,782.987
90,2.966667,0.381405,0.114423,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,90.669921,90.669921,19.809847,0.064878,floor,gvhmr_floor,-169.778243,0.750000,boundary_029,755.000,710.000,745.210,800.140
91,3.000000,0.016357,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,142.773957,142.773957,0.355986,0.016357,floor,gvhmr_floor,-177.839930,0.750000,boundary_029,736.000,678.000,725.200,820.365
92,3.033333,0.365643,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,176.249255,176.249255,0.581684,0.365643,floor,gvhmr_floor,-186.783111,0.750000,boundary_029,745.000,667.000,706.065,838.895
93,3.066667,0.212353,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,196.118255,196.118255,28.632013,0.212353,floor,gvhmr_floor,-194.543338,0.750000,boundary_031,745.000,663.000,687.644,850.544
94,3.100000,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,202.273342,202.273342,28.650083,0.000000,floor,gvhmr_floor,-200.020496,0.750000,boundary_031,745.000,663.000,680.508,854.717
95,3.133333,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,211.370070,211.370070,28.658214,0.000000,floor,gvhmr_floor,-205.309507,0.750000,boundary_033,747.000,659.000,676.633,858.313
96,3.166667,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,210.981658,210.981658,-2.013974,0.000000,floor,gvhmr_floor,-207.811815,0.750000,boundary_029,738.000,659.000,676.388,860.785
97,3.200000,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,204.823483,204.823483,-1.445097,0.000000,floor,gvhmr_floor,-208.108430,0.750000,boundary_029,732.000,665.000,677.370,862.404
98,3.233333,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,206.095029,206.095029,-0.929429,0.000000,floor,gvhmr_floor,-208.316061,0.750000,boundary_030,738.000,667.000,674.565,863.090
99,3.266667,0.590888,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,199.208600,199.208600,-0.167794,0.590888,floor,gvhmr_floor,-206.316403,0.750000,boundary_026,726.000,671.000,674.862,863.533
100,3.300000,0.495404,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,179.309179,179.309179,6.101841,0.495404,floor,gvhmr_floor,-199.516642,0.750000,boundary_026,730.000,691.000,676.955,862.283
101,3.333333,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,right_foot,right,foot,131.136018,131.136018,28.923151,0.000000,floor,gvhmr_floor,-185.756809,0.750000,boundary_025,722.000,719.000,656.208,832.438
102,3.366667,0.290704,0.000038,0.000000,0,0,0,0,0,none,foot,right_foot,right,foot,78.820687,78.820687,6.249532,0.290704,floor,gvhmr_floor,-168.069926,0.750000,boundary_022,716.000,743.000,694.789,818.913
103,3.400000,1.000000,0.263073,0.000000,1,1,0,1,0,proposal,foot,right_foot,right,foot,27.261030,27.261030,-1.876007,1.000000,floor,gvhmr_floor,-146.944108,0.750000,boundary_029,722.000,776.000,716.254,802.649
104,3.433333,1.000000,0.325066,0.000000,1,1,0,1,0,proposal,foot,right_foot,right,foot,26.081996,26.081996,-1.881291,1.000000,floor,gvhmr_floor,-132.456036,0.750000,boundary_026,726.000,777.000,718.514,801.985
105,3.466667,0.589165,0.177018,0.000000,0,0,0,0,0,none,foot,right_foot,right,foot,70.297954,70.297954,6.128179,0.222533,floor,gvhmr_floor,-131.914385,0.750000,boundary_028,728.000,744.000,711.702,812.383
106,3.500000,0.441874,0.132562,0.000000,0,0,0,0,0,none,foot,right_foot,right,foot,116.504892,116.504892,26.799161,0.000000,floor,gvhmr_floor,-138.735229,0.750000,boundary_026,731.000,718.000,695.313,828.905
107,3.533333,0.406979,0.088375,0.000000,0,0,0,0,0,none,foot,right_foot,right,foot,160.948711,160.948711,29.674421,0.406979,floor,gvhmr_floor,-151.354821,0.750000,boundary_028,724.000,695.000,669.831,846.559
108,3.566667,0.280707,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,192.729213,192.729213,29.799957,0.280707,floor,gvhmr_floor,-167.643534,0.750000,boundary_026,714.000,670.000,676.078,858.961
109,3.600000,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,191.979554,191.979554,30.494171,0.000000,floor,gvhmr_floor,-178.745634,0.750000,boundary_026,715.000,671.000,676.014,858.979
110,3.633333,0.118693,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,205.499806,205.499806,30.168844,0.118693,floor,gvhmr_floor,-190.117104,0.750000,boundary_025,717.000,660.000,674.137,860.980
111,3.666667,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,215.240502,215.240502,-0.960427,0.000000,floor,gvhmr_floor,-200.177133,0.750000,boundary_029,715.000,651.000,670.779,861.649
112,3.700000,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,217.879183,217.879183,-1.001949,0.000000,floor,gvhmr_floor,-208.119153,0.750000,boundary_025,709.000,647.000,670.453,861.442
113,3.733333,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,217.704268,217.704268,-0.925954,0.000000,floor,gvhmr_floor,-213.723567,0.750000,boundary_026,712.000,647.000,671.053,860.819
114,3.766667,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,214.126757,214.126757,-0.812673,0.000000,floor,gvhmr_floor,-217.001657,0.750000,boundary_028,710.000,649.000,672.229,859.769
