frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
59,2.416667,0.533244,-0.018012,5.283777,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,788.213,354.994,127.922,788.213,354.994,69.487,424.480,627.159,0.000498,0,0,0
60,2.458333,0.529055,-0.017882,5.281397,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,787.115,355.027,128.229,787.115,355.028,69.518,424.545,627.159,0.000524,0,0,0
61,2.500000,0.522124,-0.008039,5.279017,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,785.253,357.764,127.670,785.253,357.764,69.549,427.313,627.159,0.000433,0,0,0
62,2.541667,0.515715,-0.006808,5.276637,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,783.535,358.105,127.909,783.535,358.105,69.581,427.686,627.159,0.000195,0,0,0
63,2.583333,0.507815,-0.002855,5.274256,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,781.400,359.205,127.988,781.400,359.205,69.612,428.817,627.159,0.000095,0,0,0
64,2.625000,0.495194,0.001623,5.271876,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,777.948,360.452,128.296,777.948,360.452,69.643,430.095,627.159,0.000030,0,0,0
65,2.666667,0.481070,0.005967,5.269496,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,774.074,361.663,128.425,774.074,361.663,69.675,431.338,627.159,0.000034,0,0,0
66,2.708333,0.466540,0.009583,5.267116,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,770.083,362.672,127.694,770.083,362.672,69.706,432.378,627.159,0.000148,0,0,0
67,2.750000,0.453420,0.009644,5.264736,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,766.482,362.690,128.142,766.482,362.690,69.738,432.428,627.159,0.000159,0,0,0
68,2.791667,0.439362,0.012767,5.262356,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,762.616,363.563,128.336,762.616,363.563,69.769,433.332,627.159,0.000092,0,0,0
69,2.833333,0.422634,0.014463,5.259976,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,758.001,364.038,128.383,758.001,364.038,69.801,433.839,627.159,0.000060,0,0,0
70,2.875000,0.404364,0.015992,5.257596,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,752.951,364.467,128.067,752.951,364.467,69.833,434.299,627.159,0.000116,0,0,0
71,2.916667,0.387814,0.015008,5.255216,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,748.377,364.194,128.255,748.377,364.194,69.864,434.058,627.159,0.000238,0,0,0
72,2.958333,0.370355,0.014712,5.252836,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,743.546,364.113,128.139,743.545,364.113,69.896,434.009,627.159,0.000855,0,0,0
73,3.000000,0.332801,0.019699,5.250456,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,733.087,365.510,127.587,733.088,365.510,69.927,435.437,627.159,0.000794,0,0,0
74,3.041667,0.314769,0.024006,5.248076,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,728.084,366.718,127.428,728.084,366.718,69.959,436.677,627.159,0.000179,0,0,0
75,3.083333,0.300438,0.024836,5.245696,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,724.112,366.953,127.599,724.112,366.953,69.991,436.944,627.159,0.000126,0,0,0
76,3.125000,0.284379,0.026402,5.243315,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,719.652,367.395,127.186,719.652,367.395,70.023,437.418,627.159,0.000055,0,0,0
77,3.166667,0.269469,0.030016,5.240935,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,715.510,368.411,127.303,715.510,368.411,70.055,438.466,627.159,0.000040,0,0,0
78,3.208333,0.255617,0.034572,5.238555,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,711.661,369.692,127.452,711.661,369.692,70.086,439.778,627.159,0.000063,0,0,0
79,3.250000,0.240034,0.038264,5.236175,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,707.323,370.732,127.288,707.323,370.732,70.118,440.850,627.159,0.000021,0,0,0
80,3.291667,0.223678,0.041608,5.233795,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,702.764,371.675,127.348,702.764,371.675,70.150,441.825,627.159,0.000096,0,0,0
81,3.333333,0.207728,0.046600,5.231415,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,698.315,373.082,127.439,698.315,373.082,70.182,443.264,627.159,0.000102,0,0,0
82,3.375000,0.190984,0.048933,5.229035,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,693.639,373.743,126.992,693.639,373.743,70.214,443.957,627.159,0.000075,0,0,0
83,3.416667,0.175352,0.050764,5.226655,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,689.271,374.264,127.513,689.271,374.264,70.246,444.510,627.159,0.000040,0,0,0
84,3.458333,0.157610,0.052976,5.224275,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,684.306,374.892,127.958,684.306,374.892,70.278,445.170,627.159,0.000116,0,0,0
85,3.500000,0.137346,0.056830,5.221895,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,678.627,375.983,127.748,678.627,375.983,70.310,446.293,627.159,0.000212,0,0,0
86,3.541667,0.119146,0.057143,5.219515,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,673.524,376.078,128.362,673.524,376.078,70.342,446.420,627.159,0.000170,0,0,0
87,3.583333,0.097543,0.059720,5.217135,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,667.458,376.811,127.953,667.458,376.811,70.374,447.185,627.159,0.000067,0,0,0
88,3.625000,0.076375,0.062803,5.214754,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,661.509,377.687,128.408,661.509,377.687,70.406,448.093,627.159,0.000135,0,0,0
89,3.666667,0.056361,0.061075,5.212374,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,655.880,377.208,128.866,655.880,377.208,70.438,447.646,627.159,0.000010,0,0,0
90,3.708333,0.036405,0.058539,5.209994,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,650.262,376.501,128.922,650.262,376.501,70.471,446.972,627.159,0.000095,0,0,0
91,3.750000,0.014943,0.058679,5.207614,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,644.214,376.548,129.231,644.214,376.548,70.503,447.051,627.159,0.000044,0,0,0
92,3.791667,-0.005859,0.059431,5.205234,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,638.347,376.768,129.206,638.347,376.768,70.535,447.303,627.159,0.000075,0,0,0
93,3.833333,-0.026935,0.059203,5.202854,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,632.397,376.711,129.372,632.397,376.711,70.567,447.278,627.159,0.000109,0,0,0
94,3.875000,-0.048640,0.061689,5.200474,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,626.264,377.421,129.917,626.264,377.421,70.600,448.021,627.159,0.000066,0,0,0
95,3.916667,-0.069434,0.063119,5.198094,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,620.383,377.833,129.539,620.383,377.833,70.632,448.465,627.159,0.000031,0,0,0
96,3.958333,-0.089596,0.064028,5.195714,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,614.675,378.098,130.674,614.675,378.098,70.664,448.762,627.159,0.000042,0,0,0
97,4.000000,-0.108580,0.066969,5.193334,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,609.295,378.938,131.242,609.295,378.938,70.697,449.635,627.159,0.000025,0,0,0
98,4.041667,-0.127190,0.071873,5.190954,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,604.016,380.334,131.540,604.016,380.334,70.729,451.063,627.159,0.000031,0,0,0
99,4.083333,-0.146029,0.076923,5.188574,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,598.667,381.773,131.671,598.667,381.773,70.761,452.534,627.159,0.000123,0,0,0
100,4.125000,-0.164523,0.078460,5.186193,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,593.411,382.218,133.577,593.411,382.218,70.794,453.012,627.159,0.000084,0,0,0
101,4.166667,-0.181828,0.081544,5.183813,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,588.487,383.102,134.786,588.487,383.102,70.826,453.928,627.159,0.000240,0,0,0
102,4.208333,-0.200243,0.086202,5.181433,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,583.244,384.432,135.847,583.244,384.433,70.859,455.292,627.159,0.000712,0,0,0
103,4.250000,-0.224190,0.109338,5.179053,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,576.427,391.005,128.838,576.427,391.004,70.892,461.896,627.159,0.000539,0,0,0
104,4.291667,-0.243778,0.119468,5.176673,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,570.841,393.893,127.004,570.841,393.893,70.924,464.817,627.159,0.000237,0,0,0
105,4.333333,-0.260490,0.121615,5.174293,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,566.066,394.517,129.570,566.066,394.518,70.957,465.474,627.159,0.000554,0,0,0
106,4.375000,-0.278401,0.137393,5.171913,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,560.946,399.014,126.891,560.946,399.014,70.989,470.003,627.159,0.000300,0,0,0
107,4.416667,-0.297200,0.149359,5.169533,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,555.569,402.431,126.384,555.569,402.431,71.022,473.453,627.159,0.000085,0,0,0
108,4.458333,-0.315478,0.161368,5.167153,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,550.335,405.864,125.442,550.335,405.864,71.055,476.919,627.159,0.000176,0,0,0
109,4.500000,-0.331341,0.171276,5.164773,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,545.783,408.702,125.580,545.783,408.702,71.088,479.790,627.159,0.000306,0,0,0
110,4.541667,-0.347791,0.188465,5.162393,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,541.060,413.615,125.987,541.060,413.615,71.120,484.735,627.159,0.000282,0,0,0
111,4.583333,-0.365957,0.200613,5.160013,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,535.844,417.097,125.526,535.844,417.097,71.153,488.250,627.159,0.000139,0,0,0
112,4.625000,-0.382624,0.215011,5.157633,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,531.050,421.223,125.560,531.050,421.223,71.186,492.409,627.159,0.000012,0,0,0
113,4.666667,-0.398332,0.229823,5.155252,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,526.525,425.471,125.809,526.525,425.471,71.219,496.690,627.159,0.000065,0,0,0
114,4.708333,-0.414313,0.242755,5.152872,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,521.918,429.187,127.044,521.918,429.187,71.252,500.439,627.159,0.000028,0,0,0
115,4.750000,-0.430293,0.255897,5.150492,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,517.307,432.966,127.144,517.307,432.966,71.285,504.251,627.159,0.000168,0,0,0
116,4.791667,-0.447757,0.272306,5.148112,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,512.268,437.681,126.178,512.268,437.681,71.318,508.998,627.159,0.000143,0,0,0
117,4.833333,-0.464603,0.283634,5.145732,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,507.401,440.950,126.528,507.401,440.950,71.351,512.301,627.159,0.000149,0,0,0
118,4.875000,-0.478079,0.291695,5.143352,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,503.492,443.289,127.501,503.492,443.289,71.384,514.673,627.159,0.000187,0,0,0
119,4.916667,-0.494940,0.303101,5.140972,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,498.612,446.586,129.712,498.612,446.586,71.417,518.003,627.159,0.000045,0,0,0
120,4.958333,-0.511468,0.316177,5.138592,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,493.823,450.363,127.590,493.823,450.363,71.450,521.813,627.159,0.000031,0,0,0
121,5.000000,-0.527053,0.330072,5.136212,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,489.299,454.378,128.915,489.299,454.378,71.483,525.861,627.159,0.000074,0,0,0
122,5.041667,-0.541816,0.341829,5.133832,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,485.006,457.785,128.950,485.006,457.785,71.516,529.301,627.159,0.000059,0,0,0
123,5.083333,-0.555883,0.353756,5.131452,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,480.908,461.244,129.853,480.908,461.244,71.549,532.793,627.159,0.000074,0,0,0
124,5.125000,-0.568101,0.364112,5.129072,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,477.336,464.256,129.715,477.336,464.256,71.582,535.838,627.159,0.000073,0,0,0
125,5.166667,-0.579835,0.375773,5.126691,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,473.899,467.645,130.188,473.899,467.645,71.616,539.261,627.159,0.000046,0,0,0
126,5.208333,-0.590644,0.386712,5.124311,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,470.724,470.830,131.376,470.724,470.830,71.649,542.479,627.159,0.000090,0,0,0
127,5.250000,-0.601275,0.397961,5.121931,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,467.597,474.107,130.723,467.597,474.107,71.682,545.789,627.159,0.000161,0,0,0
128,5.291667,-0.607310,0.406673,5.119551,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,465.786,476.659,131.607,465.786,476.659,71.716,548.374,627.159,0.000124,0,0,0
129,5.333333,-0.614637,0.415147,5.117171,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,463.602,479.145,132.653,463.602,479.145,71.749,550.894,627.159,0.000174,0,0,0
130,5.375000,-0.620530,0.427995,5.114791,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,461.828,482.890,132.080,461.828,482.890,71.782,554.672,627.159,0.000125,0,0,0
131,5.416667,-0.625539,0.437815,5.112411,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,460.306,485.768,132.785,460.306,485.768,71.816,557.584,627.159,0.000084,0,0,0
132,5.458333,-0.627997,0.445917,5.110031,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,459.516,488.155,131.856,459.516,488.155,71.849,560.004,627.159,0.000118,0,0,0
133,5.500000,-0.632250,0.453572,5.107651,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,458.209,490.416,132.203,458.209,490.416,71.883,562.298,627.159,0.000194,0,0,0
134,5.541667,-0.636158,0.456602,5.105271,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,457.000,491.348,132.026,457.000,491.348,71.916,563.264,627.159,0.000255,0,0,0
135,5.583333,-0.638624,0.464710,5.102891,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,456.205,493.743,132.407,456.205,493.743,71.950,565.692,627.159,0.000161,0,0,0
136,5.625000,-0.640639,0.469346,5.100511,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,455.539,495.140,132.603,455.539,495.140,71.983,567.123,627.159,0.000054,0,0,0
