frame,time,m17_phase_rad,m17_phase_deg,m14_phase_rad,m14_phase_deg,is_error_frame,phase_correction_rad,phase_correction_deg,vlm_visibility,handle_z_sin_m14,handle_z_sin_m17,mug_yaw_deg
137,5.666667,-0.396996,-22.7462,-0.398872,-22.8537,0,0.001876,0.1075,visible,-0.355918,-0.354164,2.0040
138,5.708333,-0.408410,-23.4002,-0.410170,-23.5010,0,0.001760,0.1008,visible,-0.366521,-0.364884,1.9998
139,5.750000,-0.418121,-23.9565,-0.419999,-24.0642,0,0.001878,0.1076,visible,-0.375724,-0.373983,1.9951
140,5.791667,-0.426145,-24.4163,-0.428056,-24.5258,0,0.001911,0.1095,visible,-0.383284,-0.381518,1.9885
141,5.833333,-0.432327,-24.7705,-0.434506,-24.8953,0,0.002178,0.1248,visible,-0.389392,-0.387384,1.9787
142,5.875000,-0.436336,-25.0002,-0.439455,-25.1789,0,0.003119,0.1787,visible,-0.394163,-0.391295,1.9651
143,5.916667,-0.437745,-25.0809,-0.441323,-25.2860,0,0.003578,0.2050,visible,-0.396155,-0.392867,1.9479
144,5.958333,-0.436257,-24.9957,-0.439786,-25.1979,0,0.003528,0.2022,visible,-0.395079,-0.391835,1.9270
145,6.000000,-0.431916,-24.7470,-0.434888,-24.9173,0,0.002972,0.1703,visible,-0.390974,-0.388237,1.9022
146,6.041667,-0.425168,-24.3603,-0.427183,-24.4758,0,0.002015,0.1155,visible,-0.384325,-0.382464,1.8739
147,6.083333,-0.416827,-23.8825,-0.417567,-23.9248,0,0.000739,0.0424,visible,-0.375937,-0.375252,1.8426
148,6.125000,-0.407987,-23.3759,-0.407025,-23.3208,0,-0.000962,-0.0551,visible,-0.366689,-0.367584,1.8092
149,6.166667,-0.399811,-22.9075,-0.397542,-22.7775,0,-0.002270,-0.1300,visible,-0.358369,-0.360487,1.7774
150,6.208333,-0.393225,-22.5302,-0.390461,-22.3718,0,-0.002764,-0.1584,visible,-0.352235,-0.354821,1.7477
151,6.250000,-0.388637,-22.2673,-0.386226,-22.1291,0,-0.002411,-0.1382,visible,-0.348728,-0.350987,1.7196
152,6.291667,-0.385852,-22.1077,-0.384355,-22.0219,0,-0.001496,-0.0857,visible,-0.347366,-0.348768,1.6957
153,6.333333,-0.384190,-22.0125,-0.384088,-22.0066,0,-0.000102,-0.0059,visible,-0.347425,-0.347521,1.6767
154,6.375000,-0.382778,-21.9315,-0.383717,-21.9854,0,0.000939,0.0538,visible,-0.347341,-0.346460,1.6606
155,6.416667,-0.380911,-21.8246,-0.382221,-21.8997,0,0.001311,0.0751,visible,-0.346151,-0.344921,1.6476
156,6.458333,-0.378338,-21.6772,-0.379026,-21.7166,0,0.000688,0.0394,visible,-0.343281,-0.342634,1.6397
157,6.500000,-0.375373,-21.5073,-0.375260,-21.5008,0,-0.000113,-0.0065,visible,-0.339739,-0.339845,1.6398
158,6.541667,-0.373035,-21.3733,-0.371603,-21.2913,0,-0.001431,-0.0820,visible,-0.336192,-0.337540,1.6463
159,6.583333,-0.373143,-21.3795,-0.367868,-21.0773,0,-0.005276,-0.3023,visible,-0.332556,-0.337527,1.6533
160,6.625000,-0.377225,-21.6134,-0.364212,-20.8678,0,-0.013012,-0.7456,visible,-0.329022,-0.341282,1.6584
