frame,window_start,window_end,time,contact_type,target,score,confidence_level,source_support,source_proximity,source_motion,source_audio,source_depth,occlusion_score
116,86,240,4.791667,anchor_contact_event,left_hand,0.793244,strong,0.000000,0.793244,1.000000,0.000000,0.000000,0.000000
117,86,240,4.833333,anchor_contact_event,left_hand,0.736528,strong,0.000000,0.736528,1.000000,0.000000,0.000000,0.000000
118,86,240,4.875000,anchor_contact_event,left_hand,0.723316,strong,0.000000,0.723316,0.993233,0.000000,0.000000,0.000000
119,86,240,4.916667,anchor_contact_event,left_hand,0.723557,strong,0.000000,0.723557,0.616566,0.000000,0.000000,0.000000
120,86,240,4.958333,anchor_contact_event,left_hand,0.696037,soft,0.000000,0.696037,0.538521,0.000000,0.000000,0.000000
121,86,240,5.000000,anchor_contact_event,left_hand,0.716931,strong,0.000000,0.716931,1.000000,0.000000,0.000000,0.000000
122,86,240,5.041667,anchor_contact_event,left_hand,0.699013,soft,0.000000,0.699013,0.610752,0.000000,0.000000,0.000000
123,86,240,5.083333,anchor_contact_event,left_hand,0.692644,soft,0.000000,0.692644,0.000000,0.000000,0.000000,0.000000
124,86,240,5.125000,anchor_contact_event,left_hand,0.696023,soft,0.000000,0.696023,0.261931,0.000000,0.000000,0.000000
125,86,240,5.166667,anchor_contact_event,left_hand,0.645237,soft,0.000000,0.645237,0.175011,0.000000,0.000000,0.000000
126,86,240,5.208333,anchor_contact_event,left_hand,0.658441,soft,0.000000,0.658441,0.000000,0.000000,0.000000,0.000000
127,86,240,5.250000,anchor_contact_event,left_hand,0.668019,soft,0.000000,0.668019,0.424754,0.000000,0.000000,0.000000
128,86,240,5.291667,anchor_contact_event,left_hand,0.581197,soft,0.000000,0.581197,0.019969,0.000000,0.000000,0.000000
129,86,240,5.333333,anchor_contact_event,left_hand,0.641489,soft,0.000000,0.641489,0.211379,0.000000,0.000000,0.000000
130,86,240,5.375000,anchor_contact_event,left_hand,0.644333,soft,0.000000,0.644333,0.223050,0.000000,0.000000,0.000000
131,86,240,5.416667,anchor_contact_event,left_hand,0.678382,soft,0.000000,0.678382,0.113213,0.000000,0.000000,0.000000
132,86,240,5.458333,anchor_contact_event,left_hand,0.581675,soft,0.000000,0.581675,0.335118,0.000000,0.000000,0.000000
133,86,240,5.500000,anchor_contact_event,left_hand,0.589297,soft,0.000000,0.589297,0.434182,0.000000,0.000000,0.000000
134,86,240,5.541667,anchor_contact_event,left_hand,0.618346,soft,0.000000,0.618346,0.093191,0.000000,0.000000,0.000000
135,86,240,5.583333,anchor_contact_event,left_hand,0.584577,soft,0.000000,0.584577,0.000000,0.000000,0.000000,0.000000
136,86,240,5.625000,anchor_contact_event,left_hand,0.585817,soft,0.000000,0.585817,0.000000,0.000000,0.000000,0.000000
137,86,240,5.666667,anchor_contact_event,left_hand,0.590022,soft,0.000000,0.590022,0.000000,0.000000,0.000000,0.000000
138,86,240,5.708333,anchor_contact_event,left_hand,0.573470,soft,0.000000,0.573470,0.000000,0.000000,0.000000,0.000000
139,86,240,5.750000,anchor_contact_event,left_hand,0.596037,soft,0.000000,0.596037,0.000000,0.000000,0.000000,0.000000
140,86,240,5.791667,anchor_contact_event,left_hand,0.598586,soft,0.000000,0.598586,0.092911,0.000000,0.000000,0.000000
141,86,240,5.833333,anchor_contact_event,left_hand,0.638328,soft,0.000000,0.638328,0.110269,0.000000,0.000000,0.000000
142,86,240,5.875000,anchor_contact_event,left_hand,0.660714,soft,0.000000,0.660714,0.090131,0.000000,0.000000,0.000000
143,86,240,5.916667,anchor_contact_event,left_hand,0.670888,soft,0.000000,0.670888,0.038753,0.000000,0.000000,0.000000
144,86,240,5.958333,anchor_contact_event,left_hand,0.668813,soft,0.000000,0.668813,0.000000,0.000000,0.000000,0.000000
145,86,240,6.000000,anchor_contact_event,left_hand,0.660876,soft,0.000000,0.660876,0.000000,0.000000,0.000000,0.000000
146,86,240,6.041667,anchor_contact_event,left_hand,0.668050,soft,0.000001,0.668050,0.000000,0.000000,0.000000,0.000000
