frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,contact_surface_gap_m,audio_score,audio_anchor_type
39,1.583333,-0.167648,0.047472,4.101764,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.975,376.997,,579.975,376.997,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.035320,4.135716,579.975,376.997,594.313,361.128,-0.131936,-0.131936,3.969828,3.673521,3.598418,3.673521,-0.165889,-0.004028,0.000000,
40,1.625000,0.005850,0.221006,4.285277,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,642.005,435.741,,642.005,435.741,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.023199,4.088703,642.005,435.741,639.063,392.218,0.027451,0.027451,4.312728,3.679543,3.538152,3.679543,0.224025,0.159171,0.000000,
41,1.666667,0.116942,0.430394,4.471162,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,678.411,501.368,,678.411,501.368,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.069713,4.047868,678.411,501.368,672.034,458.031,2.013942,0.000000,4.471162,3.685565,3.458085,3.685565,0.423293,0.439151,0.000000,
42,1.708333,0.255198,0.626202,4.630353,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,720.941,558.612,,720.941,558.612,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,1,0,1,floor,,floor,right_hand,0.107603,3.521943,720.941,558.612,676.140,565.825,0.146234,0.146234,4.776587,3.691587,3.444123,3.691587,1.254644,1.111207,0.000000,
43,1.750000,0.352922,0.526152,4.716041,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,749.902,523.847,,749.902,523.847,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,1,0,0,0,0,hand,left,left_hand,left_hand,0.112468,4.019808,749.902,523.847,732.851,482.755,1.595666,0.000000,4.716041,3.697608,3.349872,3.697608,0.696233,0.712200,0.975367,audio_floor_soft
44,1.791667,0.437822,0.378477,4.637550,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,778.648,479.855,,778.648,479.855,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.117544,4.010858,778.648,479.855,800.393,450.825,-0.069512,-0.069512,4.568038,3.703630,3.349244,3.703630,0.557180,0.602532,0.000000,
45,1.833333,0.491862,0.210258,4.492286,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,800.798,428.737,,800.798,428.737,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.112697,4.001258,800.798,428.737,828.054,410.594,-0.102140,-0.102140,4.390146,3.709652,3.349244,3.709652,0.388888,0.462151,0.000000,
46,1.875000,0.630884,0.099199,4.323224,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,854.312,393.698,,854.312,393.698,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.097829,3.988473,854.312,393.698,882.806,369.442,-0.090687,-0.090687,4.232537,3.715674,3.349244,3.715674,0.244064,0.440457,0.000000,
47,1.916667,0.685614,0.001122,4.160055,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,882.039,360.396,,882.039,360.396,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.075371,3.996560,882.039,360.396,910.834,334.994,-0.026575,-0.026575,4.133480,3.721696,3.396680,3.721696,0.136920,0.427534,0.000000,
48,1.958333,0.727690,-0.085264,4.019998,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,905.843,328.851,,905.843,328.851,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.047699,4.004603,905.843,328.851,934.063,299.795,0.001252,0.001252,4.021250,3.727718,3.396680,3.727718,0.016647,0.469736,0.000000,
