frame,time,m17_phase_rad,m17_phase_deg,m14_phase_rad,m14_phase_deg,is_error_frame,phase_correction_rad,phase_correction_deg,vlm_visibility,handle_z_sin_m14,handle_z_sin_m17,mug_yaw_deg,m43_phase_rad,m43_phase_deg,m43_source
75,3.083333,2.303834613,132.000000,2.538851,145.4655,0,0.122397,7.0128,hidden,0.617984,0.517374,-3.6346,2.303834613,132.000000,smooth_entry_physical_phase_no_hide
76,3.125000,2.288669551,131.131106,2.532275,145.0887,0,0.109948,6.2995,hidden,0.638191,0.549862,-4.7457,2.288669551,131.131106,smooth_entry_physical_phase_no_hide
77,3.166667,2.277016900,130.463458,2.527401,144.8094,0,0.095795,5.4886,hidden,0.640993,0.564640,-4.6754,2.277016900,130.463458,smooth_entry_physical_phase_no_hide
78,3.208333,2.267541728,129.920571,2.522729,144.5417,0,0.081441,4.6662,hidden,0.645168,0.580874,-4.7200,2.267541728,129.920571,smooth_entry_physical_phase_no_hide
79,3.250000,2.258909102,129.425958,2.515476,144.1262,0,0.069668,3.9917,hidden,0.668553,0.615164,-6.0817,2.258909102,129.425958,smooth_entry_physical_phase_no_hide
80,3.291667,2.249784091,128.903133,2.500690,143.2790,0,0.065429,3.7488,hidden,0.706644,0.658869,-8.2415,2.249784091,128.903133,smooth_entry_physical_phase_no_hide
81,3.333333,2.238831764,128.275611,2.472088,141.6402,0,0.075005,4.2975,hidden,0.735851,0.683040,-9.0193,2.238831764,128.275611,smooth_entry_physical_phase_no_hide
82,3.375000,2.224717188,127.466905,2.426116,139.0062,0,0.101951,5.8413,hidden,0.750565,0.679415,-7.6455,2.224717188,127.466905,smooth_entry_physical_phase_no_hide
83,3.416667,2.206105432,126.400530,2.366136,135.5696,0,0.142905,8.1878,hidden,0.724068,0.618457,-1.9610,2.206105432,126.400530,smooth_entry_physical_phase_no_hide
84,3.458333,2.181661565,125.000000,2.303825,131.9995,0,0.186197,10.6683,hidden,0.639349,0.485954,8.2573,2.181661565,125.000000,smooth_entry_physical_phase_no_hide
