frame,time,tx,ty,tz,yaw,pitch,roll,scale,radius_m
138,5.708333,-0.041064,-0.055478,3.958482,0.034902,-0.008627,0.000204,1.187828,0.05
139,5.750000,-0.041372,-0.055324,3.959866,0.034821,-0.010785,-0.000132,1.187525,0.05
140,5.791667,-0.041777,-0.055240,3.960674,0.034707,-0.012343,-0.000260,1.186518,0.05
141,5.833333,-0.042338,-0.055247,3.962275,0.034535,-0.013305,-0.000282,1.186329,0.05
142,5.875000,-0.042427,-0.055187,3.963723,0.034298,-0.013797,-0.000291,1.186124,0.05
143,5.916667,0.005594,0.015420,4.001687,0.033998,-0.013936,-0.000290,1.186185,0.05
144,5.958333,0.005402,0.015620,4.001687,0.033632,-0.013755,-0.000299,1.186139,0.05
145,6.000000,0.005248,0.015776,4.001687,0.033199,-0.013233,-0.000432,1.186232,0.05
146,6.041667,0.005128,0.015897,4.001687,0.032706,-0.012319,-0.000414,1.186328,0.05
147,6.083333,0.005036,0.015989,4.001687,0.032159,-0.010983,-0.000181,1.186697,0.05
148,6.125000,0.004962,0.016057,4.001687,0.031577,-0.009422,0.000010,1.189531,0.05
149,6.166667,0.004890,0.016102,4.001687,0.031022,-0.009108,0.000012,1.189541,0.05
150,6.208333,0.004812,0.016126,4.001687,0.030503,-0.009983,-0.000146,1.186539,0.05
151,6.250000,0.004721,0.016136,4.001687,0.030012,-0.010462,-0.000085,1.186249,0.05
152,6.291667,0.004623,0.016137,4.001687,0.029595,-0.010201,-0.000007,1.185849,0.05
153,6.333333,0.004522,0.016133,4.001687,0.029265,-0.009087,0.000472,1.186841,0.05
154,6.375000,0.004426,0.016133,4.001687,0.028983,-0.007019,0.000429,1.188903,0.05
155,6.416667,0.004341,0.016141,4.001687,0.028756,-0.004061,0.000020,1.217441,0.05
156,6.458333,0.004263,0.016156,4.001687,0.028619,-0.001533,0.000061,1.219558,0.05
157,6.500000,0.004180,0.016174,4.001687,0.028621,0.000678,0.000129,1.219321,0.05
158,6.541667,0.004087,0.016193,4.001687,0.028733,0.002726,0.000162,1.219576,0.05
159,6.583333,0.003980,0.016211,4.001687,0.028855,0.004543,0.000201,1.220218,0.05
160,6.625000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
161,6.666667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
162,6.708333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
163,6.750000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
164,6.791667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
165,6.833333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
166,6.875000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
167,6.916667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
168,6.958333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
169,7.000000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
170,7.041667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
171,7.083333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
172,7.125000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
173,7.166667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
174,7.208333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
175,7.250000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
176,7.291667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
177,7.333333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
