frame,time,E_total,E_2d,E_depth,E_contact,E_support,E_smooth,E_reg
143,4.733333,0.137977,0.000000,0.047085,0.000000,0.000000,0.090892,
144,4.766667,0.096856,0.000000,0.078285,0.000000,0.000000,0.018571,
145,4.800000,0.330519,0.000000,0.224545,0.000000,0.000000,0.105974,
146,4.833333,0.451838,0.000000,0.267564,0.000000,0.000000,0.184274,
147,4.866667,0.223144,0.000000,0.200087,0.000000,0.000000,0.023057,
148,4.900000,0.192842,0.000000,0.078684,0.000000,0.000000,0.114158,
149,4.933333,0.124084,0.000000,0.026374,0.000000,0.000000,0.097710,
150,4.966667,0.043671,0.000000,0.016729,0.000000,0.000000,0.026942,
151,5.000000,0.092023,0.000000,0.071356,0.000000,0.000000,0.020667,
152,5.033333,0.110589,0.000000,0.096758,0.000000,0.000000,0.013831,
153,5.066667,0.201527,0.000000,0.146841,0.000000,0.000000,0.054686,
154,5.100000,0.211388,0.000000,0.178779,0.000000,0.000000,0.032609,
155,5.133333,0.144511,0.000000,0.131252,0.000000,0.000000,0.013259,
156,5.166667,0.209015,0.000000,0.190487,0.000000,0.000000,0.018528,
157,5.200000,0.158135,0.000000,0.152917,0.000000,0.000000,0.005218,
158,5.233333,0.229513,0.000000,0.212031,0.000000,0.000000,0.017482,
159,5.266667,0.216126,0.000000,0.199170,0.000000,0.000000,0.016956,
160,5.300000,0.218296,0.000000,0.174919,0.000000,0.000000,0.043377,
161,5.333333,0.166416,0.000000,0.151904,0.000000,0.000000,0.014512,
162,5.366667,0.121430,0.000000,0.106614,0.000000,0.000000,0.014816,
163,5.400000,0.234025,0.000000,0.166222,0.000000,0.000000,0.067803,
164,5.433333,0.238355,0.000000,0.146536,0.000000,0.000000,0.091819,
165,5.466667,0.188078,0.000000,0.172919,0.000000,0.000000,0.015159,
166,5.500000,0.475985,0.000000,0.301517,0.000000,0.000000,0.174468,
167,5.533333,0.287440,0.000000,0.263032,0.000000,0.000000,0.024408,
168,5.566667,0.381982,0.000000,0.300027,0.000000,0.000000,0.081955,
169,5.600000,0.360158,0.000000,0.289864,0.000000,0.000000,0.070294,
170,5.633333,0.282738,0.000000,0.274373,0.000000,0.000000,0.008365,
171,5.666667,0.398440,0.000000,0.380274,0.000000,0.000000,0.018166,
