frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,depth_conf,source
127,4.200000,-1.100131,0.690952,9.954758,1.000000,0.000000,0.000000,0.000000,0.189374,shared_fullimg_cam,716.550,692.902,41.907,0.308889,L0_backproject
128,4.233333,-1.163578,0.724420,10.476207,1.000000,0.000000,0.000000,0.000000,0.198785,shared_fullimg_cam,715.326,692.329,41.800,0.318218,L0_backproject
129,4.266667,-0.762696,0.396594,6.862682,1.000000,0.000000,0.000000,0.000000,0.126505,shared_fullimg_cam,715.176,667.306,40.608,0.097468,L0_backproject
130,4.300000,-0.773106,0.316358,6.977727,1.000000,0.000000,0.000000,0.000000,0.126960,shared_fullimg_cam,715.926,639.876,40.082,0.094680,L0_backproject
131,4.333333,-0.753592,0.243521,6.881244,1.000000,0.000000,0.000000,0.000000,0.126114,shared_fullimg_cam,718.751,617.959,40.373,0.079880,L0_backproject
132,4.366667,-0.725858,0.180437,6.717122,1.000000,0.000000,0.000000,0.000000,0.126981,shared_fullimg_cam,721.952,599.175,41.644,0.074539,L0_backproject
133,4.400000,-0.725356,0.154722,6.767516,1.000000,0.000000,0.000000,0.000000,0.125071,shared_fullimg_cam,723.888,590.364,40.712,0.079992,L0_backproject
134,4.433333,-0.720749,0.156284,6.778474,1.000000,0.000000,0.000000,0.000000,0.127144,shared_fullimg_cam,725.767,590.790,41.320,0.080299,L0_backproject
135,4.466667,-0.709374,0.155111,6.786818,1.000000,0.000000,0.000000,0.000000,0.126909,shared_fullimg_cam,729.747,590.347,41.193,0.082088,L0_backproject
136,4.500000,-0.696976,0.166661,6.782556,1.000000,0.000000,0.000000,0.000000,0.129631,shared_fullimg_cam,733.629,594.130,42.103,0.078359,L0_backproject
137,4.533333,-0.694876,0.201425,6.866184,1.000000,0.000000,0.000000,0.000000,0.132171,shared_fullimg_cam,737.060,604.624,42.405,0.077139,L0_backproject
138,4.566667,-0.679646,0.268225,6.911856,1.000000,0.000000,0.000000,0.000000,0.131353,shared_fullimg_cam,743.387,625.487,41.864,0.103572,L0_backproject
139,4.600000,-0.682997,0.267850,6.928471,1.000000,0.000000,0.000000,0.000000,0.131669,shared_fullimg_cam,742.841,625.163,41.864,0.102918,L0_backproject
140,4.633333,-0.708608,0.336857,7.259844,1.000000,0.000000,0.000000,0.000000,0.134782,shared_fullimg_cam,744.982,642.215,40.898,0.099689,L0_backproject
141,4.666667,-0.749439,0.450577,7.760531,1.000000,0.000000,0.000000,0.000000,0.141062,shared_fullimg_cam,747.264,667.901,40.042,0.117914,L0_backproject
142,4.700000,-0.834429,0.626964,8.711865,1.000000,0.000000,0.000000,0.000000,0.162938,shared_fullimg_cam,749.004,698.536,41.201,0.198907,L0_backproject
143,4.733333,-0.808417,0.612033,8.460626,1.000000,0.000000,0.000000,0.000000,0.157556,shared_fullimg_cam,749.511,699.356,41.023,0.198762,L0_backproject
144,4.766667,-0.679267,0.617659,7.191421,1.000000,0.000000,0.000000,0.000000,0.136274,shared_fullimg_cam,751.924,729.204,41.744,0.149896,L0_backproject
145,4.800000,-0.619779,0.665375,6.617658,1.000000,0.000000,0.000000,0.000000,0.125606,shared_fullimg_cam,753.686,761.492,41.812,0.180168,L0_backproject
146,4.833333,-0.607028,0.711272,6.527605,1.000000,0.000000,0.000000,0.000000,0.117093,shared_fullimg_cam,755.143,780.037,39.516,0.222684,L0_backproject
147,4.866667,-0.615795,0.628271,6.581150,1.000000,0.000000,0.000000,0.000000,0.120847,shared_fullimg_cam,753.875,750.301,40.451,0.141900,L0_backproject
148,4.900000,-0.643878,0.538985,6.869113,1.000000,0.000000,0.000000,0.000000,0.126237,shared_fullimg_cam,753.510,712.851,40.484,0.117124,L0_backproject
149,4.933333,-0.645466,0.537642,6.884426,1.000000,0.000000,0.000000,0.000000,0.126062,shared_fullimg_cam,753.461,712.037,40.338,0.114037,L0_backproject
150,4.966667,-0.725940,0.482734,7.691724,1.000000,0.000000,0.000000,0.000000,0.144166,shared_fullimg_cam,752.091,678.255,41.289,0.142001,L0_backproject
151,5.000000,-0.667588,0.359390,7.095057,1.000000,0.000000,0.000000,0.000000,0.128750,shared_fullimg_cam,752.724,651.585,39.975,0.103326,L0_backproject
152,5.033333,-0.653930,0.287308,7.033058,1.000000,0.000000,0.000000,0.000000,0.129777,shared_fullimg_cam,755.175,629.991,40.649,0.110288,L0_backproject
153,5.066667,-0.623841,0.219836,6.795550,1.000000,0.000000,0.000000,0.000000,0.132783,shared_fullimg_cam,757.770,611.264,43.044,0.090579,L0_backproject
154,5.100000,-0.617282,0.214749,6.706523,1.000000,0.000000,0.000000,0.000000,0.125858,shared_fullimg_cam,757.240,610.539,41.341,0.089604,L0_backproject
155,5.133333,-0.613613,0.177383,6.644639,1.000000,0.000000,0.000000,0.000000,0.131306,shared_fullimg_cam,756.568,598.808,43.532,0.084610,L0_backproject
