frame,time,pelvis_x,pelvis_y,pelvis_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,ball_x,ball_y,ball_z,left_wrist_ball_dist,right_wrist_ball_dist
70,2.875000,0.006852,-0.031318,4.060935,0.310775,0.085522,4.031401,-0.153564,0.042297,3.564828,-0.131374,0.587868,4.044790,0.669348,0.726982
71,2.916667,0.004209,-0.030533,4.057448,0.308799,0.085249,4.026555,-0.148333,0.053727,3.570321,-0.139593,0.583742,4.040542,0.670631,0.708591
72,2.958333,0.001633,-0.028803,4.049423,0.303775,0.084386,4.016588,-0.144260,0.092110,3.575673,-0.158310,0.543963,4.036294,0.652014,0.645399
73,3.000000,0.001078,-0.027126,4.044127,0.300228,0.081924,4.008388,-0.147225,0.153191,3.586855,-0.175778,0.459288,4.032046,0.607902,0.541023
74,3.041667,-0.000676,-0.026153,4.041861,0.296049,0.077744,4.003717,-0.164987,0.212897,3.609730,-0.197691,0.330059,4.027797,0.554997,0.435404
75,3.083333,-0.001128,-0.026121,4.048681,0.292954,0.072943,4.007482,-0.190524,0.248760,3.642768,-0.220947,0.153057,4.023549,0.520356,0.393800
76,3.125000,-0.000112,-0.025944,4.041325,0.291108,0.070194,3.996840,-0.219373,0.255475,3.649879,-0.251366,0.120000,4.019301,0.545218,0.394778
77,3.166667,0.001833,-0.027489,4.044904,0.291151,0.067930,3.996093,-0.250927,0.241226,3.656232,-0.286153,0.233726,4.014177,0.600912,0.359752
78,3.208333,0.003093,-0.026652,4.037069,0.291537,0.069267,3.983807,-0.277244,0.212930,3.643380,-0.311932,0.347720,4.009392,0.665106,0.391582
79,3.250000,0.004415,-0.028042,4.041495,0.295207,0.071717,3.983647,-0.298283,0.158798,3.639048,-0.328943,0.440258,4.004606,0.725138,0.462377
80,3.291667,0.002649,-0.028683,4.046469,0.297049,0.074763,3.983385,-0.309493,0.114195,3.646036,-0.345534,0.506908,3.999821,0.774553,0.529798
81,3.333333,0.001122,-0.028569,4.057427,0.300018,0.078208,3.990153,-0.314207,0.068718,3.659674,-0.367013,0.554510,3.995036,0.819645,0.592663
82,3.375000,-0.002488,-0.028679,4.061069,0.300103,0.079246,3.990862,-0.319290,0.050076,3.669753,-0.370016,0.574199,3.990251,0.833090,0.616439
83,3.416667,-0.006768,-0.028210,4.061352,0.299112,0.078137,3.989926,-0.321964,0.058132,3.677565,-0.373803,0.568666,3.985466,0.832738,0.598444
84,3.458333,-0.009135,-0.027173,4.060566,0.297740,0.075145,3.989650,-0.323728,0.096293,3.687893,-0.381693,0.527529,3.980681,0.816309,0.524451
85,3.500000,-0.011177,-0.025649,4.054739,0.293753,0.070461,3.984430,-0.329335,0.153195,3.698547,-0.399344,0.439801,3.975896,0.785409,0.404927
