frame,time,source,initializer_heading_rad,tx,ty,tz,qw,qx,qy,qz,generic_solve_attempt_id
100,4.125,generic_sequence_executor,-0.9893413328984431,-0.488211032,0.825139760,4.289997389,0.723402579,0.508519863,0.401008188,-0.239350560,generic-solve-93755e7aab23
101,4.166667,generic_sequence_executor,-0.9546276019195501,-0.487113547,0.824647519,4.278946183,0.733395944,0.504646122,0.393276212,-0.229774894,generic-solve-93755e7aab23
102,4.208333,generic_sequence_executor,-0.9546276019195501,-0.481053436,0.822848461,4.279993879,0.743430391,0.502568140,0.383091901,-0.219036786,generic-solve-93755e7aab23
103,4.25,generic_sequence_executor,-0.9199138709406576,-0.473607168,0.821097563,4.280552704,0.754076486,0.500644714,0.370950626,-0.207651527,generic-solve-93755e7aab23
104,4.291667,generic_sequence_executor,-0.885200139961765,-0.467217758,0.819975601,4.273257110,0.766389890,0.496134010,0.358086030,-0.195632247,generic-solve-93755e7aab23
105,4.333333,generic_sequence_executor,-0.8504864089828721,-0.462993663,0.818771210,4.262444972,0.779920395,0.487890608,0.346366957,-0.183621520,generic-solve-93755e7aab23
106,4.375,generic_sequence_executor,-0.8504864089828721,-0.457852862,0.818195181,4.242993560,0.792428439,0.477300940,0.338196725,-0.172811912,generic-solve-93755e7aab23
107,4.416667,generic_sequence_executor,-0.8504864089828721,-0.442861102,0.818483392,4.219365577,0.800447738,0.469009512,0.334825398,-0.164940743,generic-solve-93755e7aab23
108,4.458333,generic_sequence_executor,-0.885200139961765,-0.418465650,0.818022965,4.214665565,0.802011243,0.467948693,0.334208697,-0.161575160,generic-solve-93755e7aab23
109,4.5,generic_sequence_executor,-0.885200139961765,-0.396074585,0.817790056,4.220815428,0.799321363,0.473226926,0.333123450,-0.161772688,generic-solve-93755e7aab23
110,4.541667,generic_sequence_executor,-0.885200139961765,-0.377075414,0.819672845,4.211181981,0.796102670,0.480069213,0.330571838,-0.162715548,generic-solve-93755e7aab23
111,4.583333,generic_sequence_executor,-0.9199138709406576,-0.356593748,0.822348127,4.192025714,0.793586513,0.486638239,0.326706711,-0.163298488,generic-solve-93755e7aab23
112,4.625,generic_sequence_executor,-0.9199138709406576,-0.334541299,0.824485580,4.177932970,0.791102159,0.493492886,0.321874762,-0.164373914,generic-solve-93755e7aab23
113,4.666667,generic_sequence_executor,-0.9199138709406576,-0.310895018,0.826912445,4.163001698,0.787953482,0.500181788,0.318125246,-0.166564754,generic-solve-93755e7aab23
114,4.708333,generic_sequence_executor,-0.9199138709406576,-0.283682729,0.829678109,4.146530537,0.783013520,0.506643473,0.318149546,-0.170244194,generic-solve-93755e7aab23
115,4.75,generic_sequence_executor,-0.9199138709406576,-0.250192242,0.831296734,4.142894433,0.774928495,0.514295991,0.322498036,-0.176012722,generic-solve-93755e7aab23
116,4.791667,generic_sequence_executor,-0.9199138709406576,-0.213098003,0.832083944,4.151813188,0.764060607,0.523643480,0.328955629,-0.183839844,generic-solve-93755e7aab23
117,4.833333,generic_sequence_executor,-0.9199138709406576,-0.179189821,0.834198023,4.155683980,0.752100180,0.534282140,0.334165676,-0.192928004,generic-solve-93755e7aab23
118,4.875,generic_sequence_executor,-0.885200139961765,-0.146663115,0.837982682,4.150898198,0.739292675,0.547534647,0.335678649,-0.202415403,generic-solve-93755e7aab23
119,4.916667,generic_sequence_executor,-0.7810589470250866,-0.107004856,0.842451423,4.148530639,0.724198349,0.566121240,0.332223488,-0.211355261,generic-solve-93755e7aab23
120,4.958333,generic_sequence_executor,-0.6769177540884082,-0.057287733,0.847495115,4.160131322,0.705902298,0.591755311,0.322243452,-0.218372974,generic-solve-93755e7aab23
121,5.0,generic_sequence_executor,-0.5727765611517301,-0.001011079,0.853105933,4.192242166,0.685949366,0.623151349,0.303749276,-0.221115901,generic-solve-93755e7aab23
122,5.041667,generic_sequence_executor,-0.46863536821505214,0.055355872,0.857800036,4.234842617,0.669091116,0.655413167,0.275963317,-0.215858534,generic-solve-93755e7aab23
123,5.083333,generic_sequence_executor,-0.3644941752783737,0.104178392,0.859612944,4.271113539,0.660482375,0.683215617,0.239681725,-0.198826871,generic-solve-93755e7aab23
124,5.125,generic_sequence_executor,-0.26035298234169524,0.145226696,0.858947576,4.296317000,0.661073288,0.704484597,0.196014713,-0.168112439,generic-solve-93755e7aab23
125,5.166667,generic_sequence_executor,-0.15621178940501723,0.184342443,0.857867345,4.311743924,0.667318989,0.719777448,0.145199446,-0.124590982,generic-solve-93755e7aab23
126,5.208333,generic_sequence_executor,-0.052070596468339225,0.220506360,0.857498229,4.316309713,0.674485045,0.729676028,0.086322519,-0.072050269,generic-solve-93755e7aab23
127,5.25,generic_sequence_executor,0.052070596468339225,0.249888981,0.857742851,4.312555441,0.679026293,0.733677741,0.019715596,-0.015860671,generic-solve-93755e7aab23
