frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
51,2.083333,561.590,581.902,560.635,576.936,ref,531.841,610.575,human_nearest_mesh_topk,567.000,617.799,622.850,35.897,40.864,bottom_percentile_95,2.233528,2.250606,0.017078,1.000000,0.000000,0.292475,0.985762,0.985762,0.000000,41.695000,0.570000,5.000000,8.000000,right_foot,0.292475,497.104,647.552,3.975274,boundary_024,2.217414,2.233528,0.985762,5.050590,0.256844,0.938178
52,2.125000,564.316,540.207,565.411,543.400,ref,560.453,492.683,human_nearest_mesh_topk,572.000,584.012,579.850,43.805,40.612,bottom_percentile_95,2.235460,2.275139,0.039678,1.000000,0.000000,0.569540,0.727902,0.727902,1.000000,0.000000,1.137000,5.000000,8.000000,right_hand,0.569540,548.038,473.332,3.660060,boundary_003,2.237041,2.235460,0.727902,4.162133,0.000000,0.703634
53,2.166667,571.752,505.622,571.709,505.739,ref,561.099,469.396,human_nearest_mesh_topk,569.000,546.331,546.000,40.709,40.592,bottom_percentile_95,2.178247,2.151056,-0.027190,1.000000,0.000000,0.642980,0.037740,0.100000,1.000000,0.000000,0.570000,5.000000,8.000000,right_hand,0.642980,554.141,453.016,3.629781,boundary_005,2.131435,2.178247,0.037740,0.331171,0.000000,0.469089
54,2.208333,579.247,478.847,578.204,478.980,ref,566.501,437.711,human_nearest_mesh_topk,573.000,519.627,520.000,40.780,40.648,bottom_percentile_95,2.163541,2.220118,0.056577,1.000000,0.207707,0.745472,0.301466,0.301466,1.000000,0.000000,0.373000,5.000000,8.000000,right_hand,0.745472,559.246,428.756,3.595288,boundary_003,2.151509,2.163541,0.301466,0.372524,0.000000,0.000000
55,2.250000,582.655,459.220,583.857,458.709,ref,573.796,415.148,human_nearest_mesh_topk,581.000,499.713,500.000,40.493,41.004,bottom_percentile_95,2.185570,2.276017,0.090446,1.000000,0.638555,0.734285,0.742536,0.742536,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.734285,567.150,404.718,3.578041,boundary_001,2.203594,2.185570,0.742536,0.286657,0.000000,0.000000
56,2.291667,590.001,444.529,589.184,445.079,ref,580.318,400.478,human_nearest_mesh_topk,590.000,486.262,487.000,41.733,41.184,bottom_percentile_95,2.216040,2.307526,0.091486,1.000000,0.353742,0.730832,1.000000,1.000000,0.943388,2.335000,1.691000,5.000000,8.000000,right_hand,0.730832,575.207,388.044,3.565777,boundary_002,2.240970,2.216040,1.000000,0.737600,0.000000,0.000000
57,2.333333,595.282,438.518,595.884,438.089,ref,589.916,395.996,human_nearest_mesh_topk,593.000,478.886,478.850,40.368,40.797,bottom_percentile_95,2.252144,2.324396,0.072253,1.000000,0.966648,0.621598,0.580823,0.580823,0.797652,8.346000,0.448000,5.000000,8.000000,right_hand,0.621598,584.277,377.349,3.554059,boundary_004,2.281683,2.252144,0.580823,0.036276,0.000000,0.000000
58,2.375000,602.024,437.688,601.314,438.056,ref,598.318,393.407,human_nearest_mesh_topk,597.000,478.177,479.000,40.489,40.121,bottom_percentile_95,2.245016,2.300659,0.055643,1.000000,0.414295,0.691597,1.000000,1.000000,0.777529,9.176000,0.980000,5.000000,8.000000,right_hand,0.691597,594.432,379.452,3.539736,boundary_006,2.239184,2.245016,1.000000,0.823295,0.023222,0.000000
59,2.416667,606.735,446.864,607.692,447.140,ref,606.397,401.381,human_nearest_mesh_topk,606.000,486.659,485.850,39.795,39.519,bottom_percentile_95,2.240017,2.280173,0.040156,1.000000,0.136012,0.848326,1.000000,1.000000,1.000000,0.000000,0.578000,5.000000,8.000000,right_hand,0.848326,604.267,394.461,3.522427,boundary_003,2.235927,2.240017,1.000000,0.809438,0.215798,0.000000
60,2.458333,614.211,471.285,613.571,472.112,ref,612.518,427.674,human_nearest_mesh_topk,612.000,511.208,510.000,39.923,39.096,bottom_percentile_95,2.206671,2.203212,-0.003459,1.000000,0.000000,0.887720,0.000000,0.100000,1.000000,0.000000,0.849000,5.000000,8.000000,right_hand,0.887720,613.611,422.275,3.515331,boundary_058,2.179388,2.206671,0.000000,1.207924,0.319335,0.000000
