frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source
47,1.916667,-0.174214,0.194822,2.282251,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.895,485.366,527.895,485.366,522.473,522.473,527.895,485.366,522.473,2.282251,,0,0,translation3_from_stage1_observation_backproject_uvz
48,1.958333,-0.156878,0.265571,2.232656,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,536.808,534.688,536.808,534.688,569.268,569.268,536.808,534.688,569.268,2.232656,,0,0,translation3_from_stage1_observation_backproject_uvz
49,2.000000,-0.136143,0.347826,2.194656,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.897,592.756,548.897,592.756,628.131,628.131,548.897,592.756,628.131,2.194656,,0,0,translation3_from_stage1_observation_backproject_uvz
50,2.041667,-0.125891,0.394369,2.186547,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,555.445,624.880,555.445,624.880,659.836,659.836,555.445,624.880,659.836,2.186547,,0,0,translation3_from_stage1_observation_backproject_uvz
51,2.083333,-0.117179,0.331619,2.194739,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,561.590,581.902,561.590,581.902,617.338,617.338,561.590,581.902,617.338,2.194739,,0,0,translation3_from_stage1_observation_backproject_uvz
52,2.125000,-0.113414,0.270043,2.200730,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,564.316,540.207,564.316,540.207,575.927,575.927,564.316,540.207,575.927,2.200730,,0,0,translation3_from_stage1_observation_backproject_uvz
53,2.166667,-0.103076,0.219935,2.218059,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,571.752,505.622,571.752,505.622,542.225,542.225,571.752,505.622,542.225,2.218059,,0,0,translation3_from_stage1_observation_backproject_uvz
54,2.208333,-0.091427,0.178852,2.210090,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.247,478.847,579.247,478.847,515.945,515.945,579.247,478.847,515.945,2.210090,,0,0,translation3_from_stage1_observation_backproject_uvz
55,2.250000,-0.086433,0.149548,2.213538,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,582.655,459.220,582.655,459.220,496.631,496.631,582.655,459.220,496.631,2.213538,,0,0,translation3_from_stage1_observation_backproject_uvz
56,2.291667,-0.075340,0.127371,2.212944,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,590.001,444.529,590.001,444.529,482.231,482.231,590.001,444.529,482.231,2.212944,,0,0,translation3_from_stage1_observation_backproject_uvz
