frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame
57,2.333333,-0.130279,0.202141,4.033554,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,592.523,433.403,46.387,592.566,433.599,43.692,477.291,657.784,0.200754,0,0
58,2.375000,-0.111071,0.201736,4.041452,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,599.671,433.340,47.670,599.638,433.308,43.606,476.914,657.784,0.045900,0,0
59,2.416667,-0.093622,0.225088,4.049350,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,606.000,441.500,47.035,606.046,441.634,43.521,485.155,657.784,0.141631,0,0
60,2.458333,-0.077128,0.292757,4.057248,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,612.000,465.868,46.761,612.082,465.969,43.436,509.406,657.784,0.130486,0,0
61,2.500000,-0.064799,0.425018,4.065146,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,616.493,513.394,46.388,616.590,513.545,43.352,556.897,657.784,0.179723,0,0
62,2.541667,-0.050857,0.595316,4.073045,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,621.625,574.562,46.101,621.663,574.651,43.268,617.919,657.784,0.097028,0,0
63,2.583333,-0.048491,0.707622,4.080942,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,622.500,622.839,46.303,622.550,614.651,43.184,657.836,657.784,8.187852,1,1
64,2.625000,-0.060340,0.613074,4.072329,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,618.183,581.122,47.080,618.240,581.093,43.276,624.368,657.784,0.063809,0,0
65,2.666667,-0.076243,0.493613,4.067124,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,612.500,538.214,46.239,612.469,538.239,43.331,581.570,657.784,0.039976,0,0
66,2.708333,-0.092893,0.392528,4.061919,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,606.278,501.887,47.271,606.414,501.920,43.387,545.307,657.784,0.140238,0,0
67,2.750000,-0.107815,0.322511,4.056713,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,600.948,476.656,47.448,600.969,476.755,43.442,520.197,657.784,0.101132,0,0
68,2.791667,-0.122511,0.271578,4.051508,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,595.564,458.268,46.503,595.592,458.443,43.498,501.941,657.784,0.176755,0,0
69,2.833333,-0.134344,0.241904,4.046303,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,591.197,447.870,46.322,591.240,447.799,43.554,491.353,657.784,0.082787,0,0
70,2.875000,-0.144567,0.228706,4.041097,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,587.500,443.000,47.024,587.462,443.116,43.610,486.726,657.784,0.121810,0,0
71,2.916667,-0.149726,0.230252,4.035892,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,585.629,443.655,47.364,585.517,443.786,43.666,487.452,657.784,0.172149,0,0
72,2.958333,-0.161329,0.265257,4.030687,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,581.148,456.715,47.866,581.219,456.648,43.723,500.371,657.784,0.097589,0,0
73,3.000000,-0.171714,0.356244,4.025482,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,577.500,490.000,47.130,577.354,489.967,43.779,533.747,657.784,0.149708,0,0
74,3.041667,-0.201208,0.483007,4.020276,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,566.433,536.305,47.730,566.499,536.442,43.836,580.278,657.784,0.152121,0,0
75,3.083333,-0.223235,0.657448,4.015071,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,558.411,600.397,45.833,558.347,600.477,43.893,644.370,657.784,0.102408,0,0
76,3.125000,-0.250648,0.693048,4.009866,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.312,612.849,46.876,548.201,613.827,43.950,657.777,657.784,0.984697,1,1
77,3.166667,-0.286390,0.569890,4.007539,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.100,568.900,45.140,535.049,568.842,43.975,612.818,657.784,0.076854,0,0
78,3.208333,-0.310423,0.467317,4.003149,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.124,531.440,47.813,526.117,531.441,44.023,575.465,657.784,0.006695,0,0
79,3.250000,-0.336774,0.371891,3.998760,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,516.427,496.675,45.989,516.315,496.582,44.072,540.654,657.784,0.145634,0,0
80,3.291667,-0.353698,0.302986,3.994370,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.963,471.324,46.626,509.956,471.398,44.120,515.519,657.784,0.074801,0,0
81,3.333333,-0.370848,0.247807,3.989981,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,503.383,451.130,46.860,503.501,451.211,44.169,495.380,657.784,0.143099,0,0
82,3.375000,-0.377823,0.221976,3.985592,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,500.692,441.722,47.602,500.780,441.794,44.217,486.011,657.784,0.113642,0,0
83,3.416667,-0.384292,0.224492,3.981202,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,498.161,442.772,47.278,498.241,442.812,44.266,487.078,657.784,0.089102,0,0
84,3.458333,-0.393444,0.272904,3.976813,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,494.585,460.724,46.704,494.704,460.781,44.315,505.096,657.784,0.132228,0,0
85,3.500000,-0.393906,0.361938,3.972424,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,494.416,493.835,47.806,494.373,493.808,44.364,538.172,657.784,0.050668,0,0
86,3.541667,-0.391972,0.504250,3.968034,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,494.913,546.629,46.902,494.928,546.627,44.413,591.040,657.784,0.014677,0,0
87,3.583333,-0.386413,0.662943,3.963645,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,496.789,605.582,45.560,496.827,605.633,44.462,650.095,657.784,0.063285,0,0
88,3.625000,-0.387964,0.682640,3.959256,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,496.123,603.262,44.967,496.093,613.211,44.512,657.723,657.784,9.949254,1,1
89,3.666667,-0.399626,0.519695,3.949973,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,491.422,553.193,48.395,491.418,553.223,44.616,597.839,657.784,0.030560,0,0
90,3.708333,-0.405701,0.421264,3.951009,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,489.000,516.500,47.846,489.199,516.585,44.604,561.190,657.784,0.216936,0,0
91,3.750000,-0.400658,0.342483,3.952046,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,491.074,487.378,47.747,491.113,487.269,44.593,531.862,657.784,0.115888,0,0
92,3.791667,-0.408665,0.274290,3.953082,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,488.198,461.827,48.546,488.177,461.901,44.581,506.482,657.784,0.076831,0,0
93,3.833333,-0.399342,0.237499,3.954118,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,491.711,448.241,46.812,491.680,448.210,44.569,492.779,657.784,0.044121,0,0
94,3.875000,-0.391942,0.215748,3.955154,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,494.398,439.968,47.409,494.467,440.110,44.558,484.668,657.784,0.158024,0,0
95,3.916667,-0.382442,0.215861,3.956191,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,497.971,440.027,47.162,498.031,440.131,44.546,484.677,657.784,0.120445,0,0
96,3.958333,-0.377323,0.240287,3.957227,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,499.943,449.068,50.747,499.968,449.175,44.534,493.710,657.784,0.110101,0,0
97,4.000000,-0.352714,0.337493,3.958263,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.016,485.181,49.251,509.135,485.218,44.523,529.740,657.784,0.124817,0,0
98,4.041667,-0.316673,0.505484,3.959299,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.503,547.582,45.926,522.538,547.497,44.511,592.008,657.784,0.092117,0,0
99,4.083333,-0.286145,0.677456,3.960336,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.869,611.295,45.857,533.889,611.220,44.499,655.719,657.784,0.077702,0,0
100,4.125000,-0.266160,0.683133,3.961372,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,541.417,607.489,45.464,541.326,613.259,44.488,657.747,657.784,5.770543,1,1
101,4.166667,-0.259035,0.558488,3.959007,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,543.809,567.214,45.627,543.910,567.173,44.514,611.687,657.784,0.109391,0,0
102,4.208333,-0.257841,0.465825,3.966356,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,544.500,532.500,51.464,544.530,532.479,44.432,576.911,657.784,0.036974,0,0
103,4.250000,-0.249120,0.374811,3.973705,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,547.886,498.503,47.812,547.930,498.523,44.350,542.872,657.784,0.048172,0,0
104,4.291667,-0.225227,0.307794,3.981054,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,556.954,473.590,46.684,556.914,473.545,44.268,517.813,657.784,0.060126,0,0
105,4.333333,-0.210108,0.268247,3.988403,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,562.763,458.857,47.149,562.634,458.773,44.186,502.960,657.784,0.153384,0,0
106,4.375000,-0.195545,0.241028,3.995752,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,568.197,448.577,47.074,568.129,448.588,44.105,492.693,657.784,0.068693,0,0
107,4.416667,-0.180349,0.234719,4.003101,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,573.777,446.076,47.171,573.836,446.111,44.024,490.135,657.784,0.068371,0,0
108,4.458333,-0.166074,0.251484,4.010449,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.144,451.892,47.265,579.185,452.092,43.943,496.035,657.784,0.204035,0,0
109,4.500000,-0.147339,0.308670,4.017798,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,586.122,472.644,46.510,586.144,472.826,43.863,516.689,657.784,0.183739,0,0
110,4.541667,-0.138404,0.415781,4.025147,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,589.557,511.550,48.138,589.502,511.701,43.783,555.483,657.784,0.160218,0,0
111,4.583333,-0.126639,0.580148,4.032496,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,593.800,571.200,46.120,593.879,571.285,43.703,614.989,657.784,0.116451,0,0
112,4.625000,-0.112527,0.699313,4.039845,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,599.097,624.000,47.087,599.093,614.221,43.624,657.845,657.784,9.778651,1,1
113,4.666667,-0.126201,0.624468,4.033909,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,594.052,587.330,46.575,594.055,587.347,43.688,631.035,657.784,0.017163,0,0
114,4.708333,-0.131403,0.514483,4.033758,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,592.098,547.198,44.775,592.159,547.312,43.689,591.002,657.784,0.129430,0,0
115,4.750000,-0.149355,0.411847,4.033606,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,585.452,509.838,47.740,585.621,509.950,43.691,553.641,657.784,0.202876,0,0
116,4.791667,-0.154769,0.334524,4.033455,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,583.612,481.712,46.952,583.648,481.802,43.693,525.495,657.784,0.097046,0,0
