frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
160,5.300000,1.938444,3.647900,1.414577,0.905821,1538,0.619625,0.6389,0.0000,mask
161,5.333333,1.918526,3.623535,1.433996,0.872377,1705,0.606110,0.6287,0.0000,mask
162,5.366667,1.909910,3.609480,1.505802,0.733533,1612,0.631059,0.6529,0.0000,mask
163,5.400000,1.942146,3.655276,1.614209,0.520247,1879,0.698634,0.7288,0.0000,mask
164,5.433333,1.959637,3.681863,1.725433,0.300642,1904,0.709244,0.7473,0.0000,mask
165,5.466667,1.969566,3.700422,1.800688,0.153847,1477,0.711180,0.7322,0.0000,mask
166,5.500000,1.969589,3.705847,1.817607,0.125909,1360,0.712251,0.7303,0.0000,mask
167,5.533333,1.940987,3.663794,1.786050,0.197095,1505,0.695802,0.7128,0.0000,mask
168,5.566667,1.939727,3.673104,1.746124,0.286099,1442,0.657639,0.6769,0.0000,mask
169,5.600000,1.920885,3.649233,1.745830,0.295693,1452,0.682752,0.7025,0.0000,mask
170,5.633333,1.943914,3.694008,1.810507,0.174539,1643,0.683560,0.7117,0.0000,mask
171,5.666667,1.948731,3.704426,1.925969,-0.048771,1562,0.761410,0.7845,0.0000,mask
172,5.700000,1.952328,3.713590,2.048529,-0.285811,1206,0.779355,0.8671,0.0000,mask
173,5.733333,1.954991,3.724897,2.133314,-0.445713,1348,0.739083,0.8775,0.0000,mask
174,5.766667,1.920212,3.660001,2.159131,-0.485988,1286,0.712193,0.7803,0.0000,mask
175,5.800000,1.950808,3.738968,2.134369,-0.424777,1254,0.606268,0.7079,0.0000,mask
176,5.833333,1.922920,3.693206,2.084307,-0.314750,1238,0.568694,0.6581,0.0000,mask
177,5.866667,1.955606,3.770247,2.031984,-0.203513,1195,0.569431,0.6580,0.0000,mask
178,5.900000,1.931482,3.727568,1.985728,-0.107828,1140,0.397199,0.4435,0.0000,mask
179,5.933333,1.919526,3.708218,1.940517,-0.016656,1106,0.395700,0.4465,0.0000,mask
180,5.966667,1.944753,3.759498,1.891339,0.081313,1107,0.407885,0.4708,0.0000,mask
181,6.000000,1.938625,3.750467,1.846431,0.170930,1116,0.552658,0.6380,0.0000,mask
182,6.033333,1.938749,3.753560,1.824930,0.215479,1131,0.378230,0.4589,0.0000,mask
183,6.066667,1.987027,3.845934,1.839361,0.191075,1119,0.422809,0.5084,0.0000,mask
184,6.100000,1.954760,3.791446,1.883802,0.109065,1134,0.570870,0.6716,0.0000,mask
185,6.133333,1.936424,3.760172,1.940981,0.001609,1109,0.774281,0.8993,0.0000,mask
186,6.166667,1.937104,3.762173,1.995952,-0.104195,1103,0.795171,0.9016,0.0000,mask
187,6.200000,1.943078,3.771511,2.041143,-0.194589,1123,0.777115,0.9229,0.0000,mask
188,6.233333,1.922706,3.723971,2.074003,-0.263725,1135,0.783070,0.9058,0.0000,mask
189,6.266667,1.937963,3.749763,2.093482,-0.307327,1176,0.770604,0.8970,0.0000,mask
190,6.300000,1.931077,3.731252,2.097705,-0.319577,1197,0.754390,0.8913,0.0000,mask
191,6.333333,1.917639,3.701868,2.085505,-0.297377,1208,0.752408,0.8699,0.0000,mask
192,6.366667,1.897138,3.660637,2.060859,-0.249096,1236,0.737433,0.8791,0.0000,mask
