frame,time,anchor_type,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,anchor_score,floor_score,anchor_contact_state,floor_contact_state,transition_contact_state,multi_contact_state
162,5.366667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.256550019135112,3.328048028693132e-75,0,0,0,0
163,5.4,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.35495467913667444,2.946035725362432e-50,0,0,0,0
164,5.433333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.24776921739035165,3.65585382182216e-50,0,0,0,0
165,5.466667,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.28033897434975225,1.1862494529957763e-30,0,0,0,0
166,5.5,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.5813289259222838,3.4462131514194103e-12,1,0,0,0
167,5.533333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.2126667197572798,2.849397706427592e-22,0,0,0,0
168,5.566667,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.2708603789142684,1.5178465619220806e-40,0,0,0,0
169,5.6,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.26550628625438055,1.3675125050896691e-40,0,0,0,0
170,5.633333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.064272115256546,1.0380886935121022e-61,0,0,0,0
171,5.666667,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.04564531729620674,1.7709782553368313e-77,0,0,0,0
172,5.7,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.10219060897036596,8.626429811842422e-90,0,0,0,0
173,5.733333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.17702999508994294,1.2879414279705106e-89,0,0,0,0
174,5.766667,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.18916699962248204,4.6580478983313234e-95,0,0,0,0
175,5.8,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.2554868048119332,4.898622388690216e-97,0,0,0,0
176,5.833333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.3504154092543673,9.719684658959465e-92,0,0,0,0
177,5.866667,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.6229893939187724,2.0100065172212754e-90,1,0,0,0
178,5.9,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.34378679746392893,3.539801008148805e-138,0,0,0,0
179,5.933333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.3237809597753131,2.822427169535102e-138,0,0,0,0
180,5.966667,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.024443461099501917,3.9327543815759176e-194,0,0,0,0
181,6.0,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.07483921050957551,2.198896583249722e-256,0,0,0,0
182,6.033333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.021152454664049556,7.336131515206381e-308,0,0,0,0
183,6.066667,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.1739407029077389,0.0,0,0,0,0
184,6.1,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.1305339757420871,0.0,0,0,0,0
185,6.133333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.01781963766786799,0.0,0,0,0,0
186,6.166667,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.05274506655999581,0.0,0,0,0,0
187,6.2,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.06450180001799755,0.0,0,0,0,0
188,6.233333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.03337811745017666,0.0,0,0,0,0
189,6.266667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.034415996184806244,0.0,0,0,0,0
190,6.3,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.05113799737679236,0.0,0,0,0,0
191,6.333333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.12309501396961933,0.0,0,0,0,0
192,6.366667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.15429642582310268,0.0,0,0,0,0
193,6.4,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.24774963037701858,0.0,0,0,0,0
194,6.433333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.0055554456638009725,0.0,0,0,0,0
195,6.466667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.15355734222053186,0.0,0,0,0,0
196,6.5,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.1871067933879226,0.0,0,0,0,0
