frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
46,1.875000,hammer,610.184,133.373,tracking,1,610.184,133.373,,1,617.016,112.432,1530.0,600.000,81.000,640.000,159.000,40.000,78.000,38.720,79.935,35.406,0.512821,0.419178,0,,,,,,,,,,,,0.000000,0.419178,0.419178,,,,,,,,,,,,
47,1.916667,hammer,608.850,103.233,tracking,1,608.850,103.233,,1,614.737,81.409,1678.0,597.000,51.000,640.000,132.000,43.000,81.000,40.156,82.747,38.408,0.530864,0.419624,0,,,,,,,,,,,,0.000000,0.419624,0.419624,,,,,,,,,,,,
48,1.958333,hammer,605.741,77.280,tracking,1,605.741,77.280,,1,610.659,56.881,1657.0,592.000,25.000,637.000,109.000,45.000,84.000,41.958,85.704,40.320,0.535714,0.370727,0,,,,,,,,,,,,0.000000,0.370727,0.370727,,,,,,,,,,,,
49,2.000000,hammer,603.774,54.358,tracking,1,603.774,54.358,,1,607.754,33.197,1468.0,590.000,5.000,633.000,81.000,43.000,76.000,39.226,81.259,37.859,0.565789,0.379875,0,,,,,,,,,,,,0.000000,0.379875,0.379875,,,,,,,,,,,,
50,2.041667,hammer,598.452,54.524,tracking,1,598.452,54.524,,1,602.802,24.408,925.0,589.000,0.000,627.000,61.000,38.000,61.000,33.061,62.863,37.488,0.622951,0.339956,0,,,,,,,,,,,,0.000000,0.339956,0.339956,,,,,,,,,,,,
51,2.083333,hammer,594.793,55.986,tracking,1,594.793,55.986,,1,599.077,22.150,521.5,591.000,0.000,607.000,46.000,16.000,46.000,23.072,51.147,15.727,0.347826,0.486672,0,,,,,,,,,,,,0.000000,0.486672,0.486672,,,,,,,,,,,,
52,2.125000,hammer,594.096,51.306,tracking,1,594.096,51.306,,1,590.599,83.316,454.5,583.000,66.000,600.000,101.000,17.000,35.000,17.263,35.902,18.214,0.485714,0.704461,0,,,,,,,,,,,,0.000000,0.704461,0.704461,,,,,,,,,,,,
53,2.166667,hammer,593.339,49.100,tracking,1,593.339,49.100,,1,591.153,73.235,461.5,583.000,56.000,600.000,91.000,17.000,35.000,17.357,37.027,16.693,0.485714,0.689695,0,,,,,,,,,,,,0.000000,0.689695,0.689695,,,,,,,,,,,,
54,2.208333,hammer,593.034,48.207,tracking,1,593.034,48.207,,1,591.734,66.719,483.5,583.000,49.000,601.000,84.000,18.000,35.000,17.213,36.507,17.767,0.514286,0.722573,0,,,,,,,,,,,,0.000000,0.722573,0.722573,,,,,,,,,,,,
55,2.250000,hammer,593.650,45.830,tracking,1,593.650,45.830,,1,592.728,63.627,459.0,584.000,47.000,602.000,80.000,18.000,33.000,16.386,35.753,17.566,0.545455,0.740041,0,,,,,,,,,,,,0.000000,0.740041,0.740041,,,,,,,,,,,,
