frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
80,3.291667,-0.097294,-0.214623,3.628784,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,600.624,273.140,30.221,600.624,273.140,40.471,313.611,331.589,0.000036,0,0,0
81,3.333333,-0.103035,-0.209004,3.626556,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,598.275,275.362,30.017,598.275,275.362,40.496,315.858,331.589,0.000073,0,0,0
82,3.375000,-0.106726,-0.205810,3.624328,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,596.754,276.604,30.018,596.754,276.604,40.521,317.125,331.589,0.000137,0,0,0
83,3.416667,-0.112123,-0.200779,3.622099,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,594.539,278.593,30.208,594.539,278.593,40.546,319.139,331.589,0.000114,0,0,0
84,3.458333,-0.115266,-0.201192,3.619871,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,593.236,278.375,30.020,593.236,278.375,40.571,318.946,331.589,0.000021,0,0,0
85,3.500000,-0.116759,-0.203751,3.617643,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,592.601,277.286,30.104,592.601,277.286,40.596,317.882,331.589,0.000032,0,0,0
86,3.541667,-0.118669,-0.206651,3.615414,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,591.796,276.057,29.682,591.796,276.057,40.621,316.678,331.589,0.000018,0,0,0
87,3.583333,-0.120163,-0.209562,3.613186,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,591.159,274.822,29.841,591.159,274.822,40.646,315.468,331.589,0.000019,0,0,0
88,3.625000,-0.121579,-0.213623,3.610958,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,590.553,273.118,29.753,590.553,273.118,40.671,313.789,331.589,0.000013,0,0,0
89,3.666667,-0.121722,-0.218794,3.608730,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,590.464,270.960,29.627,590.464,270.960,40.696,311.656,331.589,0.000026,0,0,0
