frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,u_ref_proj,v_ref_proj,support_v_obs,support_proj_v,residual_px,proposal_score,anchor_score,floor_score,depth_prior_m,depth_prior_gap_m,contact_depth_offset_m,contact_frame,audio_contact_frame
79,3.250000,-0.282497,0.320867,3.439564,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,519.381,497.002,,519.381,497.002,,538.828,538.828,519.381,497.002,519.381,497.002,538.828,538.828,0.000090,0.585158,0.585158,0.000000,2.237222,1.202342,0.070002,1,1
80,3.291667,-0.298473,0.264625,3.460388,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,513.327,472.308,,513.327,472.308,,513.010,513.010,513.327,472.308,513.327,472.308,513.010,513.010,0.000225,0.520344,0.520344,0.000000,2.239660,1.220728,0.065615,1,1
81,3.333333,-0.319122,0.223799,3.473677,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,505.081,454.618,,505.081,454.618,,496.232,496.232,505.081,454.618,505.081,454.618,496.232,496.232,0.000387,0.496602,0.496602,0.000000,2.391449,1.082228,0.162779,1,1
82,3.375000,-0.323515,0.207423,3.492134,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,503.947,447.231,,503.947,447.231,,487.942,487.942,503.947,447.231,503.947,447.231,487.942,487.942,0.000237,0.491032,0.491032,0.000000,2.457830,1.034304,0.079798,1,1
83,3.416667,-0.328530,0.212746,3.507371,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,502.438,449.081,,502.438,449.081,,490.418,490.418,502.438,449.081,502.438,449.081,490.418,490.418,0.000026,0.534914,0.534914,0.000000,2.484929,1.022442,0.047972,1,1
84,3.458333,-0.336455,0.248525,3.513082,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,499.349,463.893,,499.349,463.893,,506.284,506.284,499.349,463.893,499.349,463.893,506.284,506.284,0.000289,0.541427,0.541427,0.000000,2.439251,1.073831,-0.020210,1,1
85,3.500000,-0.351629,0.324341,3.500019,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,492.456,496.093,,492.457,496.093,,539.256,539.256,492.456,496.093,492.457,496.093,539.256,539.256,0.000673,0.495381,0.495381,0.000000,2.383256,1.116763,-0.003442,1,1
86,3.541667,-0.341126,0.443748,3.491199,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,496.503,546.665,,496.502,546.666,,591.179,591.178,496.503,546.665,496.502,546.666,591.178,591.179,0.001572,0.416133,0.204187,0.457930,2.378009,1.113190,0.028685,0,1
87,3.583333,-0.350033,0.594385,3.503200,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,493.254,609.215,,493.260,609.177,,636.652,636.690,493.254,609.215,493.260,609.177,636.690,636.652,0.038325,1.000000,0.187273,1.000000,2.328087,1.175113,0.037820,0,1
88,3.625000,-0.349972,0.584561,3.516009,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,493.822,604.176,,493.820,604.166,,638.667,638.677,493.822,604.176,493.820,604.166,638.677,638.667,0.010524,1.000000,0.249706,1.000000,2.306876,1.209133,0.069121,0,1
89,3.666667,-0.350881,0.470696,3.527800,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,493.930,555.947,,493.930,555.948,,600.664,600.663,493.930,555.947,493.930,555.948,600.663,600.664,0.001206,0.624199,0.325051,0.603810,2.233782,1.294018,0.001846,0,1
90,3.708333,-0.349389,0.376590,3.534817,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,494.840,516.461,,494.840,516.461,,559.728,559.728,494.840,516.461,494.840,516.461,559.728,559.728,0.000114,0.562871,0.562871,0.000000,2.219339,1.315478,0.011691,1,1
91,3.750000,-0.342449,0.304655,3.519203,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,497.092,487.136,,497.092,487.136,,530.252,530.252,497.092,487.136,497.092,487.136,530.252,530.252,0.000146,0.548325,0.548325,0.000000,2.316838,1.202365,0.090715,1,1
92,3.791667,-0.340550,0.251269,3.514689,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,497.702,464.992,,497.702,464.992,,507.801,507.801,497.702,464.992,497.702,464.992,507.801,507.801,0.000135,0.548992,0.548992,0.000000,2.404321,1.110368,0.109206,1,1
