frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
146,6.041667,566.654,532.252,0.000000,529.290,523.576,0.000000,603.456,534.032,0.000000,576.415,480.632,0.000000,558.516,565.941,0.000000
147,6.083333,571.467,588.995,0.000000,539.649,565.933,0.000000,611.210,587.260,0.000000,575.645,499.351,0.000000,565.230,616.538,0.000000
148,6.125000,580.796,628.922,0.000000,549.943,606.030,0.000000,618.204,625.074,0.000000,575.737,502.174,0.000000,571.047,653.054,0.000000
149,6.166667,577.982,593.677,0.000000,548.330,571.123,0.000000,618.441,587.578,0.000000,576.416,501.377,0.000000,573.010,620.912,0.000000
150,6.208333,580.528,556.346,0.000000,545.570,537.095,0.000000,620.790,550.046,0.000000,579.803,491.198,0.000000,572.447,581.971,0.000000
151,6.250000,581.267,523.941,0.000000,546.174,508.862,0.000000,620.909,519.745,0.000000,581.614,471.510,1.000000,571.942,548.972,0.000000
152,6.291667,581.900,489.423,0.000000,546.906,482.831,0.000000,620.823,491.706,0.000000,581.382,444.663,1.000000,573.668,523.934,0.000000
153,6.333333,584.520,465.954,0.000000,549.869,463.721,0.000000,620.202,472.248,0.000000,582.949,422.780,0.000000,574.103,505.456,1.000000
154,6.375000,587.446,457.765,0.000000,552.122,453.288,0.000000,619.322,466.200,0.000000,585.655,413.300,0.000000,576.559,496.111,1.000000
155,6.416667,588.420,456.349,0.000000,553.409,450.255,0.000000,619.416,465.367,0.000000,588.484,410.606,0.000000,577.380,495.684,1.000000
156,6.458333,590.390,459.841,0.000000,554.176,454.752,0.000000,620.756,468.246,0.000000,591.677,415.276,0.000000,579.627,501.452,1.000000
157,6.500000,592.505,480.364,0.000000,555.655,473.556,0.000000,622.374,486.731,0.000000,596.380,435.379,0.000000,580.651,518.991,1.000000
158,6.541667,587.083,524.237,0.000000,552.596,514.765,0.000000,619.523,526.513,0.000000,597.943,474.526,0.000000,576.143,556.919,0.000000
159,6.583333,577.278,581.384,0.000000,553.338,567.770,0.000000,612.956,576.029,0.000000,585.206,509.934,0.000000,575.326,614.560,0.000000
160,6.625000,569.528,629.057,0.000000,547.890,617.161,0.000000,607.824,621.482,0.000000,579.685,533.585,0.000000,568.044,664.214,0.000000
161,6.666667,557.948,599.012,1.000000,514.000,599.012,1.000000,602.000,599.012,1.000000,557.948,555.000,1.000000,557.948,639.000,1.000000
162,6.708333,543.797,556.276,0.000000,506.093,559.833,0.000000,587.201,559.108,1.000000,550.589,522.159,0.000000,547.016,595.778,1.000000
163,6.750000,531.427,522.347,0.000000,500.330,527.132,0.000000,573.222,525.922,0.000000,542.329,495.324,0.000000,537.298,557.428,1.000000
164,6.791667,522.969,495.835,0.000000,494.873,498.576,0.000000,563.380,500.444,0.000000,535.533,476.749,0.000000,527.210,528.127,1.000000
165,6.833333,513.971,476.173,0.000000,487.943,479.929,0.000000,553.601,481.765,0.000000,529.527,462.407,0.000000,518.415,505.191,1.000000
166,6.875000,508.962,461.397,0.000000,483.960,469.185,0.000000,547.364,464.871,0.000000,525.168,452.425,0.000000,512.075,489.069,1.000000
167,6.916667,504.787,452.387,0.000000,481.020,462.843,0.000000,542.795,454.977,0.000000,522.528,447.688,0.000000,507.712,479.708,1.000000
168,6.958333,501.852,448.395,0.000000,478.773,459.206,0.000000,539.670,451.130,0.000000,520.561,446.133,0.000000,504.146,475.120,0.000000
169,7.000000,497.099,451.027,0.000000,474.529,460.149,0.000000,535.851,455.190,0.000000,516.999,448.507,0.000000,500.131,479.287,0.000000
170,7.041667,494.618,463.893,0.000000,468.891,472.267,0.000000,532.617,470.094,0.000000,514.348,455.873,0.000000,494.647,495.704,0.000000
171,7.083333,492.702,498.023,0.000000,466.277,505.751,0.000000,531.907,503.991,0.000000,514.152,480.217,0.000000,493.181,532.476,0.000000
172,7.125000,495.666,551.355,0.000000,466.602,555.259,0.000000,535.917,553.249,0.000000,517.407,525.040,0.000000,494.508,583.437,0.000000
173,7.166667,503.524,608.459,0.000000,470.160,610.616,0.000000,541.033,609.325,0.000000,521.665,577.126,0.000000,500.435,643.302,0.000000
174,7.208333,503.426,600.048,0.000000,472.115,603.594,0.000000,541.380,600.664,0.000000,523.466,568.732,0.000000,500.127,632.984,0.000000
175,7.250000,504.331,553.959,0.000000,475.412,556.669,0.000000,542.411,558.001,0.000000,523.958,526.617,0.000000,502.231,587.877,0.000000
176,7.291667,509.804,519.860,0.000000,481.135,526.686,0.000000,547.404,525.603,0.000000,524.934,497.912,0.000000,510.131,553.328,0.000000
177,7.333333,516.214,486.243,0.000000,486.431,491.955,0.000000,552.657,493.328,0.000000,529.817,463.447,0.000000,514.975,519.398,0.000000
178,7.375000,522.095,463.304,0.000000,493.628,472.140,0.000000,558.465,469.461,0.000000,533.640,444.865,0.000000,523.152,495.318,0.000000
179,7.416667,529.419,449.649,0.000000,501.207,457.129,0.000000,565.795,456.564,0.000000,539.749,437.539,0.000000,529.997,481.270,0.000000
180,7.458333,536.751,443.446,0.000000,509.123,449.866,0.000000,571.475,452.178,0.000000,545.155,433.634,0.000000,535.655,474.153,0.000000
181,7.500000,544.016,444.508,0.000000,516.268,450.697,0.000000,578.016,453.651,0.000000,551.212,433.851,0.000000,542.896,475.020,0.000000
182,7.541667,553.655,454.480,0.000000,527.127,458.534,0.000000,586.508,464.666,0.000000,561.691,439.907,0.000000,548.509,483.735,0.000000
183,7.583333,564.328,471.180,0.000000,533.491,476.179,0.000000,598.594,481.735,0.000000,568.843,454.257,0.000000,563.173,502.418,0.000000
184,7.625000,573.786,503.060,0.000000,538.365,511.311,0.000000,610.444,511.746,0.000000,574.666,478.004,0.000000,573.037,539.299,0.000000
185,7.666667,581.332,550.507,0.000000,535.952,554.107,0.000000,618.682,555.021,0.000000,573.692,515.571,0.000000,579.317,590.554,0.000000
186,7.708333,591.976,608.264,1.000000,537.958,606.699,1.000000,627.024,614.828,0.000000,568.150,564.381,0.000000,584.251,649.929,0.000000
187,7.750000,590.151,607.027,1.000000,536.312,606.508,1.000000,624.340,611.745,0.000000,567.905,564.409,0.000000,583.227,646.947,0.000000
188,7.791667,577.279,568.848,0.000000,532.096,574.484,0.000000,614.092,573.901,0.000000,570.281,535.795,0.000000,576.969,605.051,0.000000
189,7.833333,568.766,530.343,0.000000,529.837,537.601,0.000000,606.368,536.340,0.000000,571.034,503.589,0.000000,571.935,565.599,0.000000
190,7.875000,557.527,503.132,0.000000,525.035,512.797,0.000000,595.176,508.905,0.000000,563.137,484.214,0.000000,566.575,535.694,0.000000
